INFO : 2021-08-27 10:51:20,655 : Generated dir raw_data/2019-20
INFO : 2021-08-27 11:30:45,524 : SUCCESS : Cameron Johnson = (324, 20) = 1629661.csv
INFO : 2021-08-27 11:31:19,173 : SUCCESS : Cameron Payne = (76, 20) = 1626166.csv
INFO : 2021-08-27 11:31:59,477 : SUCCESS : Caris LeVert = (292, 20) = 1627747.csv
INFO : 2021-08-27 11:32:31,365 : SUCCESS : Carmelo Anthony = (330, 20) = 2546.csv
INFO : 2021-08-27 11:32:59,835 : SUCCESS : Carsen Edwards = (203, 20) = 1629035.csv
INFO : 2021-08-27 11:33:37,144 : SUCCESS : Cedi Osman = (318, 20) = 1626224.csv
INFO : 2021-08-27 11:34:28,667 : SUCCESS : Chandler Hutchison = (190, 20) = 1628990.csv
INFO : 2021-08-27 11:34:53,479 : SUCCESS : Chandler Parsons = (40, 20) = 202718.csv
INFO : 2021-08-27 11:35:16,665 : SUCCESS : Charlie Brown Jr. = (55, 20) = 1629718.csv
INFO : 2021-08-27 11:35:39,152 : SUCCESS : Chasson Randle = (27, 20) = 1626184.csv
INFO : 2021-08-27 11:36:05,718 : SUCCESS : Cheick Diallo = (255, 20) = 1627767.csv
INFO : 2021-08-27 11:36:39,456 : SUCCESS : Chimezie Metu = (97, 20) = 1629002.csv
INFO : 2021-08-27 11:37:19,114 : SUCCESS : Chris Boucher = (320, 20) = 1628449.csv
INFO : 2021-08-27 11:37:58,672 : SUCCESS : Chris Chiozza = (185, 20) = 1629185.csv
INFO : 2021-08-27 11:38:32,377 : SUCCESS : Chris Clemons = (201, 20) = 1629598.csv
INFO : 2021-08-27 11:39:09,532 : SUCCESS : Chris Paul = (355, 20) = 101108.csv
INFO : 2021-08-27 11:39:46,227 : SUCCESS : Chris Silva = (228, 20) = 1629735.csv
INFO : 2021-08-27 11:40:22,452 : SUCCESS : Christian Wood = (321, 20) = 1626174.csv
INFO : 2021-08-27 11:40:51,046 : SUCCESS : Clint Capela = (260, 20) = 203991.csv
