INFO : 2021-08-27 10:05:46,486 : Dir raw_data/2017-18 already exists
INFO : 2021-08-27 10:19:48,946 : SUCCESS : CJ Miles = (348, 20) = 101139.csv
INFO : 2021-08-27 10:19:58,603 : SUCCESS : Caleb Swanigan = (152, 20) = 1628403.csv
INFO : 2021-08-27 10:20:20,995 : SUCCESS : Cameron Payne = (190, 20) = 1626166.csv
INFO : 2021-08-27 10:20:31,745 : SUCCESS : Caris LeVert = (342, 20) = 1627747.csv
INFO : 2021-08-27 10:20:42,963 : SUCCESS : Carmelo Anthony = (348, 20) = 2546.csv
INFO : 2021-08-27 10:20:53,601 : SUCCESS : Cedi Osman = (275, 20) = 1626224.csv
INFO : 2021-08-27 10:21:04,031 : SUCCESS : Chandler Parsons = (247, 20) = 202718.csv
INFO : 2021-08-27 10:21:15,129 : SUCCESS : Channing Frye = (283, 20) = 101112.csv
INFO : 2021-08-27 10:21:25,341 : SUCCESS : Charles Cooke = (58, 20) = 1628429.csv
INFO : 2021-08-27 10:21:38,207 : SUCCESS : Cheick Diallo = (297, 20) = 1627767.csv
INFO : 2021-08-27 10:21:48,005 : SUCCESS : Chinanu Onuaku = (9, 20) = 1627778.csv
INFO : 2021-08-27 10:22:00,265 : SUCCESS : Chris Boucher = (3, 20) = 1628449.csv
INFO : 2021-08-27 10:22:29,928 : SUCCESS : Chris McCullough = (83, 20) = 1626191.csv
INFO : 2021-08-27 10:22:40,598 : SUCCESS : Chris Paul = (325, 20) = 101108.csv
INFO : 2021-08-27 10:22:51,573 : SUCCESS : Clint Capela = (371, 20) = 203991.csv
INFO : 2021-08-27 10:23:02,116 : SUCCESS : Cody Zeller = (235, 20) = 203469.csv
INFO : 2021-08-27 10:23:12,268 : SUCCESS : Cole Aldrich = (83, 20) = 202332.csv
INFO : 2021-08-27 10:23:25,342 : SUCCESS : Corey Brewer = (330, 20) = 201147.csv
INFO : 2021-08-27 10:23:35,753 : SUCCESS : Cory Joseph = (373, 20) = 202709.csv
INFO : 2021-08-27 10:23:46,646 : SUCCESS : Courtney Lee = (356, 20) = 201584.csv
INFO : 2021-08-27 10:24:09,610 : SUCCESS : Cristiano Felicio = (344, 20) = 1626245.csv
INFO : 2021-08-27 10:24:20,152 : SUCCESS : D'Angelo Russell = (271, 20) = 1626156.csv
INFO : 2021-08-27 10:24:31,149 : SUCCESS : D.J. Augustin = (349, 20) = 201571.csv
INFO : 2021-08-27 10:24:41,644 : SUCCESS : D.J. Wilson = (96, 20) = 1628391.csv
INFO : 2021-08-27 10:24:54,400 : SUCCESS : Dakari Johnson = (137, 20) = 1626177.csv
INFO : 2021-08-27 10:25:05,990 : SUCCESS : Damian Jones = (81, 20) = 1627745.csv
INFO : 2021-08-27 10:25:19,209 : SUCCESS : Damian Lillard = (350, 20) = 203081.csv
INFO : 2021-08-27 10:25:30,106 : SUCCESS : Damien Wilkins = (112, 20) = 2863.csv
INFO : 2021-08-27 10:25:42,574 : SUCCESS : Damion Lee = (128, 20) = 1627814.csv
INFO : 2021-08-27 10:25:53,436 : SUCCESS : Damyean Dotson = (238, 20) = 1628422.csv
INFO : 2021-08-27 10:26:03,576 : SUCCESS : Daniel Hamilton = (26, 20) = 1627772.csv
INFO : 2021-08-27 10:26:16,635 : SUCCESS : Daniel Theis = (317, 20) = 1628464.csv
INFO : 2021-08-27 10:26:28,365 : SUCCESS : Danilo Gallinari = (163, 20) = 201568.csv
INFO : 2021-08-27 10:26:56,482 : SUCCESS : Danny Green = (349, 20) = 201980.csv
INFO : 2021-08-27 10:27:08,144 : SUCCESS : Dante Cunningham = (369, 20) = 201967.csv
INFO : 2021-08-27 10:27:19,594 : SUCCESS : Dante Exum = (118, 20) = 203957.csv
INFO : 2021-08-27 10:27:32,618 : SUCCESS : Danuel House Jr. = (154, 20) = 1627863.csv
INFO : 2021-08-27 10:27:44,687 : SUCCESS : Dario Saric = (360, 20) = 203967.csv
INFO : 2021-08-27 10:27:56,304 : SUCCESS : Darius Miller = (391, 20) = 203121.csv
INFO : 2021-08-27 10:28:06,463 : SUCCESS : Darrell Arthur = (103, 20) = 201589.csv
INFO : 2021-08-27 10:28:20,536 : SUCCESS : Darren Collison = (342, 20) = 201954.csv
INFO : 2021-08-27 10:28:30,098 : SUCCESS : Darrun Hilliard = (80, 20) = 1626199.csv
INFO : 2021-08-27 10:28:53,998 : SUCCESS : David Nwaba = (357, 20) = 1628021.csv
INFO : 2021-08-27 10:29:05,506 : SUCCESS : David Stockton = (12, 20) = 204065.csv
INFO : 2021-08-27 10:29:20,427 : SUCCESS : David West = (349, 20) = 2561.csv
INFO : 2021-08-27 10:29:32,666 : SUCCESS : Davis Bertans = (347, 20) = 202722.csv
INFO : 2021-08-27 10:29:43,370 : SUCCESS : Davon Reed = (157, 20) = 1628432.csv
INFO : 2021-08-27 10:29:57,415 : SUCCESS : De'Aaron Fox = (365, 20) = 1628368.csv
INFO : 2021-08-27 10:30:08,080 : SUCCESS : DeAndre Jordan = (363, 20) = 201599.csv
INFO : 2021-08-27 10:30:19,921 : SUCCESS : DeAndre Liggins = (258, 20) = 202732.csv
