INFO : 2021-08-26 20:32:42,196 : Dir raw_data/2017-18 already exists
DEBUG : 2021-08-26 20:32:42,752 : POST http://127.0.0.1:50124/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "platformName": "any", "goog:chromeOptions": {"extensions": [], "args": []}}}, "desiredCapabilities": {"browserName": "chrome", "version": "", "platform": "ANY", "goog:chromeOptions": {"extensions": [], "args": []}}}
DEBUG : 2021-08-26 20:32:42,753 : Starting new HTTP connection (1): 127.0.0.1:50124
DEBUG : 2021-08-26 20:32:44,787 : http://127.0.0.1:50124 "POST /session HTTP/1.1" 200 755
DEBUG : 2021-08-26 20:32:44,788 : Finished Request
DEBUG : 2021-08-26 20:32:44,789 : POST http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/url {"url": "https://www.nba.com/stats/players/bio/?Season=2017-18&SeasonType=Regular%20Season"}
DEBUG : 2021-08-26 20:32:55,108 : http://127.0.0.1:50124 "POST /session/7b4af50d3ab7d31f2fb2f595541ac2d3/url HTTP/1.1" 200 14
DEBUG : 2021-08-26 20:32:55,108 : Finished Request
DEBUG : 2021-08-26 20:32:55,109 : POST http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/elements {"using": "xpath", "value": "//select"}
DEBUG : 2021-08-26 20:32:55,139 : http://127.0.0.1:50124 "POST /session/7b4af50d3ab7d31f2fb2f595541ac2d3/elements HTTP/1.1" 200 2144
DEBUG : 2021-08-26 20:32:55,139 : Finished Request
DEBUG : 2021-08-26 20:32:55,139 : GET http://127.0.0.1:50124/session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/2dc18b09-3d1d-44d4-89b5-984b838e25f9/name {"id": "2dc18b09-3d1d-44d4-89b5-984b838e25f9"}
DEBUG : 2021-08-26 20:32:55,144 : http://127.0.0.1:50124 "GET /session/7b4af50d3ab7d31f2fb2f595541ac2d3/element/2dc18b09-3d1d-44d4-89b5-984b838e25f9/name HTTP/1.1" 200 18
DEBUG : 2021-08-26 20:32:55,145 : Finished Request
