OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
CJ McCollum,1,4:47,19.9,2,33,4,3,0,0,4,0.0,0,2,0.0,2,2,1,Aaron Harrison,2017-18
Bogdan Bogdanovic,1,4:51,19.0,8,20,0,1,0,3,5,60.0,1,1,100.0,1,2,1,Aaron Harrison,2017-18
Danuel House Jr.,1,4:18,15.9,4,32,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Aaron Harrison,2017-18
Kyle Kuzma,1,4:01,15.7,1,24,1,0,0,0,1,0.0,0,1,0.0,1,4,2,Aaron Harrison,2017-18
Mario Hezonja,1,4:43,15.1,3,30,1,0,0,1,3,33.3,0,1,0.0,1,2,0,Aaron Harrison,2017-18
Jamal Crawford,1,3:43,14.1,7,20,0,0,0,3,4,75.0,1,2,50.0,0,0,0,Aaron Harrison,2017-18
Wes Iwundu,1,3:15,11.3,2,13,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Aaron Harrison,2017-18
Davon Reed,1,3:15,11.1,2,17,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Aaron Harrison,2017-18
Langston Galloway,1,2:56,10.9,9,29,0,0,0,3,4,75.0,2,3,66.7,1,2,0,Aaron Harrison,2017-18
JR Smith,1,2:11,8.3,7,18,0,1,0,3,3,100.0,1,1,100.0,0,0,0,Aaron Harrison,2017-18
Jamel Artis,1,2:42,8.3,5,7,0,0,0,2,5,40.0,0,2,0.0,1,1,1,Aaron Harrison,2017-18
Shaquille Harrison,1,1:53,8.2,0,15,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Aaron Harrison,2017-18
Tyler Ulis,1,1:44,8.0,3,15,2,0,0,1,4,25.0,0,2,0.0,1,1,1,Aaron Harrison,2017-18
Luke Kennard,1,2:05,7.8,0,9,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Aaron Harrison,2017-18
Donovan Mitchell,1,1:50,6.8,2,6,1,0,1,1,4,25.0,0,1,0.0,0,0,0,Aaron Harrison,2017-18
Joe Ingles,1,2:03,6.8,5,11,0,1,0,2,2,100.0,1,1,100.0,0,0,0,Aaron Harrison,2017-18
Damian Lillard,1,1:26,6.1,4,9,0,0,0,0,3,0.0,0,1,0.0,4,4,2,Aaron Harrison,2017-18
