OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Kyle Kuzma,4,15:03,54.8,18,57,3,2,1,7,16,43.8,2,5,40.0,2,2,1,Skal Labissiere,2017-18
Marquese Chriss,3,11:58,44.3,8,57,2,1,0,3,8,37.5,2,5,40.0,0,2,1,Skal Labissiere,2017-18
Draymond Green,3,8:19,32.7,9,47,6,0,1,3,10,30.0,2,6,33.3,1,2,1,Skal Labissiere,2017-18
Carmelo Anthony,3,7:52,31.9,15,36,0,0,0,5,16,31.3,4,9,44.4,1,2,1,Skal Labissiere,2017-18
Marvin Williams,2,8:59,31.2,10,48,0,0,0,3,4,75.0,2,3,66.7,2,2,1,Skal Labissiere,2017-18
Derrick Favors,2,8:02,30.0,6,39,1,0,0,3,4,75.0,0,0,0.0,0,0,0,Skal Labissiere,2017-18
Sam Dekker,2,7:37,29.2,3,40,0,0,0,1,5,20.0,0,2,0.0,1,1,1,Skal Labissiere,2017-18
Anthony Tolliver,2,8:01,28.8,9,33,1,1,0,2,6,33.3,2,5,40.0,3,6,1,Skal Labissiere,2017-18
Blake Griffin,4,6:59,28.4,14,38,3,3,0,5,10,50.0,0,0,0.0,4,4,2,Skal Labissiere,2017-18
Taj Gibson,2,7:25,27.3,12,46,2,1,1,5,6,83.3,0,0,0.0,2,2,1,Skal Labissiere,2017-18
Al Horford,2,7:17,26.8,13,50,7,0,1,6,10,60.0,1,2,50.0,0,0,1,Skal Labissiere,2017-18
Thaddeus Young,2,7:25,26.0,12,37,1,0,0,5,7,71.4,1,1,100.0,1,3,2,Skal Labissiere,2017-18
Jarell Martin,2,7:29,24.6,7,38,0,0,0,3,7,42.9,1,1,100.0,0,0,0,Skal Labissiere,2017-18
Michael Beasley,2,5:58,24.1,8,32,1,2,0,4,8,50.0,0,2,0.0,0,1,1,Skal Labissiere,2017-18
JaMychal Green,2,6:37,23.4,9,32,0,2,0,4,8,50.0,1,3,33.3,0,0,0,Skal Labissiere,2017-18
DeMarre Carroll,2,6:24,23.3,13,38,1,2,0,4,5,80.0,2,3,66.7,3,3,2,Skal Labissiere,2017-18
