OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Klay Thompson,4,20:50,85.8,23,134,0,1,0,9,15,60.0,4,7,57.1,1,1,1,E'Twaun Moore,2017-18
Joe Ingles,4,18:07,67.4,21,121,6,0,0,7,10,70.0,4,5,80.0,3,3,2,E'Twaun Moore,2017-18
Trevor Ariza,4,15:38,56.0,3,85,0,0,0,1,5,20.0,1,4,25.0,0,0,0,E'Twaun Moore,2017-18
CJ McCollum,4,13:00,48.9,15,54,2,2,1,5,17,29.4,3,6,50.0,2,2,0,E'Twaun Moore,2017-18
Kentavious Caldwell-Pope,3,11:06,48.1,14,59,2,1,0,4,8,50.0,3,5,60.0,3,3,1,E'Twaun Moore,2017-18
Damian Lillard,4,12:47,44.3,8,75,6,0,0,2,9,22.2,1,5,20.0,3,3,0,E'Twaun Moore,2017-18
Wesley Matthews,2,11:35,43.7,12,54,1,0,0,5,9,55.6,2,4,50.0,0,0,0,E'Twaun Moore,2017-18
Will Barton,3,11:11,43.7,7,72,3,1,0,3,6,50.0,1,3,33.3,0,0,0,E'Twaun Moore,2017-18
Courtney Lee,2,10:16,39.2,9,58,4,0,0,4,7,57.1,1,2,50.0,0,0,0,E'Twaun Moore,2017-18
Andrew Wiggins,4,11:22,38.9,12,66,2,0,0,5,15,33.3,1,2,50.0,1,1,1,E'Twaun Moore,2017-18
Nicolas Batum,2,9:56,38.8,11,65,4,1,0,5,9,55.6,1,3,33.3,0,0,0,E'Twaun Moore,2017-18
Buddy Hield,4,10:38,38.5,16,49,0,3,0,6,9,66.7,2,3,66.7,2,2,0,E'Twaun Moore,2017-18
Patty Mills,4,10:48,38.5,0,47,1,1,0,0,3,0.0,0,0,0.0,0,0,0,E'Twaun Moore,2017-18
Donovan Mitchell,4,10:04,38.3,16,66,3,3,2,5,15,33.3,2,7,28.6,4,5,3,E'Twaun Moore,2017-18
Eric Gordon,4,9:43,37.9,11,67,2,2,0,3,3,100.0,1,1,100.0,4,4,1,E'Twaun Moore,2017-18
JJ Redick,2,9:38,35.7,12,51,2,0,0,2,7,28.6,1,3,33.3,7,7,2,E'Twaun Moore,2017-18
Sindarius Thornwell,4,8:36,33.6,4,40,0,0,0,2,2,100.0,0,0,0.0,0,0,0,E'Twaun Moore,2017-18
Jimmy Butler,4,9:34,33.5,18,56,2,1,0,8,13,61.5,0,1,0.0,2,3,1,E'Twaun Moore,2017-18
T.J. Warren,2,9:21,33.2,9,41,0,1,0,4,9,44.4,1,1,100.0,0,0,0,E'Twaun Moore,2017-18
Doug McDermott,4,8:16,32.6,6,51,0,0,0,3,4,75.0,0,0,0.0,0,0,0,E'Twaun Moore,2017-18
George Hill,4,8:53,30.9,5,35,0,0,0,2,6,33.3,1,2,50.0,0,0,0,E'Twaun Moore,2017-18
