OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Lou Williams,4,11:54,49.2,19,62,5,0,0,9,14,64.3,1,6,16.7,0,0,0,Andre Iguodala,2017-18
Darius Miller,4,8:21,34.0,9,44,0,0,0,3,5,60.0,3,5,60.0,0,0,0,Andre Iguodala,2017-18
Wilson Chandler,4,8:43,30.4,2,49,1,0,0,1,3,33.3,0,1,0.0,0,0,0,Andre Iguodala,2017-18
Will Barton,4,8:01,29.4,5,22,1,0,0,2,5,40.0,1,4,25.0,0,0,0,Andre Iguodala,2017-18
Lonzo Ball,4,7:16,29.0,2,33,3,0,0,1,7,14.3,0,5,0.0,0,0,0,Andre Iguodala,2017-18
Andrew Wiggins,2,7:41,28.7,4,30,0,1,1,2,6,33.3,0,1,0.0,0,0,0,Andre Iguodala,2017-18
Wesley Matthews,3,7:08,27.2,9,29,1,0,0,4,5,80.0,1,2,50.0,0,0,0,Andre Iguodala,2017-18
Jrue Holiday,4,6:04,26.7,7,30,2,1,0,3,7,42.9,0,3,0.0,1,2,0,Andre Iguodala,2017-18
Manu Ginobili,3,7:47,24.8,8,29,0,3,0,3,4,75.0,2,3,66.7,0,0,0,Andre Iguodala,2017-18
Kentavious Caldwell-Pope,4,5:43,23.8,7,30,1,0,0,2,6,33.3,1,4,25.0,2,2,1,Andre Iguodala,2017-18
Buddy Hield,2,6:39,23.4,3,27,2,1,0,1,2,50.0,1,2,50.0,0,0,0,Andre Iguodala,2017-18
Jaylen Brown,2,5:20,22.2,14,31,0,2,0,5,6,83.3,3,3,100.0,1,2,1,Andre Iguodala,2017-18
Kelly Oubre Jr.,2,5:25,21.7,2,32,1,0,2,0,2,0.0,0,0,0.0,2,2,1,Andre Iguodala,2017-18
Brandon Ingram,3,4:49,20.6,2,29,1,1,0,1,3,33.3,0,0,0.0,0,0,0,Andre Iguodala,2017-18
Dwyane Wade,2,5:16,19.6,4,20,1,0,0,2,5,40.0,0,1,0.0,0,0,0,Andre Iguodala,2017-18
Sam Dekker,3,5:22,19.3,2,21,0,0,1,1,4,25.0,0,1,0.0,0,0,0,Andre Iguodala,2017-18
Wesley Johnson,3,4:37,18.4,0,24,0,0,0,0,3,0.0,0,1,0.0,0,0,0,Andre Iguodala,2017-18
Jordan Clarkson,3,4:16,18.3,0,16,3,0,1,0,3,0.0,0,0,0.0,0,0,0,Andre Iguodala,2017-18
Danny Green,3,5:37,18.2,8,27,1,0,0,3,5,60.0,2,3,66.7,0,0,0,Andre Iguodala,2017-18
T.J. Warren,2,3:42,17.8,5,25,0,1,0,2,3,66.7,1,1,100.0,0,0,0,Andre Iguodala,2017-18
Paul George,3,4:59,17.8,5,21,1,1,0,2,7,28.6,1,4,25.0,0,0,0,Andre Iguodala,2017-18
Jeremy Lamb,2,4:56,17.7,3,23,0,0,0,1,4,25.0,0,1,0.0,1,2,1,Andre Iguodala,2017-18
Tyreke Evans,2,4:37,17.5,5,15,0,1,1,2,6,33.3,1,3,33.3,0,0,1,Andre Iguodala,2017-18
Dennis Schroder,2,4:43,17.4,10,32,4,2,1,4,8,50.0,0,1,0.0,2,2,1,Andre Iguodala,2017-18
Tobias Harris,3,4:03,17.2,3,27,1,1,0,1,1,100.0,0,0,0.0,1,1,1,Andre Iguodala,2017-18
Jodie Meeks,2,4:53,16.9,3,21,2,0,0,1,2,50.0,1,2,50.0,0,0,0,Andre Iguodala,2017-18
Jayson Tatum,2,4:57,16.6,0,14,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Andre Iguodala,2017-18
DeMar DeRozan,2,4:19,16.2,4,17,1,0,1,1,5,20.0,0,1,0.0,2,2,2,Andre Iguodala,2017-18
Rajon Rondo,3,4:32,16.0,2,20,3,0,0,1,3,33.3,0,1,0.0,0,1,1,Andre Iguodala,2017-18
Caris LeVert,2,3:56,15.8,8,24,2,0,0,3,4,75.0,1,2,50.0,1,2,1,Andre Iguodala,2017-18
Evan Turner,2,4:30,15.5,2,16,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Andre Iguodala,2017-18
Alex Abrines,3,4:03,15.3,0,19,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Andre Iguodala,2017-18
Dante Cunningham,4,3:45,15.2,0,25,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Andre Iguodala,2017-18
Bogdan Bogdanovic,2,4:32,15.0,3,19,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Andre Iguodala,2017-18
Jamal Murray,4,3:26,14.2,9,19,1,1,0,4,6,66.7,1,1,100.0,0,0,0,Andre Iguodala,2017-18
Shelvin Mack,1,3:21,14.0,0,11,0,0,0,0,3,0.0,0,0,0.0,0,0,0,Andre Iguodala,2017-18
