OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
JaMychal Green,3,18:00,69.4,18,103,2,1,2,8,18,44.4,1,5,20.0,1,1,1,Noah Vonleh,2017-18
Rondae Hollis-Jefferson,3,11:16,44.1,6,64,3,0,0,3,10,30.0,0,1,0.0,0,0,0,Noah Vonleh,2017-18
Markieff Morris,3,7:08,28.8,9,43,1,1,0,4,7,57.1,1,2,50.0,0,0,0,Noah Vonleh,2017-18
Kristaps Porzingis,1,7:26,28.4,12,31,0,1,0,4,7,57.1,0,2,0.0,4,4,1,Noah Vonleh,2017-18
Giannis Antetokounmpo,1,6:05,24.5,2,33,2,0,0,0,5,0.0,0,1,0.0,2,2,1,Noah Vonleh,2017-18
Tobias Harris,1,5:53,24.5,6,38,1,1,0,2,4,50.0,2,3,66.7,0,0,0,Noah Vonleh,2017-18
Zach Randolph,2,7:08,22.9,8,22,0,1,0,3,6,50.0,0,0,0.0,2,3,2,Noah Vonleh,2017-18
Dante Cunningham,2,4:32,19.1,5,31,0,0,2,2,6,33.3,1,1,100.0,0,0,1,Noah Vonleh,2017-18
Willie Cauley-Stein,2,4:49,17.9,8,26,0,1,0,4,7,57.1,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Aaron Gordon,3,4:48,17.1,5,25,1,0,1,2,5,40.0,1,3,33.3,0,0,0,Noah Vonleh,2017-18
Blake Griffin,2,5:23,17.1,8,28,6,2,0,3,5,60.0,2,4,50.0,0,0,0,Noah Vonleh,2017-18
Nikola Jokic,3,4:38,16.3,8,17,0,0,0,4,9,44.4,0,2,0.0,0,0,0,Noah Vonleh,2017-18
John Collins,3,4:52,16.3,4,12,0,0,1,1,3,33.3,0,0,0.0,2,2,1,Noah Vonleh,2017-18
Dario Saric,2,3:58,15.6,5,26,1,1,0,2,4,50.0,1,2,50.0,0,0,1,Noah Vonleh,2017-18
Paul Millsap,2,4:28,15.1,2,11,0,0,0,1,5,20.0,0,1,0.0,0,0,0,Noah Vonleh,2017-18
James Johnson,1,3:50,15.1,2,15,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Frank Kaminsky,3,3:51,14.7,5,28,1,0,0,2,5,40.0,1,3,33.3,0,0,0,Noah Vonleh,2017-18
Trey Lyles,3,4:46,14.5,9,20,0,0,0,4,9,44.4,1,3,33.3,0,0,0,Noah Vonleh,2017-18
Mike Scott,2,4:15,14.3,4,15,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Anthony Tolliver,2,3:37,13.8,0,8,0,1,0,0,2,0.0,0,2,0.0,0,0,0,Noah Vonleh,2017-18
Marreese Speights,2,3:56,13.3,3,14,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Noah Vonleh,2017-18
Jarell Martin,2,3:38,12.9,4,13,0,0,0,1,1,100.0,1,1,100.0,1,2,1,Noah Vonleh,2017-18
Carmelo Anthony,1,3:02,12.8,3,12,0,0,0,1,2,50.0,0,1,0.0,1,2,1,Noah Vonleh,2017-18
Isaiah Hicks,1,3:37,12.7,2,20,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Noah Vonleh,2017-18
Pascal Siakam,2,3:11,12.3,6,13,0,0,0,2,3,66.7,2,2,100.0,0,0,0,Noah Vonleh,2017-18
Justise Winslow,1,2:46,11.3,0,12,2,1,0,0,1,0.0,0,1,0.0,0,0,0,Noah Vonleh,2017-18
Tarik Black,1,3:01,11.1,4,12,1,1,0,2,2,100.0,0,0,0.0,0,1,1,Noah Vonleh,2017-18
Ben Simmons,2,2:45,10.4,2,18,2,0,0,1,3,33.3,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Joel Embiid,2,3:21,10.3,4,15,2,0,0,2,4,50.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Jonas Jerebko,1,2:22,9.8,0,15,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Noah Vonleh,2017-18
Larry Nance Jr.,1,2:37,9.7,2,13,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Trevor Booker,2,2:44,9.1,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Otto Porter Jr.,3,2:13,9.0,2,3,1,0,0,0,3,0.0,0,1,0.0,2,2,1,Noah Vonleh,2017-18
Bismack Biyombo,3,2:14,8.7,2,9,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Daniel Theis,1,2:47,8.2,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Dillon Brooks,4,1:52,8.2,9,17,0,0,0,3,3,100.0,1,1,100.0,2,2,1,Noah Vonleh,2017-18
DeMarre Carroll,2,2:19,8.1,3,10,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Noah Vonleh,2017-18
Kyle O'Quinn,2,2:10,7.7,2,14,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Mike Muscala,2,1:52,7.7,3,12,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Noah Vonleh,2017-18
Michael Beasley,2,1:43,7.7,5,9,0,0,0,1,2,50.0,0,0,0.0,3,4,2,Noah Vonleh,2017-18
Cristiano Felicio,1,1:39,7.5,2,12,2,0,0,1,3,33.3,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Kevin Durant,1,2:40,7.5,0,9,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Noah Vonleh,2017-18
Chris Paul,2,2:29,7.5,5,12,2,1,0,1,3,33.3,1,3,33.3,2,2,0,Noah Vonleh,2017-18
Shabazz Muhammad,3,1:56,7.3,5,13,1,0,0,2,3,66.7,0,0,0.0,1,1,1,Noah Vonleh,2017-18
Gorgui Dieng,3,1:40,7.1,2,6,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Noah Vonleh,2017-18
Jerami Grant,2,1:16,7.0,0,8,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Noah Vonleh,2017-18
P.J. Tucker,2,1:44,6.9,4,9,0,0,0,2,3,66.7,0,1,0.0,0,0,0,Noah Vonleh,2017-18
Kyle Kuzma,1,1:45,6.8,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Khem Birch,1,1:50,6.4,0,11,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Cody Zeller,1,1:42,6.3,0,5,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Chandler Parsons,2,1:41,6.1,0,9,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Noah Vonleh,2017-18
Nikola Vucevic,3,1:35,6.1,4,5,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Bradley Beal,3,1:23,6.1,10,14,2,0,0,5,9,55.6,0,3,0.0,0,0,0,Noah Vonleh,2017-18
Marcus Morris Sr.,1,1:35,6.0,0,11,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Noah Vonleh,2017-18
Ryan Anderson,2,1:50,6.0,3,11,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Noah Vonleh,2017-18
