OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Andrew Wiggins,4,15:54,51.4,9,67,3,1,0,3,10,30.0,0,3,0.0,3,4,1,Luc Mbah a Moute,2017-18
Doug McDermott,4,8:32,31.8,3,33,2,1,1,1,5,20.0,0,1,0.0,1,1,1,Luc Mbah a Moute,2017-18
Tyreke Evans,4,8:36,31.5,12,14,0,1,0,5,13,38.5,0,5,0.0,2,4,3,Luc Mbah a Moute,2017-18
Kemba Walker,2,7:08,28.5,8,28,3,0,2,3,9,33.3,1,1,100.0,1,1,2,Luc Mbah a Moute,2017-18
Mike Conley,3,8:06,27.7,2,28,2,1,0,1,4,25.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Yogi Ferrell,4,6:53,26.3,0,33,1,0,0,0,3,0.0,0,2,0.0,0,0,0,Luc Mbah a Moute,2017-18
Victor Oladipo,2,6:50,24.1,10,25,3,0,0,4,10,40.0,2,4,50.0,0,0,0,Luc Mbah a Moute,2017-18
Darius Miller,3,6:09,23.0,8,58,0,1,0,3,6,50.0,2,4,50.0,0,0,0,Luc Mbah a Moute,2017-18
Paul George,2,5:53,22.6,0,17,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Alec Burks,3,5:54,22.2,3,29,1,1,0,1,4,25.0,1,2,50.0,0,0,0,Luc Mbah a Moute,2017-18
Klay Thompson,2,5:44,21.3,3,28,0,2,0,1,3,33.3,1,1,100.0,0,0,0,Luc Mbah a Moute,2017-18
Gary Harris,3,5:20,21.2,5,18,2,0,0,2,6,33.3,0,3,0.0,1,2,0,Luc Mbah a Moute,2017-18
Mario Chalmers,4,5:08,20.9,6,22,0,0,0,3,6,50.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Goran Dragic,1,6:00,20.2,7,30,3,1,0,3,3,100.0,1,1,100.0,0,0,0,Luc Mbah a Moute,2017-18
Lou Williams,3,5:03,19.8,0,15,2,1,0,0,3,0.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Patty Mills,3,4:49,19.5,2,15,0,0,0,1,4,25.0,0,3,0.0,0,0,0,Luc Mbah a Moute,2017-18
CJ McCollum,3,5:00,18.9,6,21,1,0,0,2,5,40.0,2,3,66.7,0,0,0,Luc Mbah a Moute,2017-18
Dillon Brooks,4,4:33,18.3,1,27,0,0,0,0,3,0.0,0,2,0.0,1,2,1,Luc Mbah a Moute,2017-18
Dennis Smith Jr.,3,4:41,17.5,2,20,3,2,0,1,4,25.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Jrue Holiday,3,4:40,17.4,0,31,5,1,0,0,1,0.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
James Ennis III,5,4:35,17.4,4,24,0,0,0,2,6,33.3,0,2,0.0,0,0,0,Luc Mbah a Moute,2017-18
Allen Crabbe,1,4:53,17.3,3,25,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Luc Mbah a Moute,2017-18
Ben Simmons,2,4:30,16.9,6,21,2,2,1,2,4,50.0,0,0,0.0,2,2,1,Luc Mbah a Moute,2017-18
Jeff Teague,4,4:10,16.9,5,23,3,1,0,2,4,50.0,1,2,50.0,0,0,0,Luc Mbah a Moute,2017-18
Jimmy Butler,3,5:01,16.3,6,24,1,0,0,3,10,30.0,0,3,0.0,0,1,1,Luc Mbah a Moute,2017-18
Will Barton,3,3:50,16.0,0,19,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Donovan Mitchell,3,4:19,15.8,4,20,1,1,0,2,4,50.0,0,2,0.0,0,0,0,Luc Mbah a Moute,2017-18
Kyle Lowry,2,3:59,15.4,8,48,5,1,0,2,5,40.0,2,3,66.7,2,2,2,Luc Mbah a Moute,2017-18
Tobias Harris,2,4:00,15.3,4,17,0,1,1,2,5,40.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Kyle Collinsworth,3,3:55,15.2,0,24,2,0,0,0,2,0.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Bojan Bogdanovic,2,3:41,15.1,2,17,0,0,0,1,7,14.3,0,4,0.0,0,0,0,Luc Mbah a Moute,2017-18
Evan Fournier,1,4:05,14.8,2,15,1,0,0,1,3,33.3,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
T.J. Warren,1,4:13,14.8,2,17,0,1,0,1,4,25.0,0,2,0.0,0,0,0,Luc Mbah a Moute,2017-18
Kevin Durant,2,3:17,14.8,0,11,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Jamal Crawford,4,4:14,14.6,3,18,4,0,0,1,2,50.0,1,2,50.0,0,0,0,Luc Mbah a Moute,2017-18
LeBron James,1,3:34,14.5,0,12,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Jamal Murray,3,3:55,14.4,2,23,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Milos Teodosic,3,3:39,14.2,6,34,1,1,0,2,3,66.7,2,3,66.7,0,0,0,Luc Mbah a Moute,2017-18
Harrison Barnes,4,3:35,14.2,2,20,0,1,0,1,3,33.3,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Carmelo Anthony,2,3:25,14.2,8,20,0,1,0,3,4,75.0,2,2,100.0,0,0,0,Luc Mbah a Moute,2017-18
Justin Jackson,2,3:31,13.7,0,14,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Thabo Sefolosha,2,4:03,13.6,4,15,0,0,0,2,4,50.0,0,2,0.0,0,0,0,Luc Mbah a Moute,2017-18
Damian Lillard,2,3:42,13.6,2,11,2,2,1,0,1,0.0,0,0,0.0,2,2,0,Luc Mbah a Moute,2017-18
Tim Hardaway Jr.,2,3:38,12.4,0,14,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Taj Gibson,4,3:26,12.3,2,23,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Jae Crowder,2,3:12,12.3,5,22,2,0,0,2,3,66.7,1,1,100.0,0,0,0,Luc Mbah a Moute,2017-18
Dejounte Murray,3,3:37,12.3,2,13,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
T.J. McConnell,2,3:24,12.3,2,16,2,1,1,1,2,50.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Zach Collins,3,3:42,12.2,0,16,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
JJ Redick,1,3:17,12.1,10,16,1,0,0,4,4,100.0,2,2,100.0,0,0,0,Luc Mbah a Moute,2017-18
Lance Stephenson,2,3:13,12.1,0,9,1,1,0,0,1,0.0,0,0,0.0,0,0,1,Luc Mbah a Moute,2017-18
Justise Winslow,2,3:50,12.0,3,19,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Luc Mbah a Moute,2017-18
Delon Wright,1,3:29,11.8,2,11,0,1,0,1,1,100.0,0,0,0.0,0,0,1,Luc Mbah a Moute,2017-18
Bradley Beal,1,2:43,11.7,7,25,1,0,0,3,3,100.0,1,1,100.0,0,0,0,Luc Mbah a Moute,2017-18
Giannis Antetokounmpo,1,2:43,11.7,8,14,0,1,0,3,5,60.0,0,0,0.0,2,3,2,Luc Mbah a Moute,2017-18
Bryn Forbes,3,2:59,11.5,2,21,1,0,0,0,0,0.0,0,0,0.0,2,2,1,Luc Mbah a Moute,2017-18
Brandon Ingram,1,2:51,11.5,4,17,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Ian Clark,3,2:55,11.4,2,10,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Joe Harris,2,2:39,11.3,2,22,1,2,0,1,3,33.3,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Kyle Kuzma,1,3:10,11.2,8,8,0,0,0,2,3,66.7,2,3,66.7,2,2,1,Luc Mbah a Moute,2017-18
Courtney Lee,2,3:08,11.1,0,0,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Pat Connaughton,3,2:46,10.8,2,14,0,0,1,1,5,20.0,0,2,0.0,0,0,0,Luc Mbah a Moute,2017-18
Jeremy Lamb,2,2:38,10.8,3,9,0,1,1,1,3,33.3,1,1,100.0,0,0,0,Luc Mbah a Moute,2017-18
Wilson Chandler,3,2:58,10.7,4,13,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Tyler Dorsey,1,2:44,10.5,0,10,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Josh Jackson,2,3:03,10.5,0,18,0,1,0,0,4,0.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
CJ Miles,2,3:04,10.5,1,13,0,0,0,0,1,0.0,0,1,0.0,1,2,1,Luc Mbah a Moute,2017-18
Al-Farouq Aminu,3,3:10,10.2,6,12,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Luc Mbah a Moute,2017-18
Robert Covington,2,2:59,9.9,7,16,0,0,1,3,5,60.0,1,3,33.3,0,0,0,Luc Mbah a Moute,2017-18
Jerami Grant,2,2:45,9.8,3,16,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Luc Mbah a Moute,2017-18
Manu Ginobili,2,3:13,9.5,0,14,1,0,0,0,3,0.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Stephen Curry,2,2:01,9.5,5,15,1,0,0,1,4,25.0,1,4,25.0,2,2,0,Luc Mbah a Moute,2017-18
Marvin Williams,2,2:36,9.5,3,18,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Luc Mbah a Moute,2017-18
Chandler Parsons,4,2:11,9.5,0,15,2,0,0,0,1,0.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Anthony Davis,2,2:24,9.4,4,24,1,1,0,2,2,100.0,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
Wayne Ellington,1,2:30,9.3,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Bogdan Bogdanovic,1,2:22,9.2,2,6,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Luc Mbah a Moute,2017-18
De'Aaron Fox,2,1:48,9.1,0,10,1,0,1,0,3,0.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Dwight Powell,4,2:06,9.1,6,17,0,0,0,2,5,40.0,0,1,0.0,2,2,1,Luc Mbah a Moute,2017-18
Jerryd Bayless,2,2:19,9.1,7,19,1,1,0,3,4,75.0,1,2,50.0,0,0,0,Luc Mbah a Moute,2017-18
Wesley Matthews,2,3:03,8.9,7,12,0,1,0,3,5,60.0,1,3,33.3,0,0,0,Luc Mbah a Moute,2017-18
Evan Turner,3,3:02,8.8,2,12,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Luc Mbah a Moute,2017-18
Danny Green,3,2:25,8.8,5,16,0,0,0,2,5,40.0,1,4,25.0,0,0,0,Luc Mbah a Moute,2017-18
DeMar DeRozan,2,2:10,8.7,10,8,0,1,0,4,6,66.7,1,2,50.0,1,1,1,Luc Mbah a Moute,2017-18
