OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Damian Lillard,2,12:35,46.1,12,60,5,1,0,4,8,50.0,3,5,60.0,1,1,1,Tim Frazier,2017-18
Kyle Lowry,3,8:22,30.4,14,38,1,1,0,4,7,57.1,3,5,60.0,3,3,1,Tim Frazier,2017-18
Tyler Ulis,2,7:24,29.2,5,46,1,1,0,1,2,50.0,1,1,100.0,2,2,0,Tim Frazier,2017-18
Joe Young,2,8:14,28.6,10,30,0,0,0,3,4,75.0,2,2,100.0,2,2,0,Tim Frazier,2017-18
Fred VanVleet,3,8:28,28.5,5,36,0,0,0,2,5,40.0,1,4,25.0,0,0,0,Tim Frazier,2017-18
T.J. McConnell,4,7:25,27.1,4,23,3,1,0,2,4,50.0,0,0,0.0,0,0,0,Tim Frazier,2017-18
Delon Wright,3,6:55,26.1,0,22,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Tim Frazier,2017-18
Jordan Clarkson,3,5:25,22.6,9,20,1,3,1,3,5,60.0,1,1,100.0,2,2,2,Tim Frazier,2017-18
Michael Carter-Williams,3,5:35,21.4,5,31,1,0,0,1,2,50.0,1,1,100.0,2,2,2,Tim Frazier,2017-18
Tyler Johnson,3,5:26,19.3,5,12,0,1,0,1,3,33.3,1,2,50.0,2,2,1,Tim Frazier,2017-18
Eric Bledsoe,2,4:41,18.5,3,22,1,1,0,1,1,100.0,0,0,0.0,1,2,1,Tim Frazier,2017-18
Frank Mason III,1,5:05,18.0,5,19,1,1,0,2,2,100.0,1,1,100.0,0,0,0,Tim Frazier,2017-18
Ish Smith,2,5:01,17.8,6,18,3,1,0,3,6,50.0,0,1,0.0,0,2,2,Tim Frazier,2017-18
Reggie Jackson,2,5:08,16.9,3,20,0,1,0,1,5,20.0,1,4,25.0,0,0,0,Tim Frazier,2017-18
Malcolm Delaney,2,5:24,16.8,8,25,2,0,1,3,6,50.0,2,3,66.7,0,0,0,Tim Frazier,2017-18
JJ Redick,4,4:02,16.2,0,20,1,1,0,0,3,0.0,0,2,0.0,0,0,0,Tim Frazier,2017-18
