OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Jeff Teague,3,17:28,65.2,18,81,4,8,0,8,15,53.3,1,3,33.3,1,2,1,Tyler Ulis,2017-18
De'Aaron Fox,3,16:29,63.6,6,84,5,0,0,3,8,37.5,0,3,0.0,0,0,2,Tyler Ulis,2017-18
Quinn Cook,3,14:27,62.9,7,101,3,2,0,3,9,33.3,1,4,25.0,0,0,1,Tyler Ulis,2017-18
Andrew Harrison,3,15:13,48.8,11,72,2,3,0,4,8,50.0,1,3,33.3,2,4,2,Tyler Ulis,2017-18
Lonzo Ball,2,10:34,48.7,4,70,3,3,0,2,5,40.0,0,0,0.0,0,2,1,Tyler Ulis,2017-18
Kyle Lowry,2,11:37,43.7,11,84,5,0,0,4,8,50.0,3,6,50.0,0,0,0,Tyler Ulis,2017-18
Dejounte Murray,4,13:33,43.6,7,44,1,1,1,3,6,50.0,0,0,0.0,1,2,1,Tyler Ulis,2017-18
Eric Bledsoe,2,12:19,43.6,14,38,2,5,0,4,12,33.3,1,4,25.0,5,8,2,Tyler Ulis,2017-18
Frank Mason III,3,11:31,40.3,4,47,2,0,0,1,5,20.0,0,1,0.0,2,2,1,Tyler Ulis,2017-18
Damian Lillard,3,10:18,36.6,12,41,3,0,0,3,7,42.9,2,5,40.0,4,4,1,Tyler Ulis,2017-18
George Hill,5,9:40,33.9,4,53,0,2,0,1,4,25.0,1,2,50.0,1,2,0,Tyler Ulis,2017-18
Jamal Murray,2,8:18,32.5,10,41,0,1,0,3,6,50.0,2,3,66.7,2,2,1,Tyler Ulis,2017-18
Shelvin Mack,2,8:24,30.5,5,47,2,3,0,2,2,100.0,0,0,0.0,1,2,1,Tyler Ulis,2017-18
JJ Redick,2,7:28,29.9,3,41,0,1,0,0,4,0.0,0,2,0.0,3,4,2,Tyler Ulis,2017-18
Yogi Ferrell,3,8:19,29.6,2,34,3,1,0,1,5,20.0,0,3,0.0,0,0,0,Tyler Ulis,2017-18
Tim Frazier,2,8:14,29.1,7,47,3,1,0,3,6,50.0,1,3,33.3,0,0,1,Tyler Ulis,2017-18
Rajon Rondo,2,7:44,28.3,4,39,3,2,0,2,6,33.3,0,2,0.0,0,0,0,Tyler Ulis,2017-18
Ricky Rubio,3,7:52,28.2,2,29,5,1,0,0,7,0.0,0,2,0.0,2,2,1,Tyler Ulis,2017-18
Joe Young,2,7:16,25.9,2,35,2,1,0,1,4,25.0,0,2,0.0,0,0,0,Tyler Ulis,2017-18
Kyrie Irving,1,6:37,23.8,10,33,2,1,0,4,9,44.4,2,3,66.7,0,0,0,Tyler Ulis,2017-18
Austin Rivers,3,6:37,23.6,0,27,3,1,0,0,1,0.0,0,1,0.0,0,0,0,Tyler Ulis,2017-18
Raul Neto,3,6:58,23.5,2,19,2,2,0,1,2,50.0,0,1,0.0,0,0,0,Tyler Ulis,2017-18
James Harden,2,5:28,23.4,10,47,2,1,0,3,4,75.0,0,1,0.0,4,6,2,Tyler Ulis,2017-18
Tony Parker,1,6:14,22.9,2,31,4,1,0,1,2,50.0,0,0,0.0,0,0,0,Tyler Ulis,2017-18
Kris Dunn,2,5:50,22.8,12,37,2,3,0,5,6,83.3,2,2,100.0,0,0,0,Tyler Ulis,2017-18
Jordan Clarkson,4,5:56,22.6,0,36,1,0,0,0,5,0.0,0,3,0.0,0,0,0,Tyler Ulis,2017-18
Patty Mills,4,5:34,22.4,3,36,2,2,0,1,2,50.0,1,2,50.0,0,0,0,Tyler Ulis,2017-18
Frank Ntilikina,2,6:37,22.2,0,25,1,1,0,0,2,0.0,0,1,0.0,0,0,0,Tyler Ulis,2017-18
Jerian Grant,2,5:56,21.7,2,29,2,0,0,1,2,50.0,0,1,0.0,0,0,0,Tyler Ulis,2017-18
Kemba Walker,2,5:32,19.7,3,38,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Tyler Ulis,2017-18
Tyus Jones,3,5:25,18.9,3,34,2,0,0,1,2,50.0,1,2,50.0,0,0,0,Tyler Ulis,2017-18
Reggie Jackson,2,4:53,18.5,17,40,2,1,0,6,9,66.7,3,4,75.0,2,3,1,Tyler Ulis,2017-18
Dennis Schroder,1,5:05,18.5,4,19,1,1,0,2,3,66.7,0,0,0.0,0,0,0,Tyler Ulis,2017-18
Spencer Dinwiddie,2,5:16,18.2,0,21,3,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyler Ulis,2017-18
Shane Larkin,1,5:26,18.0,0,25,0,0,1,0,3,0.0,0,1,0.0,0,0,0,Tyler Ulis,2017-18
Chris Paul,3,4:57,17.5,2,33,0,0,0,0,3,0.0,0,0,0.0,2,2,1,Tyler Ulis,2017-18
Eric Gordon,3,4:38,17.5,6,22,0,1,0,1,8,12.5,1,7,14.3,3,3,1,Tyler Ulis,2017-18
Kyle Collinsworth,2,5:28,17.3,3,27,2,1,0,1,3,33.3,0,2,0.0,1,2,1,Tyler Ulis,2017-18
Mario Chalmers,2,4:47,17.0,7,36,1,0,0,2,3,66.7,1,2,50.0,2,2,0,Tyler Ulis,2017-18
Jerryd Bayless,2,4:31,16.5,3,20,0,1,0,1,3,33.3,1,3,33.3,0,0,0,Tyler Ulis,2017-18
Ish Smith,2,4:07,15.5,11,26,2,0,0,4,7,57.1,1,1,100.0,2,2,1,Tyler Ulis,2017-18
