OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Moses Brown,1,5:32,22.8,6,24,1,0,0,3,8,37.5,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Juancho Hernangomez,2,2:17,10.1,0,11,0,1,0,0,4,0.0,0,3,0.0,0,0,0,Daniel Oturu,2020-21
Jaylen Hoard,1,2:13,7.5,0,8,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Daniel Oturu,2020-21
Jaxson Hayes,2,2:10,7.4,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
James Johnson,1,2:19,7.4,2,3,1,0,0,0,1,0.0,0,1,0.0,2,2,1,Daniel Oturu,2020-21
Vernon Carey Jr.,2,1:39,7.2,1,11,0,0,0,0,1,0.0,0,0,0.0,1,2,0,Daniel Oturu,2020-21
KJ Martin,2,1:53,7.0,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Daniel Oturu,2020-21
Chimezie Metu,1,1:29,5.5,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Daniel Oturu,2020-21
Tony Bradley,1,1:20,5.5,6,18,1,0,0,3,3,100.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Willy Hernangomez,1,1:37,5.4,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Kelan Martin,2,1:04,5.0,0,3,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Daniel Oturu,2020-21
Trey Lyles,1,1:01,4.6,0,2,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Daniel Oturu,2020-21
Wenyen Gabriel,1,1:17,4.1,3,6,0,1,0,1,2,50.0,1,1,100.0,0,0,0,Daniel Oturu,2020-21
Aleksej Pokusevski,1,1:01,3.9,6,12,0,1,0,2,6,33.3,1,1,100.0,1,2,1,Daniel Oturu,2020-21
Freddie Gillespie,1,0:47,3.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Gary Clark,1,0:54,3.5,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Josh Okogie,1,0:58,3.5,3,6,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Daniel Oturu,2020-21
Montrezl Harrell,1,0:39,3.4,4,5,1,0,0,1,1,100.0,0,0,0.0,2,2,1,Daniel Oturu,2020-21
Jaden McDaniels,2,0:43,3.3,3,9,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Daniel Oturu,2020-21
Ed Davis,1,0:43,3.2,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,1,Daniel Oturu,2020-21
Josh Hall,1,0:44,3.1,5,7,1,1,1,2,5,40.0,0,1,0.0,1,1,1,Daniel Oturu,2020-21
Zion Williamson,2,0:46,3.0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Armoni Brooks,2,0:47,2.9,0,3,0,0,1,0,2,0.0,0,1,0.0,0,0,0,Daniel Oturu,2020-21
Devontae Cacok,2,0:37,2.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Marvin Bagley III,2,0:36,2.6,3,3,0,0,0,1,1,100.0,0,0,0.0,1,2,1,Daniel Oturu,2020-21
Kostas Antetokounmpo,2,0:19,2.5,0,4,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Boban Marjanovic,1,0:35,2.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,2,1,Daniel Oturu,2020-21
Cameron Oliver,1,0:29,2.1,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Naji Marshall,2,0:29,2.1,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
D.J. Wilson,1,0:22,2.0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Daniel Oturu,2020-21
Kira Lewis Jr.,2,0:28,1.9,7,9,1,1,0,3,3,100.0,1,1,100.0,0,0,0,Daniel Oturu,2020-21
Harry Giles III,1,0:32,1.9,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Daniel Oturu,2020-21
Richaun Holmes,2,0:21,1.9,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Anthony Edwards,2,0:23,1.9,0,2,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Jarred Vanderbilt,2,0:25,1.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Tyrell Terry,1,0:24,1.9,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Mamadi Diakite,1,0:20,1.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Gabriel Deck,1,0:24,1.7,2,4,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Daniel Oturu,2020-21
Kelly Olynyk,1,0:28,1.6,2,1,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Daniel Oturu,2020-21
Paul Reed,1,0:20,1.5,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Willie Cauley-Stein,1,0:20,1.5,2,3,0,0,0,1,1,100.0,0,0,0.0,0,0,1,Daniel Oturu,2020-21
Anthony Lamb,2,0:37,1.4,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Goga Bitadze,2,0:20,1.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Bismack Biyombo,1,0:29,1.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Miles Bridges,1,0:26,1.4,0,4,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Daniel Oturu,2020-21
Jalen Smith,2,0:23,1.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Drew Eubanks,1,0:20,1.3,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Alfonzo McKinnie,2,0:19,1.2,0,3,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Josh Green,1,0:14,1.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
George Hill,1,0:11,1.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Theo Maledon,1,0:13,1.1,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Daniel Oturu,2020-21
Wes Iwundu,1,0:10,1.0,2,4,0,0,1,1,3,33.3,0,1,0.0,0,0,0,Daniel Oturu,2020-21
