OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Jayson Tatum,3,16:17,64.4,16,62,2,3,2,7,18,38.9,1,8,12.5,1,1,1,Bradley Beal,2020-21
Zach LaVine,3,17:17,64.4,21,81,3,2,1,7,12,58.3,3,5,60.0,4,6,2,Bradley Beal,2020-21
Gary Trent Jr.,3,18:06,63.4,25,97,2,0,1,8,14,57.1,8,10,80.0,1,1,0,Bradley Beal,2020-21
Donovan Mitchell,2,13:37,59.6,25,66,6,3,0,9,22,40.9,3,10,30.0,4,5,3,Bradley Beal,2020-21
Kentavious Caldwell-Pope,2,14:32,55.1,10,54,0,0,0,4,8,50.0,1,3,33.3,1,1,1,Bradley Beal,2020-21
Danny Green,3,11:43,45.5,8,61,2,0,0,3,7,42.9,2,5,40.0,0,0,0,Bradley Beal,2020-21
Caris LeVert,3,10:35,45.4,16,58,4,2,0,6,14,42.9,2,6,33.3,2,2,1,Bradley Beal,2020-21
Dwayne Bacon,3,11:15,41.6,2,46,1,1,0,1,3,33.3,0,2,0.0,0,0,0,Bradley Beal,2020-21
Dillon Brooks,2,10:29,40.7,6,68,1,2,0,3,6,50.0,0,2,0.0,0,0,1,Bradley Beal,2020-21
Kenrich Williams,2,8:53,34.6,2,40,0,0,0,1,6,16.7,0,2,0.0,0,0,0,Bradley Beal,2020-21
Andrew Wiggins,2,7:17,33.9,4,40,0,0,0,1,3,33.3,0,1,0.0,2,2,1,Bradley Beal,2020-21
Buddy Hield,2,8:00,32.4,8,29,1,1,0,2,5,40.0,2,4,50.0,2,2,0,Bradley Beal,2020-21
Jrue Holiday,2,6:57,32.3,13,47,2,1,0,4,8,50.0,3,6,50.0,2,2,1,Bradley Beal,2020-21
Jimmy Butler,2,7:19,29.5,4,33,2,0,0,1,3,33.3,0,0,0.0,2,2,0,Bradley Beal,2020-21
Garrett Temple,3,6:21,29.0,0,28,0,0,0,0,3,0.0,0,3,0.0,0,0,0,Bradley Beal,2020-21
Saddiq Bey,2,7:07,27.8,5,22,0,0,0,1,5,20.0,1,5,20.0,2,2,1,Bradley Beal,2020-21
Evan Fournier,2,6:17,26.8,4,41,0,0,0,1,3,33.3,1,2,50.0,1,2,0,Bradley Beal,2020-21
Terry Rozier,2,6:51,26.5,16,38,0,0,0,5,9,55.6,5,8,62.5,1,1,0,Bradley Beal,2020-21
Cedi Osman,2,7:05,25.2,13,37,2,0,0,4,6,66.7,3,5,60.0,2,2,1,Bradley Beal,2020-21
Dejounte Murray,2,6:28,24.9,12,52,3,0,0,6,9,66.7,0,2,0.0,0,0,0,Bradley Beal,2020-21
Luguentz Dort,1,6:04,24.9,0,29,0,0,2,0,3,0.0,0,2,0.0,0,0,0,Bradley Beal,2020-21
Jaylen Brown,2,6:32,24.9,10,34,3,2,0,4,9,44.4,2,4,50.0,0,2,0,Bradley Beal,2020-21
Matisse Thybulle,2,6:05,23.5,0,31,0,1,0,0,2,0.0,0,0,0.0,0,0,0,Bradley Beal,2020-21
Timothe Luwawu-Cabarrot,2,5:35,23.4,0,31,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Bradley Beal,2020-21
Shake Milton,3,6:22,23.3,4,43,3,1,0,2,4,50.0,0,2,0.0,0,0,0,Bradley Beal,2020-21
RJ Barrett,1,5:50,23.1,7,18,1,0,0,2,7,28.6,1,4,25.0,2,3,2,Bradley Beal,2020-21
Michael Carter-Williams,3,5:24,22.7,2,37,3,0,0,1,1,100.0,0,0,0.0,0,0,0,Bradley Beal,2020-21
Kyle Kuzma,2,6:29,22.4,3,45,4,0,0,1,3,33.3,1,1,100.0,0,0,0,Bradley Beal,2020-21
Bruce Brown,2,5:44,22.4,2,47,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Bradley Beal,2020-21
Kyrie Irving,3,4:59,21.6,4,43,2,0,1,2,8,25.0,0,4,0.0,0,0,0,Bradley Beal,2020-21
Gary Harris,1,6:01,21.5,0,26,0,2,0,0,2,0.0,0,2,0.0,0,0,0,Bradley Beal,2020-21
Fred VanVleet,2,4:29,21.4,2,38,0,0,0,1,3,33.3,0,2,0.0,0,0,0,Bradley Beal,2020-21
Joe Harris,3,5:02,21.3,2,34,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Bradley Beal,2020-21
De'Aaron Fox,2,4:47,21.2,8,35,1,2,0,3,8,37.5,0,3,0.0,2,2,0,Bradley Beal,2020-21
Eric Bledsoe,2,4:51,20.7,5,42,0,1,0,2,7,28.6,1,4,25.0,0,0,0,Bradley Beal,2020-21
Khris Middleton,1,5:05,20.7,2,28,0,0,0,1,8,12.5,0,3,0.0,0,0,0,Bradley Beal,2020-21
Lonzo Ball,2,4:49,19.7,9,30,3,0,0,3,6,50.0,3,6,50.0,0,0,0,Bradley Beal,2020-21
John Wall,2,4:54,19.3,7,28,4,0,0,2,8,25.0,2,5,40.0,1,2,1,Bradley Beal,2020-21
Anthony Edwards,2,4:35,19.3,3,22,0,1,0,1,3,33.3,1,3,33.3,0,0,0,Bradley Beal,2020-21
Kyle Lowry,1,4:42,19.3,5,27,2,1,0,2,3,66.7,1,2,50.0,0,0,0,Bradley Beal,2020-21
Brandon Ingram,2,5:23,19.1,7,24,1,0,0,2,7,28.6,2,4,50.0,1,1,1,Bradley Beal,2020-21
David Nwaba,2,4:42,19.0,3,23,0,0,0,1,2,50.0,0,1,0.0,1,1,0,Bradley Beal,2020-21
Monte Morris,2,4:35,18.9,2,18,0,0,0,0,2,0.0,0,1,0.0,2,2,1,Bradley Beal,2020-21
Isaac Okoro,2,5:27,18.7,7,12,0,0,0,2,4,50.0,0,2,0.0,3,4,3,Bradley Beal,2020-21
Paul George,1,4:57,17.9,11,36,0,2,0,4,7,57.1,3,3,100.0,0,0,0,Bradley Beal,2020-21
Victor Oladipo,1,4:46,17.8,0,12,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Bradley Beal,2020-21
Keldon Johnson,2,4:23,17.7,7,20,0,0,0,3,3,100.0,1,1,100.0,0,0,0,Bradley Beal,2020-21
Donte DiVincenzo,2,4:10,17.6,5,33,3,0,0,2,2,100.0,1,1,100.0,0,0,0,Bradley Beal,2020-21
Lonnie Walker IV,2,4:43,17.4,12,28,0,0,0,4,6,66.7,2,2,100.0,2,2,0,Bradley Beal,2020-21
