OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Blake Griffin,4,17:48,63.1,11,75,3,4,0,4,12,33.3,1,7,14.3,2,2,1,Giannis Antetokounmpo,2020-21
Jeff Green,3,15:26,61.7,16,97,1,0,0,5,6,83.3,4,5,80.0,2,2,1,Giannis Antetokounmpo,2020-21
Pascal Siakam,3,15:08,54.4,10,64,1,1,1,3,7,42.9,1,2,50.0,3,3,3,Giannis Antetokounmpo,2020-21
Jerami Grant,3,10:54,42.0,22,54,0,2,1,7,15,46.7,3,6,50.0,5,6,2,Giannis Antetokounmpo,2020-21
Keldon Johnson,2,11:03,42.0,13,49,1,0,0,3,7,42.9,1,3,33.3,6,6,3,Giannis Antetokounmpo,2020-21
Julius Randle,2,11:10,41.9,15,59,4,3,0,6,13,46.2,3,4,75.0,0,0,1,Giannis Antetokounmpo,2020-21
Kelly Olynyk,4,10:26,40.7,9,51,3,3,1,1,5,20.0,1,3,33.3,6,7,3,Giannis Antetokounmpo,2020-21
Solomon Hill,3,10:53,39.7,16,59,3,0,0,6,11,54.5,4,6,66.7,0,0,0,Giannis Antetokounmpo,2020-21
Russell Westbrook,3,8:59,39.1,7,54,8,3,0,3,8,37.5,1,4,25.0,0,0,0,Giannis Antetokounmpo,2020-21
OG Anunoby,2,9:48,39.1,4,59,1,0,1,1,7,14.3,0,4,0.0,2,2,0,Giannis Antetokounmpo,2020-21
Darius Bazley,2,10:20,38.4,8,42,0,0,2,3,8,37.5,2,4,50.0,0,0,0,Giannis Antetokounmpo,2020-21
Rui Hachimura,2,7:59,38.1,5,46,0,1,1,2,5,40.0,1,3,33.3,0,0,1,Giannis Antetokounmpo,2020-21
Royce O'Neale,2,9:47,36.3,6,47,0,1,0,2,2,100.0,2,2,100.0,0,0,0,Giannis Antetokounmpo,2020-21
Marcus Smart,3,7:58,33.9,9,62,3,1,0,3,6,50.0,3,4,75.0,0,0,0,Giannis Antetokounmpo,2020-21
Andre Iguodala,2,8:59,33.8,0,36,4,2,0,0,3,0.0,0,3,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Miles Bridges,2,8:54,32.8,4,41,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Jae Crowder,2,9:20,31.7,6,34,0,0,0,2,6,33.3,2,6,33.3,0,0,0,Giannis Antetokounmpo,2020-21
Markieff Morris,2,8:15,30.3,5,43,2,1,0,2,4,50.0,1,2,50.0,0,0,0,Giannis Antetokounmpo,2020-21
Ben Simmons,1,7:39,30.1,2,30,4,2,0,1,2,50.0,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
P.J. Washington,2,7:03,28.7,4,42,0,1,0,2,4,50.0,0,1,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Marcus Morris Sr.,2,8:03,28.4,4,38,0,0,0,2,7,28.6,0,2,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Paul Millsap,1,6:59,27.4,6,37,0,1,0,2,5,40.0,2,5,40.0,0,0,0,Giannis Antetokounmpo,2020-21
John Collins,2,7:08,27.1,6,44,1,1,0,2,3,66.7,2,3,66.7,0,0,0,Giannis Antetokounmpo,2020-21
Kyle Anderson,2,6:41,26.4,0,40,1,0,0,0,3,0.0,0,3,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Steven Adams,2,7:21,24.6,4,35,2,0,0,2,3,66.7,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Grant Williams,3,6:43,24.6,3,18,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Giannis Antetokounmpo,2020-21
Danilo Gallinari,2,6:59,23.8,11,33,2,0,0,3,4,75.0,3,3,100.0,2,2,2,Giannis Antetokounmpo,2020-21
DaQuan Jeffries,2,5:12,23.7,13,34,0,0,0,5,6,83.3,3,4,75.0,0,0,0,Giannis Antetokounmpo,2020-21
Myles Turner,1,5:51,23.1,0,21,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Isaac Okoro,2,6:49,23.0,3,32,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Giannis Antetokounmpo,2020-21
George Hill,2,6:17,22.9,2,15,1,1,0,1,4,25.0,0,1,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Kawhi Leonard,2,6:11,22.6,5,30,0,0,1,2,6,33.3,1,3,33.3,0,0,0,Giannis Antetokounmpo,2020-21
DeAndre Jordan,3,5:10,21.5,4,53,0,1,1,2,3,66.7,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Patrick Williams,1,5:21,21.3,4,27,0,1,1,2,3,66.7,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Larry Nance Jr.,1,5:35,21.3,4,31,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Anthony Davis,1,5:41,21.0,4,28,4,2,0,2,4,50.0,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Aaron Gordon,1,5:29,21.0,7,30,2,1,0,3,3,100.0,0,0,0.0,1,1,1,Giannis Antetokounmpo,2020-21
Moritz Wagner,1,4:59,20.2,8,27,0,0,0,3,5,60.0,1,2,50.0,1,2,1,Giannis Antetokounmpo,2020-21
Lonzo Ball,2,4:54,20.2,5,24,3,0,0,2,7,28.6,1,4,25.0,0,0,0,Giannis Antetokounmpo,2020-21
Sekou Doumbouya,2,4:50,20.2,6,29,0,0,1,2,4,50.0,2,3,66.7,0,0,0,Giannis Antetokounmpo,2020-21
Michael Porter Jr.,2,5:34,19.9,8,35,0,0,0,3,5,60.0,2,2,100.0,0,0,0,Giannis Antetokounmpo,2020-21
Robert Covington,2,4:56,19.8,3,32,0,0,0,1,4,25.0,1,3,33.3,0,0,0,Giannis Antetokounmpo,2020-21
Zion Williamson,2,4:59,19.7,10,38,2,1,1,5,8,62.5,0,0,0.0,0,2,1,Giannis Antetokounmpo,2020-21
Eric Paschall,1,4:42,19.4,5,22,1,0,0,2,5,40.0,0,2,0.0,1,1,1,Giannis Antetokounmpo,2020-21
Deni Avdija,2,4:22,19.3,0,23,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Kevin Durant,3,4:28,18.7,16,29,0,1,1,6,11,54.5,2,5,40.0,2,2,2,Giannis Antetokounmpo,2020-21
Daniel Theis,2,4:35,18.7,5,29,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Giannis Antetokounmpo,2020-21
Tobias Harris,3,4:49,18.5,5,23,1,3,0,2,6,33.3,1,4,25.0,0,0,0,Giannis Antetokounmpo,2020-21
Frank Kaminsky,1,5:03,18.2,3,38,4,1,0,1,2,50.0,1,2,50.0,0,0,0,Giannis Antetokounmpo,2020-21
Derrick Favors,2,5:36,18.0,0,25,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Carmelo Anthony,2,4:43,17.7,2,17,1,1,0,0,2,0.0,0,2,0.0,2,2,1,Giannis Antetokounmpo,2020-21
Oshae Brissett,1,3:52,16.9,5,29,1,0,0,1,3,33.3,1,2,50.0,2,2,1,Giannis Antetokounmpo,2020-21
Josh Hart,2,4:19,16.6,6,27,2,0,0,2,4,50.0,1,3,33.3,1,1,1,Giannis Antetokounmpo,2020-21
Brandon Clarke,1,4:40,16.2,2,17,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Kristaps Porzingis,1,3:54,16.2,11,26,0,2,0,4,9,44.4,2,3,66.7,1,2,1,Giannis Antetokounmpo,2020-21
Al Horford,2,3:58,15.7,4,17,3,0,0,2,4,50.0,0,2,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Rudy Gay,2,4:13,15.3,9,31,0,0,0,3,4,75.0,1,1,100.0,2,2,0,Giannis Antetokounmpo,2020-21
Matisse Thybulle,3,4:28,15.3,0,28,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Trevor Ariza,1,3:49,15.3,3,15,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Giannis Antetokounmpo,2020-21
Norman Powell,4,3:30,15.1,3,38,1,1,2,1,6,16.7,1,4,25.0,0,0,0,Giannis Antetokounmpo,2020-21
Bam Adebayo,3,3:47,15.1,7,21,0,1,0,2,2,100.0,0,0,0.0,3,4,1,Giannis Antetokounmpo,2020-21
Vlatko Cancar,2,4:19,15.1,0,14,0,1,1,0,2,0.0,0,1,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Jaden McDaniels,1,3:36,15.0,0,18,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Nassir Little,1,3:50,15.0,5,18,0,1,0,2,4,50.0,1,2,50.0,0,0,0,Giannis Antetokounmpo,2020-21
Semi Ojeleye,2,3:59,14.9,0,27,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
KZ Okpala,1,3:38,14.8,0,18,0,0,0,0,0,0.0,0,0,0.0,0,0,1,Giannis Antetokounmpo,2020-21
Montrezl Harrell,2,3:44,14.0,4,10,0,1,0,1,2,50.0,0,0,0.0,2,2,0,Giannis Antetokounmpo,2020-21
Robert Williams III,3,3:38,13.5,9,21,1,0,1,4,5,80.0,0,0,0.0,1,1,1,Giannis Antetokounmpo,2020-21
JaKarr Sampson,1,3:29,13.3,6,16,0,0,0,3,5,60.0,0,1,0.0,0,0,0,Giannis Antetokounmpo,2020-21
Marvin Bagley III,1,3:20,13.2,4,14,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Giannis Antetokounmpo,2020-21
James Johnson,1,3:25,12.9,8,22,0,1,0,3,4,75.0,1,2,50.0,1,2,1,Giannis Antetokounmpo,2020-21
Bojan Bogdanovic,2,2:59,12.4,3,25,1,0,0,1,3,33.3,1,3,33.3,0,0,0,Giannis Antetokounmpo,2020-21
Rudy Gobert,2,2:59,12.2,10,25,0,0,1,4,5,80.0,0,0,0.0,2,4,1,Giannis Antetokounmpo,2020-21
Thaddeus Young,1,3:10,12.1,2,14,0,0,0,1,3,33.3,0,2,0.0,0,0,0,Giannis Antetokounmpo,2020-21
