OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Dennis Schroder,3,12:50,44.8,11,58,7,0,1,5,11,45.5,1,2,50.0,0,0,0,Tyus Jones,2020-21
Kira Lewis Jr.,3,9:11,37.5,2,44,1,2,0,1,5,20.0,0,2,0.0,0,0,0,Tyus Jones,2020-21
Isaac Okoro,2,10:55,33.5,2,45,0,2,0,1,2,50.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Raul Neto,2,7:41,31.2,8,37,2,1,0,3,4,75.0,2,3,66.7,0,0,0,Tyus Jones,2020-21
Chasson Randle,2,7:37,28.5,4,23,2,0,0,1,6,16.7,1,3,33.3,1,2,1,Tyus Jones,2020-21
Josh Okogie,2,7:00,28.3,0,45,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Cameron Payne,3,7:20,27.2,7,35,3,0,0,3,4,75.0,1,2,50.0,0,0,0,Tyus Jones,2020-21
Delon Wright,2,6:58,26.7,5,33,2,1,0,2,8,25.0,1,4,25.0,0,0,0,Tyus Jones,2020-21
Jeff Teague,3,6:22,25.4,4,41,2,2,0,2,3,66.7,0,0,0.0,0,0,0,Tyus Jones,2020-21
Damyean Dotson,2,5:22,20.7,0,33,2,1,0,0,1,0.0,0,1,0.0,0,0,0,Tyus Jones,2020-21
Devonte' Graham,1,5:25,20.5,0,21,2,0,0,0,5,0.0,0,3,0.0,0,0,0,Tyus Jones,2020-21
Derrick White,2,5:14,19.8,3,22,1,0,0,1,3,33.3,1,3,33.3,0,0,0,Tyus Jones,2020-21
T.J. McConnell,2,4:32,19.2,8,22,1,1,0,4,6,66.7,0,0,0.0,0,0,0,Tyus Jones,2020-21
Mason Jones,3,4:42,18.9,4,22,1,2,0,2,3,66.7,0,1,0.0,0,0,0,Tyus Jones,2020-21
Reggie Jackson,2,4:58,18.9,0,18,0,2,0,0,2,0.0,0,1,0.0,0,0,0,Tyus Jones,2020-21
Immanuel Quickley,2,5:29,18.4,11,39,0,0,0,4,7,57.1,3,3,100.0,0,0,0,Tyus Jones,2020-21
Bruce Brown,1,5:04,18.3,2,28,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Chris Chiozza,1,4:34,18.1,6,23,2,0,0,2,5,40.0,1,3,33.3,1,2,1,Tyus Jones,2020-21
Nico Mannion,2,5:34,17.8,0,19,0,0,0,0,4,0.0,0,2,0.0,0,0,0,Tyus Jones,2020-21
Trey Burke,2,4:50,17.3,0,39,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Tyus Jones,2020-21
JJ Redick,4,4:04,17.2,9,25,0,1,0,3,4,75.0,3,3,100.0,0,0,0,Tyus Jones,2020-21
Goran Dragic,2,4:44,17.0,6,15,0,1,0,2,5,40.0,2,4,50.0,0,0,0,Tyus Jones,2020-21
Mike Conley,2,4:05,16.3,2,16,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Dejounte Murray,3,3:58,16.2,5,20,1,1,0,2,3,66.7,1,2,50.0,0,0,0,Tyus Jones,2020-21
Jevon Carter,3,4:10,16.1,5,34,4,0,0,2,2,100.0,1,1,100.0,0,0,0,Tyus Jones,2020-21
Ty Jerome,2,3:38,15.6,6,25,2,0,0,2,5,40.0,2,4,50.0,0,0,0,Tyus Jones,2020-21
Alex Caruso,1,3:41,15.3,0,21,2,1,0,0,0,0.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Facundo Campazzo,2,4:29,15.2,0,17,1,0,0,0,3,0.0,0,3,0.0,0,0,0,Tyus Jones,2020-21
Sterling Brown,3,4:14,15.2,0,17,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Tyus Jones,2020-21
Wesley Matthews,3,3:44,15.1,3,22,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Tyus Jones,2020-21
Patty Mills,3,3:16,14.8,8,19,0,0,0,3,3,100.0,2,2,100.0,0,0,0,Tyus Jones,2020-21
Theo Maledon,2,3:58,14.6,2,19,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Payton Pritchard,2,4:11,14.6,0,14,1,0,0,0,3,0.0,0,2,0.0,0,0,0,Tyus Jones,2020-21
Brandon Goodwin,2,3:22,14.2,3,23,1,0,0,1,5,20.0,1,1,100.0,0,0,0,Tyus Jones,2020-21
Miye Oni,2,3:51,13.9,0,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Kenrich Williams,3,2:56,13.7,6,29,3,0,0,2,3,66.7,0,0,0.0,2,2,1,Tyus Jones,2020-21
Yogi Ferrell,2,3:56,13.5,3,18,2,0,0,1,1,100.0,1,1,100.0,0,0,0,Tyus Jones,2020-21
D.J. Augustin,1,3:44,12.8,0,8,2,0,1,0,2,0.0,0,1,0.0,0,0,0,Tyus Jones,2020-21
Mychal Mulder,3,3:53,12.7,0,19,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Tyus Jones,2020-21
Landry Shamet,2,3:00,11.9,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Kyle Kuzma,3,2:30,11.6,5,24,0,1,0,2,5,40.0,1,4,25.0,0,0,0,Tyus Jones,2020-21
LaMelo Ball,2,3:04,11.6,2,15,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Matisse Thybulle,2,3:02,11.5,0,33,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Troy Brown Jr.,3,2:55,11.5,0,13,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Tyus Jones,2020-21
Talen Horton-Tucker,3,3:04,11.4,0,23,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Dennis Smith Jr.,1,3:10,11.4,0,10,1,0,1,0,3,0.0,0,2,0.0,0,0,0,Tyus Jones,2020-21
Saben Lee,1,3:28,11.2,2,10,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Terence Davis,3,3:01,10.9,3,15,1,0,0,1,3,33.3,1,3,33.3,0,0,0,Tyus Jones,2020-21
Tyler Herro,2,2:50,10.9,4,13,0,1,0,1,2,50.0,0,0,0.0,2,2,1,Tyus Jones,2020-21
Juancho Hernangomez,3,2:35,10.9,5,21,1,0,0,2,2,100.0,1,1,100.0,0,0,0,Tyus Jones,2020-21
Jalen Brunson,3,2:48,10.5,0,10,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Tyus Jones,2020-21
Cory Joseph,1,3:00,10.3,5,15,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Tyus Jones,2020-21
Kevin Huerter,2,2:25,10.1,5,15,1,0,0,2,4,50.0,1,2,50.0,0,0,0,Tyus Jones,2020-21
Timothe Luwawu-Cabarrot,2,2:35,10.0,3,16,0,1,0,1,4,25.0,1,4,25.0,0,0,0,Tyus Jones,2020-21
Darius Miller,2,2:37,9.9,3,10,2,0,0,1,1,100.0,1,1,100.0,0,0,0,Tyus Jones,2020-21
Ricky Rubio,2,2:18,9.7,0,8,1,0,0,0,2,0.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Caris LeVert,3,2:02,9.1,2,2,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Tyus Jones,2020-21
Terance Mann,3,2:13,9.1,5,12,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Tyus Jones,2020-21
Jordan McLaughlin,1,2:03,8.8,0,4,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Tyus Jones,2020-21
Cedi Osman,2,2:15,8.6,3,16,1,0,0,1,4,25.0,1,3,33.3,0,0,0,Tyus Jones,2020-21
Brad Wanamaker,2,2:01,8.5,2,9,0,0,0,1,4,25.0,0,3,0.0,0,0,0,Tyus Jones,2020-21
Josh Hart,2,1:47,8.3,0,10,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Tyus Jones,2020-21
Georges Niang,3,2:03,8.3,0,20,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Tyus Jones,2020-21
Bryn Forbes,2,2:06,8.2,5,12,0,0,0,1,3,33.3,1,3,33.3,2,2,0,Tyus Jones,2020-21
