player,season,POSS,adj_usg_rank,Big Freq%,Wing Freq%,Forward Freq%,Guard Freq%,score,versatility_score_rank,height,weight,adj_usg_rank_guard,adj_usg_rank_wing,adj_usg_rank_forward,adj_usg_rank_big
Aaron Gordon,2019-20,2794.6,0.8657844990548205,0.15529950619051025,0.24575967938166463,0.5104129392399628,0.08852787518786231,1.1916302829482868,0.29867674858223064,79.1439204179489,223.98268088456308,0.8536121673003803,0.5863377609108159,0.8865784499054821,0.9847328244274809
Aaron Holiday,2019-20,2177.7,0.7977315689981096,0.057032649125223864,0.3641915782706525,0.13817330210772835,0.4406024704963953,1.165412254238717,0.21550094517958412,76.10570785691327,203.70693851311017,0.7091254752851711,0.6660341555977229,0.610586011342155,0.7022900763358778
Abdel Nader,2019-20,1204.7,0.28544423440453687,0.08267618494230927,0.40491408649456295,0.3113638250186769,0.20104590354445087,1.2575915996251805,0.7051039697542533,77.72441271685896,212.85764090644975,0.23193916349809887,0.222011385199241,0.41398865784499056,0.49809160305343514
Adam Mokoka,2019-20,153.9,0.6748582230623819,0.3385315139701106,0.26315789473684226,0.28460038986354785,0.11371020142949971,1.322458689076342,0.9659735349716446,79.08447043534767,219.25211176088382,0.23574144486692014,0.16698292220113853,0.9886578449905482,0.5744274809160306
Admiral Schofield,2019-20,510.2,0.3005671077504726,0.1916895335162681,0.3330066640533124,0.3533908271266171,0.12191297530380239,1.3065693884695448,0.9357277882797732,78.89180713445707,219.11505292042335,0.27566539923954375,0.18785578747628084,0.3516068052930057,0.7423664122137404
Al Horford,2019-20,2705.1,0.6521739130434783,0.44364348822594374,0.15315515138072527,0.3312631695685927,0.07193819082473844,1.202860954018049,0.34593572778827975,80.54519241432848,234.6704003548852,0.8098859315589354,0.571157495256167,0.7410207939508506,0.5877862595419847
Al-Farouq Aminu,2019-20,522.0,0.5255198487712666,0.16264367816091957,0.1538314176245211,0.6105363984674331,0.07298850574712644,1.075242515466818,0.062381852551984876,79.51743295019158,225.0785440613027,0.7167300380228137,0.29411764705882354,0.3950850661625709,0.9809160305343512
Alec Burks,2019-20,2363.2,0.7277882797731569,0.08492721733243061,0.34508293838862564,0.226980365605958,0.3430094786729858,1.2797918442705487,0.8431001890359168,77.0252623561273,207.73908259986462,0.6977186311787072,0.444022770398482,0.8128544423440454,0.45038167938931295
Alen Smailagic,2019-20,193.9,0.2627599243856333,0.30221763795771023,0.20526044352759154,0.35585353274883963,0.1366683857658587,1.3259388344138285,0.9735349716446124,79.74522949974215,229.25528623001549,0.25285171102661597,0.15180265654648956,0.20226843100189035,0.6278625954198473
Alex Caruso,2019-20,1615.0,0.8752362948960303,0.08340557275541793,0.3514551083591331,0.20873065015479877,0.3564086687306502,1.269009367286077,0.7618147448015122,76.84631578947368,207.49882352941174,0.8041825095057035,0.8444022770398482,0.8487712665406427,0.5458015267175572
Alex Len,2019-20,1357.8,0.5973534971644613,0.5524377669759906,0.11636470761525998,0.25246722639564007,0.07873029901310945,1.1253536958835704,0.13043478260869565,81.03269995581087,239.06974517602006,0.42775665399239543,0.7020872865275142,0.5954631379962193,0.6164122137404581
Alfonzo McKinnie,2019-20,812.9,0.31568998109640833,0.12658383565014147,0.36757288719399683,0.3660966908598844,0.13974658629597736,1.2719951333055657,0.782608695652174,78.18846106532169,213.62664534383075,0.5285171102661597,0.32827324478178366,0.29867674858223064,0.3530534351145038
Alize Johnson,2019-20,165.0,0.03780718336483932,0.2866666666666667,0.4357575757575758,0.22727272727272727,0.05030303030303031,1.2068607381893144,0.3686200378071834,79.49454545454545,224.0,0.16920152091254753,0.051233396584440226,0.05671077504725898,0.04770992366412214
Allen Crabbe,2019-20,910.3,0.389413988657845,0.061737888608151166,0.40975502581566514,0.2929803361529167,0.23552674942326704,1.2373456868041606,0.5671077504725898,77.44611666483578,210.690871141382,0.3935361216730038,0.3567362428842505,0.5085066162570888,0.1851145038167939
Allonzo Trier,2019-20,398.7,0.30623818525519847,0.06471030850263355,0.4045648357160772,0.16378229245046397,0.3669425633308252,1.2070704815584323,0.3705103969754253,76.66741911211437,205.67845497868072,0.1520912547528517,0.4990512333965844,0.33459357277882795,0.13931297709923665
Amile Jefferson,2019-20,105.89999999999999,0.05671077504725898,0.15297450424929174,0.38810198300283283,0.3966005665722379,0.06232294617563738,1.1938999275487951,0.30623818525519847,79.35033050047214,224.0207743153918,0.11026615969581749,0.0872865275142315,0.0831758034026465,0.061068702290076333
Amir Coffey,2019-20,231.8,0.11153119092627599,0.06169111302847283,0.5465918895599655,0.16954270923209666,0.22217428817946508,1.1367125340178263,0.14933837429111532,77.03925798101811,209.20923209663502,0.17110266159695817,0.15370018975332067,0.04914933837429111,0.10114503816793893
Andre Drummond,2019-20,2465.1,0.5652173913043478,0.4708531094073262,0.08965153543466796,0.3546306437872703,0.08486471137073547,1.147448273668002,0.17391304347826086,80.86033020972779,238.94750720051925,0.8802281368821293,0.8633776091081594,0.42344045368620037,0.4961832061068702
Andre Iguodala,2019-20,573.3,0.6824196597353497,0.1261119832548404,0.2780394208965638,0.34850863422292006,0.2473399616256759,1.32950610169726,0.9792060491493384,77.85470085470085,215.48595848595852,0.7110266159695817,0.6451612903225806,0.43478260869565216,0.9217557251908397
Andre Roberson,2019-20,121.4,0.34593572778827975,0.11614497528830316,0.2866556836902801,0.43163097199341016,0.16556836902800662,1.2682220898247667,0.7561436672967864,78.334431630972,218.45387149917624,0.5760456273764258,0.08918406072106262,0.667296786389414,0.16030534351145037
