OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Marcus Morris Sr.,5,22:40,86.8,31,118,0,1,0,11,22,50.0,0,4,0.0,9,9,3,Cedi Osman,2019-20
T.J. Warren,3,19:26,78.9,4,108,1,1,0,2,12,16.7,0,5,0.0,0,0,0,Cedi Osman,2019-20
Duncan Robinson,4,15:26,56.6,21,83,1,0,0,7,11,63.6,7,11,63.6,0,0,0,Cedi Osman,2019-20
Khris Middleton,3,11:58,50.2,17,71,4,6,0,7,11,63.6,1,3,33.3,2,3,1,Cedi Osman,2019-20
Tony Snell,3,13:16,48.4,11,75,2,0,0,4,6,66.7,3,5,60.0,0,0,0,Cedi Osman,2019-20
OG Anunoby,3,11:20,48.0,8,93,3,1,0,4,6,66.7,0,1,0.0,0,2,1,Cedi Osman,2019-20
De'Andre Hunter,2,10:31,47.3,14,67,0,2,0,5,11,45.5,1,6,16.7,3,6,1,Cedi Osman,2019-20
Will Barton,2,11:11,42.9,9,55,0,1,0,4,11,36.4,1,3,33.3,0,0,0,Cedi Osman,2019-20
Brandon Ingram,2,9:32,42.0,14,62,3,1,1,5,8,62.5,0,0,0.0,4,5,3,Cedi Osman,2019-20
Ben Simmons,3,11:19,41.6,11,58,5,2,0,5,7,71.4,0,0,0.0,1,3,2,Cedi Osman,2019-20
Jae Crowder,4,9:52,41.4,4,53,1,1,0,1,5,20.0,0,2,0.0,2,3,1,Cedi Osman,2019-20
Robert Covington,2,9:31,37.0,9,43,2,0,0,3,7,42.9,3,7,42.9,0,0,0,Cedi Osman,2019-20
Zach LaVine,3,9:37,36.1,16,54,2,0,0,7,11,63.6,1,4,25.0,1,1,0,Cedi Osman,2019-20
Gordon Hayward,3,8:40,35.9,15,62,5,0,0,6,8,75.0,0,2,0.0,3,3,2,Cedi Osman,2019-20
DeMar DeRozan,2,8:24,35.8,8,42,1,0,0,3,6,50.0,0,0,0.0,2,2,1,Cedi Osman,2019-20
Sekou Doumbouya,4,9:26,33.9,3,41,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Cedi Osman,2019-20
Aaron Gordon,2,9:22,33.9,5,37,0,1,0,2,9,22.2,1,3,33.3,0,0,0,Cedi Osman,2019-20
Jayson Tatum,4,8:21,33.1,13,50,4,1,0,5,8,62.5,1,3,33.3,2,3,2,Cedi Osman,2019-20
Luka Doncic,2,8:19,32.6,21,66,7,4,1,7,10,70.0,3,5,60.0,4,4,2,Cedi Osman,2019-20
Davis Bertans,3,6:41,29.6,5,41,1,0,0,2,4,50.0,0,2,0.0,1,1,1,Cedi Osman,2019-20
Otto Porter Jr.,2,7:37,29.0,13,40,1,0,0,4,5,80.0,1,1,100.0,4,4,3,Cedi Osman,2019-20
Troy Brown Jr.,3,7:08,28.7,0,37,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Cedi Osman,2019-20
Miles Bridges,2,7:38,28.6,8,36,1,0,0,3,5,60.0,0,1,0.0,2,2,1,Cedi Osman,2019-20
Wesley Matthews,3,6:15,28.1,11,44,1,1,0,3,5,60.0,1,2,50.0,4,4,1,Cedi Osman,2019-20
Isaac Bonga,2,7:17,26.5,0,40,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Cedi Osman,2019-20
Tobias Harris,4,6:20,25.6,15,46,1,0,0,6,12,50.0,1,4,25.0,2,2,1,Cedi Osman,2019-20
Danilo Gallinari,2,6:41,25.0,6,38,0,0,0,2,7,28.6,0,2,0.0,2,2,1,Cedi Osman,2019-20
Svi Mykhailiuk,4,6:19,23.2,0,41,2,0,0,0,5,0.0,0,5,0.0,0,0,0,Cedi Osman,2019-20
Derrick Jones Jr.,2,5:25,23.1,0,58,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Cedi Osman,2019-20
Evan Fournier,3,5:25,21.7,6,21,0,1,0,1,6,16.7,0,2,0.0,4,4,1,Cedi Osman,2019-20
Paul George,1,5:11,21.7,6,35,2,3,0,2,4,50.0,2,3,66.7,0,0,0,Cedi Osman,2019-20
Tomas Satoransky,4,4:55,19.8,7,31,2,0,0,3,4,75.0,1,1,100.0,0,0,1,Cedi Osman,2019-20
Furkan Korkmaz,4,4:10,19.5,4,32,2,1,0,1,2,50.0,1,2,50.0,1,2,1,Cedi Osman,2019-20
