OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Donovan Mitchell,3,9:22,37.3,16,33,1,0,0,5,11,45.5,1,3,33.3,5,7,1,Treveon Graham,2019-20
Bradley Beal,4,8:43,34.6,21,43,1,4,0,8,13,61.5,0,2,0.0,5,6,3,Treveon Graham,2019-20
D'Angelo Russell,2,8:23,33.3,15,37,0,1,0,6,14,42.9,2,5,40.0,1,1,2,Treveon Graham,2019-20
DeMar DeRozan,2,7:34,31.3,2,13,0,1,0,1,5,20.0,0,0,0.0,0,0,1,Treveon Graham,2019-20
Joe Harris,2,6:40,28.9,8,46,0,1,1,3,4,75.0,2,2,100.0,0,0,0,Treveon Graham,2019-20
Buddy Hield,1,6:26,25.6,2,22,0,1,0,1,5,20.0,0,1,0.0,0,0,0,Treveon Graham,2019-20
Dillon Brooks,4,5:52,24.9,15,26,1,0,0,5,12,41.7,2,4,50.0,3,3,2,Treveon Graham,2019-20
Blake Griffin,1,4:17,18.3,7,35,4,2,0,3,5,60.0,0,0,0.0,1,1,2,Treveon Graham,2019-20
Justin Jackson,3,4:11,16.8,0,24,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Treveon Graham,2019-20
Justise Winslow,1,4:29,16.6,4,33,1,2,0,2,2,100.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Jayson Tatum,2,4:24,16.5,2,20,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Trae Young,1,3:39,15.4,15,24,2,1,0,5,9,55.6,3,4,75.0,2,2,0,Treveon Graham,2019-20
James Harden,2,4:04,14.9,17,30,2,2,0,5,8,62.5,3,4,75.0,4,5,2,Treveon Graham,2019-20
Bogdan Bogdanovic,1,4:20,14.5,2,9,1,0,0,1,8,12.5,0,4,0.0,0,0,0,Treveon Graham,2019-20
Cedi Osman,1,4:15,13.6,3,14,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Treveon Graham,2019-20
Ja Morant,3,3:37,13.1,6,13,0,1,1,2,5,40.0,0,0,0.0,2,2,2,Treveon Graham,2019-20
Marko Guduric,1,3:13,12.0,2,22,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Ben Simmons,2,2:43,11.0,0,16,2,2,0,0,2,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Josh Jackson,2,2:58,10.9,9,23,1,0,0,2,4,50.0,1,1,100.0,4,5,2,Treveon Graham,2019-20
Tim Hardaway Jr.,3,2:39,10.7,5,26,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Treveon Graham,2019-20
Alec Burks,2,3:00,10.7,2,14,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Jamal Murray,2,2:43,10.4,11,15,0,0,0,4,5,80.0,1,1,100.0,2,2,1,Treveon Graham,2019-20
Larry Nance Jr.,2,2:30,10.2,4,16,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Rui Hachimura,3,2:10,10.0,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Kyle Anderson,3,1:57,9.9,2,19,2,1,0,1,1,100.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Davis Bertans,3,2:21,9.9,1,16,0,0,0,0,1,0.0,0,0,0.0,1,3,1,Treveon Graham,2019-20
Cody Martin,2,2:34,9.8,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Carmelo Anthony,2,2:34,9.6,2,11,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Semi Ojeleye,2,2:13,9.6,3,7,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Treveon Graham,2019-20
Khris Middleton,1,1:44,9.5,2,19,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Bojan Bogdanovic,3,2:40,9.4,3,9,0,1,0,1,4,25.0,1,2,50.0,0,0,0,Treveon Graham,2019-20
Monte Morris,2,2:37,9.2,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Tyus Jones,4,2:05,8.8,5,10,0,1,0,2,5,40.0,0,1,0.0,1,2,1,Treveon Graham,2019-20
Will Barton,2,2:30,8.8,6,18,0,2,0,2,3,66.7,2,2,100.0,0,0,0,Treveon Graham,2019-20
Giannis Antetokounmpo,1,1:43,8.8,5,25,3,0,0,2,2,100.0,0,0,0.0,1,1,0,Treveon Graham,2019-20
Chris Clemons,2,2:16,8.8,0,17,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Royce O'Neale,3,1:55,8.4,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Glenn Robinson III,2,1:37,8.4,2,16,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Tobias Harris,2,2:27,8.3,2,11,0,1,0,0,1,0.0,0,0,0.0,2,2,1,Treveon Graham,2019-20
Jerami Grant,2,2:02,8.3,0,10,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Caris LeVert,2,2:20,8.3,5,8,0,1,0,2,5,40.0,1,1,100.0,0,2,0,Treveon Graham,2019-20
Seth Curry,3,2:00,8.2,0,13,1,1,0,0,2,0.0,0,2,0.0,0,0,0,Treveon Graham,2019-20
Luke Kennard,1,1:40,8.0,5,11,0,1,0,1,3,33.3,0,0,0.0,3,3,1,Treveon Graham,2019-20
Dennis Schroder,2,1:40,8.0,2,4,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Treveon Graham,2019-20
Jae Crowder,2,1:49,7.4,8,24,1,0,0,3,4,75.0,2,2,100.0,0,0,0,Treveon Graham,2019-20
Paul Millsap,1,2:14,7.4,4,11,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Dwayne Bacon,1,1:43,7.4,0,20,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Isaac Bonga,2,2:01,7.3,1,17,0,1,0,0,0,0.0,0,0,0.0,1,2,1,Treveon Graham,2019-20
Jrue Holiday,1,1:54,7.1,2,2,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Treveon Graham,2019-20
Damion Lee,2,1:43,7.0,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Jeff Green,3,1:58,7.0,5,13,0,0,0,1,1,100.0,1,1,100.0,2,2,1,Treveon Graham,2019-20
Markieff Morris,2,1:40,7.0,2,7,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Tyler Herro,1,1:44,7.0,0,9,1,1,0,0,1,0.0,0,1,0.0,0,0,0,Treveon Graham,2019-20
Luka Doncic,1,1:44,6.9,2,8,0,1,0,1,4,25.0,0,1,0.0,0,0,0,Treveon Graham,2019-20
Justin Holiday,1,1:53,6.9,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Cameron Johnson,1,1:38,6.8,0,5,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
P.J. Washington,2,1:19,6.8,5,19,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Treveon Graham,2019-20
P.J. Tucker,1,1:44,6.7,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Dorian Finney-Smith,2,1:43,6.7,2,11,0,2,0,0,0,0.0,0,0,0.0,2,2,1,Treveon Graham,2019-20
Spencer Dinwiddie,2,1:17,6.7,5,14,0,0,0,1,1,100.0,1,1,100.0,2,2,1,Treveon Graham,2019-20
Shai Gilgeous-Alexander,3,1:34,6.5,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Marco Belinelli,1,1:47,6.3,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Treveon Graham,2019-20
Miles Bridges,2,1:17,6.2,1,11,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Treveon Graham,2019-20
Collin Sexton,1,1:58,6.2,3,8,0,0,0,1,2,50.0,0,0,0.0,1,2,0,Treveon Graham,2019-20
Darius Bazley,2,1:22,6.1,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Nassir Little,2,1:49,5.8,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Treveon Graham,2019-20
Caleb Martin,2,1:14,5.8,0,7,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Treveon Graham,2019-20
Marquese Chriss,2,1:01,5.8,2,11,0,2,0,1,3,33.3,0,0,0.0,0,0,0,Treveon Graham,2019-20
Chris Paul,2,1:16,5.7,5,10,0,0,0,1,1,100.0,0,0,0.0,3,3,2,Treveon Graham,2019-20
De'Anthony Melton,3,1:14,5.6,3,10,1,0,0,1,3,33.3,1,2,50.0,0,0,0,Treveon Graham,2019-20
