OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Marcus Morris Sr.,5,23:04,82.9,29,117,0,3,0,12,19,63.2,4,4,100.0,1,1,1,Joe Harris,2019-20
OG Anunoby,4,16:52,66.3,3,85,1,0,0,1,5,20.0,0,3,0.0,1,2,1,Joe Harris,2019-20
Gary Harris,2,13:31,49.7,3,60,3,2,0,1,3,33.3,1,2,50.0,0,0,0,Joe Harris,2019-20
Matisse Thybulle,4,11:49,47.0,0,61,0,1,0,0,3,0.0,0,2,0.0,0,0,0,Joe Harris,2019-20
Miles Bridges,4,12:35,46.1,19,56,1,1,0,7,13,53.8,4,6,66.7,1,2,1,Joe Harris,2019-20
Justin Holiday,3,11:15,45.4,7,63,2,0,0,3,8,37.5,1,5,20.0,0,0,0,Joe Harris,2019-20
James Ennis III,4,11:28,44.2,9,68,3,0,0,2,3,66.7,1,2,50.0,4,4,2,Joe Harris,2019-20
Duncan Robinson,3,11:13,42.9,3,54,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Joe Harris,2019-20
Cam Reddish,4,9:47,42.8,19,80,0,1,1,6,12,50.0,5,8,62.5,2,2,1,Joe Harris,2019-20
Bojan Bogdanovic,2,10:41,37.8,8,36,0,0,0,3,5,60.0,1,2,50.0,1,2,1,Joe Harris,2019-20
Terrance Ferguson,1,9:34,36.9,2,48,0,1,0,1,4,25.0,0,2,0.0,0,0,0,Joe Harris,2019-20
Kevin Huerter,4,7:13,35.8,4,48,1,1,0,1,4,25.0,0,2,0.0,2,2,1,Joe Harris,2019-20
Josh Hart,2,8:27,35.5,3,37,1,1,0,1,7,14.3,1,6,16.7,0,0,0,Joe Harris,2019-20
Svi Mykhailiuk,3,9:22,34.7,8,46,0,2,0,3,5,60.0,2,2,100.0,0,0,0,Joe Harris,2019-20
Jae Crowder,2,8:18,32.7,3,51,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Joe Harris,2019-20
Marcus Smart,4,8:07,32.7,9,49,2,2,0,3,9,33.3,1,6,16.7,2,3,1,Joe Harris,2019-20
Danuel House Jr.,2,7:26,32.4,6,55,0,0,1,2,7,28.6,2,6,33.3,0,0,0,Joe Harris,2019-20
Tony Snell,2,8:26,29.2,3,34,2,0,0,1,5,20.0,1,3,33.3,0,0,0,Joe Harris,2019-20
Patrick McCaw,4,7:43,28.8,2,37,2,0,0,1,3,33.3,0,1,0.0,0,0,0,Joe Harris,2019-20
Treveon Graham,2,8:10,28.6,0,29,3,0,1,0,4,0.0,0,1,0.0,0,0,0,Joe Harris,2019-20
Kelan Martin,1,7:19,28.4,5,31,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Joe Harris,2019-20
Isaac Bonga,3,7:34,28.4,5,42,0,0,0,2,5,40.0,1,3,33.3,0,0,1,Joe Harris,2019-20
Danny Green,2,7:26,27.2,6,43,1,0,0,2,3,66.7,2,3,66.7,0,0,0,Joe Harris,2019-20
Tomas Satoransky,3,5:14,27.0,4,37,1,1,0,1,4,25.0,0,2,0.0,2,2,1,Joe Harris,2019-20
T.J. Warren,3,6:37,26.2,6,37,0,0,0,3,7,42.9,0,0,0.0,0,0,0,Joe Harris,2019-20
Jaylen Brown,4,5:53,24.4,13,42,0,0,0,5,13,38.5,2,5,40.0,1,2,1,Joe Harris,2019-20
De'Andre Hunter,3,5:49,24.0,2,31,3,0,0,1,4,25.0,0,3,0.0,0,0,0,Joe Harris,2019-20
Mikal Bridges,2,5:49,23.5,4,23,1,0,0,2,3,66.7,0,1,0.0,0,0,0,Joe Harris,2019-20
Derrick Jones Jr.,2,6:31,23.0,11,40,1,0,0,4,7,57.1,1,4,25.0,2,2,1,Joe Harris,2019-20
Chandler Hutchison,2,5:38,22.6,5,17,0,3,0,1,4,25.0,0,1,0.0,3,3,2,Joe Harris,2019-20
Shaquille Harrison,2,5:59,22.2,0,26,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Joe Harris,2019-20
DeAndre' Bembry,3,4:53,21.5,3,26,1,0,0,1,5,20.0,1,5,20.0,0,0,0,Joe Harris,2019-20
Terry Rozier,4,4:44,20.0,14,24,0,1,0,6,7,85.7,2,3,66.7,0,0,0,Joe Harris,2019-20
Troy Brown Jr.,3,5:03,20.0,6,24,1,0,1,2,5,40.0,0,1,0.0,2,2,1,Joe Harris,2019-20
Kenrich Williams,1,5:11,19.8,3,13,0,0,0,1,5,20.0,1,4,25.0,0,0,0,Joe Harris,2019-20
Shabazz Napier,4,4:08,19.5,2,22,1,0,0,1,7,14.3,0,5,0.0,0,0,0,Joe Harris,2019-20
Wes Iwundu,1,4:33,18.6,10,19,0,0,0,3,5,60.0,1,2,50.0,3,3,2,Joe Harris,2019-20
Langston Galloway,3,5:08,18.4,3,30,1,0,0,1,3,33.3,1,2,50.0,0,0,0,Joe Harris,2019-20
Doug McDermott,3,4:38,18.3,1,41,0,0,0,0,1,0.0,0,1,0.0,1,2,1,Joe Harris,2019-20
Kelly Oubre Jr.,2,4:55,17.9,0,30,0,2,0,0,2,0.0,0,1,0.0,0,0,0,Joe Harris,2019-20
Avery Bradley,2,3:28,17.7,2,11,0,1,1,1,5,20.0,0,3,0.0,0,0,0,Joe Harris,2019-20
Furkan Korkmaz,4,4:09,17.6,5,30,0,0,0,2,3,66.7,0,1,0.0,1,2,1,Joe Harris,2019-20
Nicolas Batum,2,4:28,16.9,3,27,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Joe Harris,2019-20
Cedi Osman,1,4:46,16.8,5,25,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Joe Harris,2019-20
Joe Ingles,2,4:14,15.9,13,38,2,1,0,4,4,100.0,3,3,100.0,2,2,0,Joe Harris,2019-20
Eric Paschall,1,3:17,15.6,1,13,1,0,0,0,3,0.0,0,2,0.0,1,2,1,Joe Harris,2019-20
Michael Carter-Williams,2,3:25,14.7,0,30,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Joe Harris,2019-20
Harrison Barnes,2,4:04,14.5,6,15,0,1,1,2,5,40.0,0,1,0.0,2,2,1,Joe Harris,2019-20
Josh Okogie,2,3:34,14.5,3,16,0,0,0,1,1,100.0,0,0,0.0,1,2,1,Joe Harris,2019-20
Marco Belinelli,1,3:38,14.3,2,21,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Terrence Ross,3,3:29,14.1,10,21,0,1,0,4,5,80.0,2,3,66.7,0,1,1,Joe Harris,2019-20
Nemanja Bjelica,2,3:21,14.1,4,19,1,2,0,2,3,66.7,0,0,0.0,0,0,0,Joe Harris,2019-20
Kyle Lowry,3,2:58,14.1,8,20,4,3,1,3,5,60.0,1,2,50.0,1,2,1,Joe Harris,2019-20
Gordon Hayward,2,3:11,13.9,1,18,0,0,0,0,3,0.0,0,1,0.0,1,2,1,Joe Harris,2019-20
Raul Neto,3,3:24,13.8,2,19,1,1,0,0,1,0.0,0,1,0.0,2,2,1,Joe Harris,2019-20
Ben Simmons,3,3:19,13.7,6,25,1,0,0,3,4,75.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Bryn Forbes,1,3:16,13.7,0,17,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Kevin Knox II,4,3:30,13.7,4,18,1,1,0,1,2,50.0,0,0,0.0,2,2,1,Joe Harris,2019-20
Bruce Brown,3,3:15,13.6,6,20,0,0,0,2,3,66.7,0,0,0.0,2,2,1,Joe Harris,2019-20
Cody Martin,2,3:54,13.6,0,21,3,0,0,0,1,0.0,0,1,0.0,0,0,0,Joe Harris,2019-20
Royce O'Neale,2,3:40,13.6,3,29,2,0,0,1,1,100.0,1,1,100.0,0,0,0,Joe Harris,2019-20
Russell Westbrook,2,3:15,13.4,2,20,1,1,0,1,3,33.3,0,1,0.0,0,0,0,Joe Harris,2019-20
Devonte' Graham,4,2:59,13.3,5,19,0,1,0,1,3,33.3,1,3,33.3,2,2,1,Joe Harris,2019-20
Josh Richardson,4,3:14,13.1,4,12,1,1,0,1,2,50.0,0,0,0.0,2,2,0,Joe Harris,2019-20
Carmelo Anthony,1,3:10,13.0,7,34,0,0,0,3,4,75.0,1,1,100.0,0,0,0,Joe Harris,2019-20
Elfrid Payton,3,3:35,13.0,0,7,2,1,0,0,1,0.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Ish Smith,3,3:07,13.0,4,13,2,0,0,2,4,50.0,0,1,0.0,0,0,0,Joe Harris,2019-20
Luke Kennard,1,3:49,12.9,4,17,0,1,0,1,4,25.0,0,1,0.0,2,2,0,Joe Harris,2019-20
Wayne Ellington,2,3:08,12.8,3,11,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Joe Harris,2019-20
Fred VanVleet,3,2:58,12.6,12,21,6,3,0,5,8,62.5,1,3,33.3,1,1,1,Joe Harris,2019-20
Damyean Dotson,3,3:44,12.5,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Malik Monk,3,3:18,12.4,2,7,0,0,0,1,5,20.0,0,2,0.0,0,0,1,Joe Harris,2019-20
Juancho Hernangomez,2,2:55,12.1,0,12,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Joe Harris,2019-20
Donovan Mitchell,2,2:48,12.0,14,16,1,2,0,4,7,57.1,0,1,0.0,6,6,0,Joe Harris,2019-20
Rui Hachimura,2,3:08,12.0,8,21,0,1,0,3,5,60.0,1,1,100.0,1,2,1,Joe Harris,2019-20
RJ Barrett,2,2:24,12.0,2,15,0,0,0,1,2,50.0,0,0,0.0,0,1,1,Joe Harris,2019-20
P.J. Washington,4,2:50,12.0,4,9,0,0,0,2,3,66.7,0,0,0.0,0,2,0,Joe Harris,2019-20
Mike Scott,2,3:47,11.9,3,20,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Joe Harris,2019-20
Seth Curry,1,3:38,11.8,3,25,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Joe Harris,2019-20
CJ McCollum,2,2:55,11.8,8,18,0,1,0,2,8,25.0,0,2,0.0,4,4,2,Joe Harris,2019-20
Kyle Anderson,2,3:23,11.6,7,16,0,0,0,3,5,60.0,1,2,50.0,0,0,0,Joe Harris,2019-20
Evan Fournier,3,3:07,11.5,2,18,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Ben McLemore,2,2:49,11.4,0,9,0,1,0,0,3,0.0,0,3,0.0,0,0,0,Joe Harris,2019-20
Daniel Theis,4,2:39,11.3,4,21,2,0,1,2,6,33.3,0,1,0.0,0,0,0,Joe Harris,2019-20
Kendrick Nunn,3,2:54,11.3,8,16,0,0,0,3,6,50.0,2,5,40.0,0,0,0,Joe Harris,2019-20
Semi Ojeleye,3,2:59,11.1,3,15,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Joe Harris,2019-20
Tobias Harris,4,2:38,11.1,8,15,0,0,0,2,5,40.0,0,1,0.0,4,4,0,Joe Harris,2019-20
Frank Ntilikina,3,2:51,11.1,0,13,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Joe Harris,2019-20
Norman Powell,1,2:42,11.1,0,11,0,0,0,0,4,0.0,0,2,0.0,0,0,0,Joe Harris,2019-20
Tyler Herro,2,2:42,10.9,0,14,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Jeremy Lamb,2,2:43,10.7,0,10,0,0,0,0,4,0.0,0,2,0.0,0,0,0,Joe Harris,2019-20
Jarrett Culver,2,2:43,10.7,2,18,0,0,0,1,6,16.7,0,1,0.0,0,0,0,Joe Harris,2019-20
Javonte Green,2,2:41,10.7,0,19,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Dillon Brooks,2,2:32,10.7,4,16,1,0,0,2,4,50.0,0,1,0.0,0,0,0,Joe Harris,2019-20
Solomon Hill,1,2:25,10.6,2,17,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Markelle Fultz,3,2:46,10.5,6,17,1,1,0,3,3,100.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Eric Gordon,1,2:19,10.4,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Joe Harris,2019-20
Robert Covington,2,2:40,10.4,5,12,0,0,0,2,5,40.0,1,4,25.0,0,0,0,Joe Harris,2019-20
Julius Randle,4,2:51,10.2,3,12,0,0,0,1,6,16.7,0,1,0.0,1,2,1,Joe Harris,2019-20
