OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Raul Neto,1,2:55,10.3,3,14,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Chasson Randle,2019-20
Jamal Murray,1,1:32,6.0,2,5,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Rodney McGruder,1,1:08,5.4,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Chasson Randle,2019-20
Amir Coffey,1,1:24,4.6,0,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Reggie Jackson,1,0:59,4.3,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Monte Morris,1,0:54,3.9,2,6,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Shake Milton,1,0:48,3.0,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
JaMychal Green,1,0:38,2.3,3,6,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Chasson Randle,2019-20
Gary Harris,1,0:26,2.2,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Furkan Korkmaz,1,0:20,1.9,0,4,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Patrick Patterson,1,0:16,1.3,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Will Barton,1,0:18,1.3,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Jerami Grant,1,0:16,1.3,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Mike Scott,1,0:19,1.2,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Mason Plumlee,1,0:12,1.2,3,3,0,0,0,1,1,100.0,0,0,0.0,1,2,1,Chasson Randle,2019-20
Glenn Robinson III,1,0:20,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Al Horford,1,0:14,0.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Kawhi Leonard,1,0:16,0.9,4,4,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Alec Burks,1,0:14,0.7,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Patrick Beverley,1,0:06,0.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Paul George,1,0:07,0.3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Montrezl Harrell,1,0:04,0.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Vlatko Cancar,1,0:03,0.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Michael Porter Jr.,1,0:02,0.1,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Landry Shamet,1,0:02,0.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Matisse Thybulle,1,0:02,0.1,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
Nikola Jokic,1,0:01,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chasson Randle,2019-20
