OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Zach LaVine,4,24:35,93.5,45,123,4,7,2,16,28,57.1,9,17,52.9,4,4,4,Bradley Beal,2019-20
Jimmy Butler,3,18:23,68.0,16,76,8,0,0,3,8,37.5,2,4,50.0,8,8,6,Bradley Beal,2019-20
Evan Fournier,3,15:11,56.8,23,72,4,0,0,6,8,75.0,5,7,71.4,6,9,3,Bradley Beal,2019-20
Maurice Harkless,4,13:05,56.6,6,64,1,0,0,2,4,50.0,2,4,50.0,0,0,0,Bradley Beal,2019-20
Tony Snell,4,13:34,48.7,14,73,1,1,0,5,14,35.7,4,13,30.8,0,0,0,Bradley Beal,2019-20
RJ Barrett,3,11:26,47.1,6,57,0,2,2,2,8,25.0,0,1,0.0,2,2,1,Bradley Beal,2019-20
Collin Sexton,3,13:01,46.1,6,57,0,0,0,2,9,22.2,0,3,0.0,2,4,1,Bradley Beal,2019-20
Miles Bridges,3,11:19,44.9,15,58,1,0,0,6,11,54.5,3,7,42.9,0,0,0,Bradley Beal,2019-20
Wesley Matthews,2,9:38,40.0,3,75,2,0,0,1,3,33.3,1,2,50.0,0,0,0,Bradley Beal,2019-20
Devin Booker,1,8:02,35.8,16,50,3,2,0,6,12,50.0,1,4,25.0,3,3,2,Bradley Beal,2019-20
Devonte' Graham,3,10:12,33.6,10,53,1,0,0,3,8,37.5,2,6,33.3,2,2,1,Bradley Beal,2019-20
Bryn Forbes,2,7:28,33.1,7,44,1,1,0,2,7,28.6,2,7,28.6,1,2,0,Bradley Beal,2019-20
Cedi Osman,3,8:39,32.9,0,48,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Luke Kennard,2,9:07,32.4,3,36,3,0,0,1,4,25.0,1,2,50.0,0,0,0,Bradley Beal,2019-20
Trevor Ariza,1,7:41,30.1,3,43,2,0,0,1,2,50.0,1,2,50.0,0,0,0,Bradley Beal,2019-20
Tomas Satoransky,4,8:01,30.0,8,60,5,0,0,3,5,60.0,2,3,66.7,0,0,1,Bradley Beal,2019-20
Tobias Harris,2,7:12,29.6,9,48,0,0,0,3,8,37.5,1,3,33.3,2,2,0,Bradley Beal,2019-20
Courtney Lee,2,8:44,29.4,8,39,0,0,0,3,6,50.0,2,5,40.0,0,0,0,Bradley Beal,2019-20
Gary Harris,1,6:40,29.2,5,41,0,0,0,2,5,40.0,1,4,25.0,0,0,0,Bradley Beal,2019-20
Josh Okogie,2,6:28,28.0,10,40,1,1,0,4,4,100.0,0,0,0.0,2,2,0,Bradley Beal,2019-20
Jeff Teague,4,6:16,27.8,6,50,4,3,0,2,3,66.7,1,2,50.0,1,1,1,Bradley Beal,2019-20
Treveon Graham,4,5:38,26.3,2,37,0,0,0,1,4,25.0,0,2,0.0,0,0,0,Bradley Beal,2019-20
Royce O'Neale,2,6:35,26.1,6,39,0,1,0,2,3,66.7,2,3,66.7,0,0,0,Bradley Beal,2019-20
Kyle Anderson,2,6:46,25.8,6,39,3,0,0,3,3,100.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
DeMar DeRozan,2,6:28,25.6,6,29,1,0,1,2,5,40.0,0,0,0.0,2,2,0,Bradley Beal,2019-20
Svi Mykhailiuk,4,7:16,25.5,3,26,3,1,0,1,5,20.0,1,5,20.0,0,0,0,Bradley Beal,2019-20
Malcolm Brogdon,1,6:15,24.7,4,29,2,0,0,1,4,25.0,0,0,0.0,2,2,1,Bradley Beal,2019-20
Kevin Huerter,2,5:56,24.5,2,29,1,0,0,1,3,33.3,0,2,0.0,0,0,0,Bradley Beal,2019-20
Bogdan Bogdanovic,2,6:22,23.9,11,29,2,0,0,3,6,50.0,1,4,25.0,4,4,2,Bradley Beal,2019-20
Jayson Tatum,1,6:17,23.8,4,45,2,0,0,2,4,50.0,0,1,0.0,0,0,1,Bradley Beal,2019-20
De'Anthony Melton,2,5:50,23.0,2,35,2,1,0,1,4,25.0,0,2,0.0,0,0,0,Bradley Beal,2019-20
Dillon Brooks,2,5:20,22.8,0,8,0,1,0,0,3,0.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Terry Rozier,3,6:04,22.2,11,39,0,1,0,5,9,55.6,1,3,33.3,0,0,0,Bradley Beal,2019-20
Bruce Brown,4,5:04,21.7,3,45,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Bradley Beal,2019-20
Glenn Robinson III,1,5:07,21.6,4,30,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Bradley Beal,2019-20
Spencer Dinwiddie,2,6:03,21.3,3,28,2,0,1,1,7,14.3,1,4,25.0,0,0,0,Bradley Beal,2019-20
Paul George,2,4:49,20.9,11,31,1,0,0,4,10,40.0,3,6,50.0,0,0,0,Bradley Beal,2019-20
OG Anunoby,2,4:50,20.3,2,32,0,1,1,1,4,25.0,0,2,0.0,0,0,0,Bradley Beal,2019-20
Tim Hardaway Jr.,2,4:40,19.7,0,31,2,1,0,0,0,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Langston Galloway,4,4:35,19.7,5,26,1,0,0,2,5,40.0,1,3,33.3,0,0,0,Bradley Beal,2019-20
Duncan Robinson,3,4:47,19.5,6,27,0,0,0,2,6,33.3,2,6,33.3,0,0,0,Bradley Beal,2019-20
Joe Harris,2,5:11,19.5,8,19,1,0,1,3,4,75.0,2,2,100.0,0,0,0,Bradley Beal,2019-20
Cam Reddish,2,4:50,19.5,8,43,0,1,0,3,3,100.0,2,2,100.0,0,0,0,Bradley Beal,2019-20
Malik Monk,3,4:49,19.3,5,27,1,0,1,2,5,40.0,1,3,33.3,0,0,0,Bradley Beal,2019-20
Donte DiVincenzo,2,4:36,19.0,8,36,0,0,0,3,4,75.0,2,3,66.7,0,0,0,Bradley Beal,2019-20
Derrick Jones Jr.,3,5:11,18.8,0,27,1,0,1,0,2,0.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Kris Dunn,2,4:08,18.3,4,20,2,0,0,2,3,66.7,0,1,0.0,0,0,0,Bradley Beal,2019-20
Buddy Hield,2,5:17,18.2,3,23,5,0,0,1,3,33.3,1,2,50.0,0,0,0,Bradley Beal,2019-20
Shai Gilgeous-Alexander,1,4:11,18.0,9,21,1,0,0,4,6,66.7,1,2,50.0,0,0,0,Bradley Beal,2019-20
Jordan Clarkson,3,4:26,17.9,4,20,0,0,0,2,7,28.6,0,3,0.0,0,0,0,Bradley Beal,2019-20
Patrick McCaw,2,3:41,17.3,4,15,1,0,0,2,3,66.7,0,1,0.0,0,0,0,Bradley Beal,2019-20
Wes Iwundu,2,5:14,17.0,6,29,1,0,0,2,5,40.0,0,1,0.0,2,2,1,Bradley Beal,2019-20
Andrew Wiggins,2,4:05,16.8,7,25,0,0,0,3,5,60.0,1,2,50.0,0,0,0,Bradley Beal,2019-20
Khris Middleton,2,4:13,16.6,0,18,2,1,0,0,5,0.0,0,2,0.0,0,0,0,Bradley Beal,2019-20
Ben Simmons,2,4:04,16.6,1,24,1,0,0,0,1,0.0,0,0,0.0,1,2,1,Bradley Beal,2019-20
Tyler Herro,2,2:40,16.6,6,23,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Bradley Beal,2019-20
Kentavious Caldwell-Pope,1,3:40,16.5,0,34,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Danny Green,1,3:56,16.5,2,18,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Reggie Bullock,2,3:41,16.0,0,18,0,2,1,0,4,0.0,0,3,0.0,0,0,0,Bradley Beal,2019-20
Kyle Lowry,2,3:52,15.4,3,23,2,1,0,1,3,33.3,1,3,33.3,0,0,0,Bradley Beal,2019-20
De'Andre Hunter,2,3:34,15.2,2,18,0,2,0,1,5,20.0,0,3,0.0,0,0,0,Bradley Beal,2019-20
Joe Ingles,2,4:28,15.1,0,33,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Darius Garland,3,3:24,15.0,3,37,3,0,0,1,4,25.0,1,2,50.0,0,0,0,Bradley Beal,2019-20
Garrett Temple,2,3:34,14.8,3,12,0,1,0,1,3,33.3,1,3,33.3,0,0,0,Bradley Beal,2019-20
Julius Randle,3,3:01,14.7,12,24,0,0,1,4,6,66.7,0,0,0.0,4,4,2,Bradley Beal,2019-20
De'Aaron Fox,1,3:38,14.6,7,34,0,0,0,2,4,50.0,1,2,50.0,2,2,0,Bradley Beal,2019-20
Dejounte Murray,2,3:42,14.5,6,28,2,0,0,3,5,60.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Donovan Mitchell,1,3:44,13.9,8,17,0,0,0,2,5,40.0,2,2,100.0,2,2,0,Bradley Beal,2019-20
Caris LeVert,2,3:25,13.9,5,18,1,0,0,1,2,50.0,1,1,100.0,2,2,1,Bradley Beal,2019-20
Harrison Barnes,2,3:23,13.8,5,13,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Bradley Beal,2019-20
Al Horford,2,3:04,13.1,2,35,1,0,0,1,4,25.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Taurean Prince,2,2:56,13.1,5,19,1,0,0,2,4,50.0,1,3,33.3,0,0,1,Bradley Beal,2019-20
James Harden,1,2:47,12.8,13,22,1,1,0,4,6,66.7,2,4,50.0,3,3,1,Bradley Beal,2019-20
Markelle Fultz,3,3:17,12.8,10,25,1,0,0,4,7,57.1,2,3,66.7,0,0,0,Bradley Beal,2019-20
Elfrid Payton,3,2:37,12.5,3,19,2,0,0,1,2,50.0,1,1,100.0,0,0,0,Bradley Beal,2019-20
Russell Westbrook,1,2:40,12.5,2,21,4,1,0,1,2,50.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Mychal Mulder,1,3:13,12.4,5,25,0,0,0,2,4,50.0,1,3,33.3,0,0,0,Bradley Beal,2019-20
Juan Toscano-Anderson,1,3:13,12.3,0,15,1,1,0,0,1,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Emmanuel Mudiay,1,3:13,12.2,5,21,2,0,0,2,2,100.0,1,1,100.0,0,0,0,Bradley Beal,2019-20
Kawhi Leonard,2,2:44,12.1,11,25,0,0,0,4,6,66.7,1,1,100.0,2,2,1,Bradley Beal,2019-20
Eric Gordon,1,2:40,11.5,0,19,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Bradley Beal,2019-20
George Hill,2,2:47,11.4,2,10,0,0,0,0,1,0.0,0,1,0.0,2,2,0,Bradley Beal,2019-20
Jake Layman,2,2:40,11.4,5,14,0,0,0,2,4,50.0,1,3,33.3,0,0,0,Bradley Beal,2019-20
Damion Lee,2,2:25,11.3,2,15,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
James Ennis III,2,3:07,11.3,0,11,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Terrence Ross,3,2:38,11.0,5,12,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Bradley Beal,2019-20
Aaron Gordon,2,2:40,11.0,3,14,0,0,0,1,4,25.0,1,1,100.0,0,0,0,Bradley Beal,2019-20
Kent Bazemore,1,2:52,11.0,0,25,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Fred VanVleet,1,2:32,10.9,2,10,2,0,0,0,1,0.0,0,0,0.0,2,2,0,Bradley Beal,2019-20
T.J. Warren,1,2:37,10.9,8,15,1,0,0,3,4,75.0,2,2,100.0,0,0,0,Bradley Beal,2019-20
Kevin Knox II,3,2:43,10.3,0,22,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Bradley Beal,2019-20
Cory Joseph,2,2:05,10.2,2,14,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Marcus Smart,1,2:20,10.0,0,11,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Dorian Finney-Smith,2,3:00,9.9,0,13,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Bradley Beal,2019-20
P.J. Washington,3,2:20,9.9,2,18,1,2,0,1,2,50.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Eric Paschall,2,2:28,9.8,2,20,1,1,0,1,3,33.3,0,0,0.0,0,0,0,Bradley Beal,2019-20
Kevin Love,3,2:13,9.4,4,12,0,0,0,1,2,50.0,0,1,0.0,2,2,1,Bradley Beal,2019-20
Cristiano Felicio,3,1:48,9.1,0,21,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Coby White,4,2:12,9.1,5,20,1,0,0,1,3,33.3,1,3,33.3,2,2,0,Bradley Beal,2019-20
Patty Mills,2,1:48,8.8,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Damyean Dotson,2,2:16,8.5,0,10,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Patrick Beverley,2,1:51,8.5,0,15,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Michael Carter-Williams,2,2:01,8.4,0,17,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Mitchell Robinson,3,1:56,8.3,2,11,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Bradley Beal,2019-20
Thaddeus Young,3,1:47,8.3,2,11,1,1,0,1,2,50.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Marvin Williams,3,2:20,8.3,0,13,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Khem Birch,2,2:07,8.2,4,18,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Norman Powell,1,1:40,8.0,0,5,0,1,0,0,3,0.0,0,2,0.0,0,0,0,Bradley Beal,2019-20
Terrance Ferguson,1,2:01,8.0,0,11,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Bradley Beal,2019-20
Robert Covington,2,1:36,8.0,9,13,0,0,1,3,4,75.0,3,3,100.0,0,0,0,Bradley Beal,2019-20
Bam Adebayo,3,2:01,7.9,12,29,1,0,0,6,8,75.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Matisse Thybulle,2,2:00,7.8,3,10,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Bradley Beal,2019-20
Josh Richardson,1,2:08,7.8,2,9,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Luka Doncic,1,2:02,7.6,4,8,1,0,0,1,1,100.0,0,0,0.0,2,2,0,Bradley Beal,2019-20
Jacob Evans,1,1:41,7.5,0,8,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Tristan Thompson,3,1:53,7.3,4,23,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Nikola Vucevic,2,1:43,7.3,11,26,1,1,0,5,6,83.3,0,0,0.0,1,1,1,Bradley Beal,2019-20
LaMarcus Aldridge,2,1:48,7.2,11,40,0,0,0,5,7,71.4,1,2,50.0,0,0,0,Bradley Beal,2019-20
Bojan Bogdanovic,2,1:59,7.2,10,13,1,0,0,4,5,80.0,1,2,50.0,1,1,1,Bradley Beal,2019-20
Jarrett Culver,2,1:37,7.2,3,11,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Bradley Beal,2019-20
Danuel House Jr.,1,1:50,7.1,3,11,0,1,0,1,3,33.3,1,3,33.3,0,0,0,Bradley Beal,2019-20
Kevin Porter Jr.,2,1:59,7.0,4,9,1,1,0,2,4,50.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Marquese Chriss,2,1:42,7.0,0,6,0,2,0,0,0,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Seth Curry,2,1:54,7.0,2,10,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Terance Mann,2,1:13,6.8,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Lauri Markkanen,2,2:08,6.7,5,14,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Bradley Beal,2019-20
Andre Drummond,4,1:41,6.7,4,9,1,1,0,2,3,66.7,0,0,0.0,0,0,0,Bradley Beal,2019-20
Frank Ntilikina,3,1:51,6.7,3,14,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Bradley Beal,2019-20
Jonathan Isaac,2,1:46,6.6,2,24,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
Mike Scott,2,1:34,6.5,3,12,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Bradley Beal,2019-20
Nemanja Bjelica,2,1:41,6.5,2,11,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Bradley Beal,2019-20
Ja Morant,2,1:40,6.5,2,9,1,0,0,0,0,0.0,0,0,0.0,2,2,2,Bradley Beal,2019-20
Alec Burks,1,1:46,6.3,3,6,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Bradley Beal,2019-20
Nicolas Batum,2,1:28,6.1,3,12,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Bradley Beal,2019-20
Doug McDermott,1,1:35,6.0,3,9,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Bradley Beal,2019-20
Lou Williams,2,1:14,5.9,2,12,2,0,0,0,1,0.0,0,0,0.0,2,2,0,Bradley Beal,2019-20
Kendrick Nunn,3,1:43,5.9,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Chris Paul,1,1:34,5.9,0,9,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Bradley Beal,2019-20
John Collins,2,1:26,5.8,3,13,0,0,0,1,2,50.0,0,0,0.0,1,1,1,Bradley Beal,2019-20
Justin James,1,1:31,5.8,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Vince Carter,2,1:24,5.8,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Rudy Gobert,2,1:17,5.8,0,6,0,2,0,0,0,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
Delon Wright,2,1:37,5.8,0,9,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Bradley Beal,2019-20
