OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
RJ Barrett,3,15:37,62.6,6,53,1,2,0,2,11,18.2,2,4,50.0,0,0,0,Khris Middleton,2019-20
Cedi Osman,3,16:22,60.1,20,97,2,2,0,8,14,57.1,4,7,57.1,0,0,0,Khris Middleton,2019-20
Jae Crowder,3,13:53,58.4,8,62,2,3,0,2,5,40.0,2,3,66.7,2,4,1,Khris Middleton,2019-20
Aaron Gordon,4,14:52,56.9,13,68,1,1,0,4,11,36.4,2,5,40.0,3,5,3,Khris Middleton,2019-20
Gordon Hayward,3,14:19,53.8,4,67,2,1,0,1,11,9.1,0,7,0.0,2,2,0,Khris Middleton,2019-20
T.J. Warren,3,13:28,51.4,2,44,0,3,0,1,5,20.0,0,2,0.0,0,0,0,Khris Middleton,2019-20
Robert Covington,3,11:51,46.9,15,59,2,1,0,5,7,71.4,3,5,60.0,2,2,1,Khris Middleton,2019-20
Tony Snell,2,12:14,46.0,2,34,2,1,0,1,5,20.0,0,3,0.0,0,0,0,Khris Middleton,2019-20
Nemanja Bjelica,2,10:41,44.9,8,53,0,1,0,3,6,50.0,1,2,50.0,1,1,1,Khris Middleton,2019-20
Danny Green,2,11:26,43.8,6,41,0,0,0,2,5,40.0,2,5,40.0,0,0,0,Khris Middleton,2019-20
Tobias Harris,3,10:57,41.9,9,42,1,1,0,4,9,44.4,1,1,100.0,0,0,0,Khris Middleton,2019-20
Patrick Beverley,2,8:43,39.7,8,53,0,2,0,2,2,100.0,2,2,100.0,2,2,1,Khris Middleton,2019-20
OG Anunoby,2,10:03,39.5,11,55,2,0,0,4,5,80.0,3,4,75.0,0,0,0,Khris Middleton,2019-20
Brandon Ingram,2,9:26,39.3,2,25,0,0,0,1,7,14.3,0,6,0.0,0,0,0,Khris Middleton,2019-20
Jayson Tatum,3,10:19,37.8,7,51,2,0,0,3,4,75.0,0,0,0.0,1,2,1,Khris Middleton,2019-20
Isaac Bonga,2,9:25,35.3,2,35,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Khris Middleton,2019-20
Glenn Robinson III,2,8:37,33.7,0,22,0,2,0,0,4,0.0,0,2,0.0,0,0,0,Khris Middleton,2019-20
Kelly Oubre Jr.,1,8:25,32.9,9,42,0,0,1,4,12,33.3,1,4,25.0,0,0,0,Khris Middleton,2019-20
Kris Dunn,2,8:58,32.9,7,29,1,0,0,3,9,33.3,1,4,25.0,0,0,0,Khris Middleton,2019-20
Tim Hardaway Jr.,2,8:53,31.4,5,53,0,0,0,2,6,33.3,1,4,25.0,0,0,0,Khris Middleton,2019-20
Troy Brown Jr.,2,6:43,29.0,2,37,1,2,0,1,3,33.3,0,2,0.0,0,0,0,Khris Middleton,2019-20
Mikal Bridges,2,6:50,28.6,8,44,0,0,0,3,4,75.0,0,1,0.0,2,2,1,Khris Middleton,2019-20
Kyle Anderson,2,6:58,28.4,3,44,2,2,0,1,3,33.3,0,2,0.0,1,1,0,Khris Middleton,2019-20
Justise Winslow,1,7:39,28.1,1,37,3,0,0,0,1,0.0,0,1,0.0,1,2,1,Khris Middleton,2019-20
Lonnie Walker IV,2,8:00,27.3,6,40,1,0,0,2,3,66.7,1,2,50.0,1,2,0,Khris Middleton,2019-20
Markelle Fultz,4,5:51,23.7,3,25,2,0,0,1,10,10.0,1,3,33.3,0,0,1,Khris Middleton,2019-20
Bojan Bogdanovic,1,5:45,23.6,6,23,0,2,0,2,4,50.0,2,3,66.7,0,0,1,Khris Middleton,2019-20
Danuel House Jr.,2,5:25,23.1,3,26,1,1,0,1,3,33.3,1,3,33.3,0,0,0,Khris Middleton,2019-20
Bryn Forbes,2,6:20,22.3,3,30,2,1,0,1,2,50.0,1,2,50.0,0,0,0,Khris Middleton,2019-20
Terrance Ferguson,1,6:04,21.3,2,19,1,0,0,1,3,33.3,0,2,0.0,0,0,0,Khris Middleton,2019-20
Dorian Finney-Smith,2,5:51,20.4,9,34,1,0,0,3,4,75.0,3,3,100.0,0,0,0,Khris Middleton,2019-20
Evan Fournier,4,3:57,20.3,12,41,2,1,0,4,5,80.0,4,5,80.0,0,0,1,Khris Middleton,2019-20
Michael Porter Jr.,1,5:08,19.9,2,39,0,1,0,1,3,33.3,0,2,0.0,0,0,1,Khris Middleton,2019-20
Taurean Prince,1,4:55,19.9,0,26,0,1,0,0,3,0.0,0,3,0.0,0,0,0,Khris Middleton,2019-20
Aaron Holiday,2,4:54,19.7,6,31,2,0,0,2,3,66.7,1,1,100.0,1,1,1,Khris Middleton,2019-20
De'Andre Hunter,2,4:44,19.5,2,15,0,2,0,0,2,0.0,0,1,0.0,2,2,1,Khris Middleton,2019-20
Duncan Robinson,3,5:29,19.4,9,31,0,0,0,3,4,75.0,3,4,75.0,0,0,0,Khris Middleton,2019-20
Kent Bazemore,2,4:36,19.0,2,18,0,1,0,0,2,0.0,0,2,0.0,2,2,1,Khris Middleton,2019-20
Andre Iguodala,2,4:29,18.8,2,17,2,1,0,1,2,50.0,0,1,0.0,0,0,0,Khris Middleton,2019-20
Andrew Wiggins,1,4:36,18.3,8,23,0,0,0,3,6,50.0,2,3,66.7,0,0,0,Khris Middleton,2019-20
Bogdan Bogdanovic,1,4:07,18.0,3,29,1,1,0,1,2,50.0,1,2,50.0,0,0,0,Khris Middleton,2019-20
Wes Iwundu,2,4:22,17.1,0,19,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khris Middleton,2019-20
Jrue Holiday,2,3:47,16.4,3,24,2,0,0,1,2,50.0,1,1,100.0,0,0,0,Khris Middleton,2019-20
Bruce Brown,2,4:27,16.0,10,20,1,0,0,4,5,80.0,1,2,50.0,1,1,1,Khris Middleton,2019-20
Al Horford,3,4:04,15.8,3,25,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Khris Middleton,2019-20
Ryan Arcidiacono,2,3:53,15.4,0,21,1,1,0,0,1,0.0,0,1,0.0,0,0,0,Khris Middleton,2019-20
DeMar DeRozan,2,3:21,15.4,2,15,1,0,0,1,2,50.0,0,0,0.0,0,0,2,Khris Middleton,2019-20
Paul George,1,4:02,15.1,5,10,0,0,0,2,5,40.0,1,3,33.3,0,0,0,Khris Middleton,2019-20
Doug McDermott,3,4:21,14.7,0,15,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Khris Middleton,2019-20
Terrence Ross,4,3:40,13.7,2,18,0,1,0,1,4,25.0,0,2,0.0,0,0,0,Khris Middleton,2019-20
Torrey Craig,1,3:52,13.4,3,15,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Khris Middleton,2019-20
Kentavious Caldwell-Pope,2,3:19,13.2,2,8,0,0,0,0,2,0.0,0,1,0.0,2,2,1,Khris Middleton,2019-20
Tomas Satoransky,2,3:38,12.9,0,17,3,1,0,0,3,0.0,0,2,0.0,0,0,0,Khris Middleton,2019-20
P.J. Tucker,2,2:17,12.6,3,14,0,0,0,1,5,20.0,1,4,25.0,0,0,0,Khris Middleton,2019-20
Tyler Herro,2,3:11,12.6,5,12,0,1,0,1,2,50.0,1,1,100.0,2,2,0,Khris Middleton,2019-20
Justin Holiday,3,2:53,12.6,0,11,0,2,0,0,1,0.0,0,1,0.0,0,0,0,Khris Middleton,2019-20
Marcus Smart,3,2:48,12.2,0,21,0,1,0,0,1,0.0,0,1,0.0,0,0,1,Khris Middleton,2019-20
Josh Richardson,2,3:08,11.8,3,25,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Khris Middleton,2019-20
Ben Simmons,3,2:37,11.7,2,29,5,0,0,1,1,100.0,0,0,0.0,0,0,0,Khris Middleton,2019-20
Josh Hart,2,2:37,11.6,0,15,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Khris Middleton,2019-20
Timothe Luwawu-Cabarrot,2,2:37,11.5,7,20,1,0,0,3,3,100.0,1,1,100.0,0,0,0,Khris Middleton,2019-20
Kevin Porter Jr.,1,3:02,11.2,0,13,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Khris Middleton,2019-20
Malcolm Brogdon,3,2:52,11.2,6,21,3,1,0,2,3,66.7,0,0,0.0,2,2,1,Khris Middleton,2019-20
Royce O'Neale,1,3:29,11.2,3,15,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Khris Middleton,2019-20
Matisse Thybulle,2,3:00,11.0,0,17,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Khris Middleton,2019-20
