OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Domantas Sabonis,2,13:44,52.4,30,69,4,2,1,12,20,60.0,1,2,50.0,5,5,3,Kristaps Porzingis,2019-20
LaMarcus Aldridge,3,12:00,48.3,16,61,3,1,0,7,20,35.0,0,2,0.0,2,2,1,Kristaps Porzingis,2019-20
Rudy Gobert,2,13:29,46.3,12,47,2,2,0,4,4,100.0,0,0,0.0,4,7,2,Kristaps Porzingis,2019-20
Trey Lyles,4,12:29,46.0,11,53,0,0,1,4,9,44.4,3,6,50.0,0,0,0,Kristaps Porzingis,2019-20
Tristan Thompson,2,12:16,46.0,13,64,4,0,6,6,11,54.5,0,0,0.0,1,2,2,Kristaps Porzingis,2019-20
Brook Lopez,2,11:30,45.8,11,61,1,1,0,4,17,23.5,2,8,25.0,1,1,2,Kristaps Porzingis,2019-20
Derrick Favors,2,11:13,45.6,8,65,2,2,1,4,8,50.0,0,1,0.0,0,2,1,Kristaps Porzingis,2019-20
P.J. Tucker,3,10:46,45.3,6,72,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Kristaps Porzingis,2019-20
Bam Adebayo,2,11:13,42.1,15,66,5,0,1,5,11,45.5,0,0,0.0,5,6,3,Kristaps Porzingis,2019-20
Richaun Holmes,2,11:38,41.0,10,59,1,1,0,5,5,100.0,0,0,0.0,0,2,0,Kristaps Porzingis,2019-20
Ivica Zubac,3,11:04,40.2,12,63,1,0,1,4,8,50.0,0,0,0.0,4,4,3,Kristaps Porzingis,2019-20
Willie Cauley-Stein,2,9:21,36.7,5,49,1,1,1,2,7,28.6,0,0,0.0,1,2,1,Kristaps Porzingis,2019-20
JaVale McGee,3,9:44,36.3,9,40,0,0,0,4,8,50.0,0,0,0.0,1,1,1,Kristaps Porzingis,2019-20
Taj Gibson,2,10:01,34.1,8,42,1,0,0,4,5,80.0,0,0,0.0,0,0,0,Kristaps Porzingis,2019-20
Jaxson Hayes,3,7:55,33.3,5,29,0,0,0,1,3,33.3,0,0,0.0,3,4,2,Kristaps Porzingis,2019-20
Jonas Valanciunas,2,8:53,33.3,8,38,0,1,1,4,6,66.7,0,0,0.0,0,0,0,Kristaps Porzingis,2019-20
Nikola Vucevic,2,7:49,32.6,12,37,0,0,1,6,12,50.0,0,3,0.0,0,0,0,Kristaps Porzingis,2019-20
Deandre Ayton,2,8:17,31.0,15,42,0,0,0,6,11,54.5,0,0,0.0,3,3,2,Kristaps Porzingis,2019-20
Anthony Davis,3,6:10,27.9,28,45,0,4,0,9,14,64.3,1,3,33.3,9,10,5,Kristaps Porzingis,2019-20
Naz Reid,2,6:42,27.4,2,32,1,0,1,1,6,16.7,0,1,0.0,0,0,0,Kristaps Porzingis,2019-20
Paul Millsap,1,7:24,27.4,9,39,0,0,1,3,7,42.9,3,4,75.0,0,0,0,Kristaps Porzingis,2019-20
Dario Saric,3,6:03,26.8,7,37,0,0,0,3,7,42.9,1,3,33.3,0,0,0,Kristaps Porzingis,2019-20
Rudy Gay,4,6:01,26.8,10,38,1,0,0,4,7,57.1,2,3,66.7,0,0,0,Kristaps Porzingis,2019-20
Jonathan Isaac,1,7:13,25.9,6,29,0,1,0,2,3,66.7,0,0,0.0,2,2,1,Kristaps Porzingis,2019-20
Marc Gasol,1,7:16,25.8,5,24,1,0,0,1,7,14.3,1,2,50.0,2,2,1,Kristaps Porzingis,2019-20
Jusuf Nurkic,1,5:41,24.9,0,29,0,2,1,0,6,0.0,0,1,0.0,0,0,0,Kristaps Porzingis,2019-20
Hassan Whiteside,3,6:28,23.0,10,44,0,0,0,4,5,80.0,0,0,0.0,2,2,0,Kristaps Porzingis,2019-20
Daniel Theis,2,5:38,22.4,2,31,2,0,0,1,2,50.0,0,1,0.0,0,0,0,Kristaps Porzingis,2019-20
