OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
P.J. Tucker,3,5:40,24.6,3,44,2,0,0,1,2,50.0,1,1,100.0,0,0,0,Nassir Little,2019-20
Kyle Kuzma,3,5:44,24.0,6,22,0,3,2,1,6,16.7,0,3,0.0,4,4,4,Nassir Little,2019-20
Pascal Siakam,1,4:59,19.2,8,25,1,1,0,3,9,33.3,0,1,0.0,2,2,1,Nassir Little,2019-20
Danuel House Jr.,3,4:16,19.2,2,28,2,0,0,0,3,0.0,0,2,0.0,2,2,1,Nassir Little,2019-20
Georges Niang,2,5:06,18.1,2,23,0,0,0,1,4,25.0,0,2,0.0,0,0,0,Nassir Little,2019-20
Kenrich Williams,2,4:08,17.5,0,15,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Trey Lyles,1,4:20,16.4,3,18,1,0,0,1,3,33.3,1,2,50.0,0,0,0,Nassir Little,2019-20
Darius Bazley,3,3:37,15.3,0,17,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Nassir Little,2019-20
Justin Holiday,2,3:39,14.3,3,21,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Nassir Little,2019-20
Rudy Gay,1,3:14,13.6,5,16,0,0,0,2,3,66.7,0,1,0.0,1,1,1,Nassir Little,2019-20
Alfonzo McKinnie,1,3:04,12.1,3,22,0,0,0,1,2,50.0,0,1,0.0,1,2,1,Nassir Little,2019-20
Thaddeus Young,2,3:00,12.1,2,12,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Josh Hart,1,2:31,11.8,2,15,1,0,0,0,1,0.0,0,0,0.0,2,2,1,Nassir Little,2019-20
Nemanja Bjelica,2,2:53,11.7,2,16,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Juancho Hernangomez,1,2:38,10.7,2,12,0,1,1,0,2,0.0,0,1,0.0,2,2,1,Nassir Little,2019-20
Patrick Patterson,1,2:47,10.7,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Brandon Ingram,3,2:56,10.3,5,7,0,0,1,2,5,40.0,1,2,50.0,0,0,0,Nassir Little,2019-20
Russell Westbrook,3,2:28,9.8,7,11,0,2,1,3,7,42.9,0,0,0.0,1,1,0,Nassir Little,2019-20
Keita Bates-Diop,2,2:23,9.3,3,14,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Nassir Little,2019-20
Ersan Ilyasova,1,2:23,9.2,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Pat Connaughton,2,2:40,9.0,4,6,0,0,0,1,1,100.0,0,0,0.0,2,2,1,Nassir Little,2019-20
Hamidou Diallo,1,2:06,8.9,2,14,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Alec Burks,1,1:43,8.4,9,12,0,0,1,4,6,66.7,0,1,0.0,1,1,1,Nassir Little,2019-20
Jarrett Culver,2,2:31,8.3,0,8,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Nassir Little,2019-20
Eric Gordon,2,1:20,7.9,2,9,0,0,0,0,2,0.0,0,2,0.0,2,2,1,Nassir Little,2019-20
Lauri Markkanen,2,1:39,7.7,0,11,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Chris Paul,3,1:38,7.3,7,15,1,0,0,3,4,75.0,1,1,100.0,0,0,0,Nassir Little,2019-20
Khris Middleton,1,1:23,7.0,5,13,0,0,0,2,4,50.0,1,1,100.0,0,0,0,Nassir Little,2019-20
Doug McDermott,2,1:45,7.0,3,10,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Nassir Little,2019-20
Ben McLemore,2,1:43,7.0,3,13,1,0,0,1,3,33.3,1,3,33.3,0,0,0,Nassir Little,2019-20
Christian Wood,1,1:55,6.8,3,13,0,0,0,1,2,50.0,0,0,0.0,1,1,1,Nassir Little,2019-20
Austin Rivers,3,1:21,6.8,0,5,0,0,0,0,3,0.0,0,2,0.0,0,0,0,Nassir Little,2019-20
Shai Gilgeous-Alexander,3,1:44,6.8,5,11,0,0,0,1,1,100.0,0,0,0.0,3,4,1,Nassir Little,2019-20
Bobby Portis,2,1:32,6.6,2,6,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Nassir Little,2019-20
Treveon Graham,2,1:48,6.6,3,7,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Nassir Little,2019-20
De'Andre Hunter,2,1:31,6.4,3,14,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Nassir Little,2019-20
Malik Beasley,1,1:26,5.5,3,8,0,0,0,1,5,20.0,1,4,25.0,0,0,0,Nassir Little,2019-20
Jrue Holiday,3,1:14,5.4,4,11,2,1,0,1,2,50.0,0,1,0.0,2,3,1,Nassir Little,2019-20
Jakob Poeltl,1,1:11,5.2,0,10,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Nassir Little,2019-20
James Harden,2,0:53,5.0,13,11,0,0,0,4,6,66.7,3,3,100.0,2,2,2,Nassir Little,2019-20
Buddy Hield,3,1:31,4.9,3,3,0,2,0,1,2,50.0,1,2,50.0,0,0,0,Nassir Little,2019-20
Marcus Morris Sr.,2,1:18,4.9,2,10,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Nassir Little,2019-20
Taurean Prince,1,1:38,4.9,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Nassir Little,2019-20
Kevin Knox II,2,0:59,4.9,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Frank Jackson,2,1:16,4.8,1,2,0,0,0,0,1,0.0,0,1,0.0,1,2,1,Nassir Little,2019-20
Jeremy Lamb,1,1:09,4.8,0,6,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Danilo Gallinari,2,1:19,4.8,0,7,0,0,0,0,4,0.0,0,4,0.0,0,0,0,Nassir Little,2019-20
Mikal Bridges,1,0:58,4.8,2,6,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Nassir Little,2019-20
Dennis Schroder,3,1:09,4.8,6,6,0,0,1,2,4,50.0,2,2,100.0,0,0,0,Nassir Little,2019-20
Gordon Hayward,1,0:55,4.7,0,13,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Nassir Little,2019-20
D.J. Wilson,1,1:13,4.7,1,0,0,0,0,0,1,0.0,0,0,0.0,1,2,1,Nassir Little,2019-20
Isaac Bonga,2,0:56,4.7,0,5,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Anthony Davis,3,0:59,4.5,6,15,1,0,0,3,3,100.0,0,0,0.0,0,0,0,Nassir Little,2019-20
Damion Lee,1,1:04,4.5,0,8,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Nassir Little,2019-20
JJ Redick,3,0:55,4.5,0,11,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Nassir Little,2019-20
Chandler Hutchison,1,0:52,4.5,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,1,Nassir Little,2019-20
Allonzo Trier,1,0:59,4.4,1,2,0,1,0,0,0,0.0,0,0,0.0,1,2,1,Nassir Little,2019-20
Bojan Bogdanovic,2,1:04,4.3,0,7,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Nassir Little,2019-20
Garrett Temple,1,1:09,4.3,3,9,0,0,1,1,2,50.0,1,2,50.0,0,0,0,Nassir Little,2019-20
