player,season,POSS,adj_usg_rank,freq_gte82,freq_lte78,freq_lte81,freq_lte75,poss_lte78,poss_lte81,poss_lte75,poss_gte82,poss,versatility_score_rank,height,weight
Aaron Brooks,2017-18,252.0,0.032119914346895075,0.07301587301587303,0.2432539682539683,0.16428571428571437,0.5194444444444445,61.3,41.40000000000001,130.89999999999998,18.400000000000002,251.99999999999994,0.3875802997858672,76.07738095238096,200.0678571428572
Aaron Gordon,2017-18,2610.9,0.7751605995717344,0.3003561990118351,0.14359033283542078,0.48171128729556856,0.0743421808571757,374.90000000000003,1257.6999999999998,194.1,784.2,2610.8999999999996,0.43254817987152033,80.0513999004175,226.98460301045623
Aaron Harrison,2017-18,303.3,0.31263383297644537,0.07385426969996703,0.3214638971315528,0.36564457632706887,0.23903725684141108,97.5,110.9,72.5,22.400000000000006,303.30000000000007,0.8137044967880086,77.97659083415758,208.32673920211008
Aaron Jackson,2017-18,42.8,,0.11915887850467288,0.4883177570093457,0.2523364485981308,0.14018691588785046,20.9,10.8,6.0,5.1,42.800000000000004,,78.46495327102804,212.77102803738316
Abdel Nader,2017-18,687.8,0.059957173447537475,0.1022099447513812,0.3835417272462926,0.3756906077348066,0.13855772026751964,263.8,258.4,95.30000000000001,70.29999999999998,687.8,0.6895074946466809,78.30372201221286,211.35199185809833
Adreian Payne,2017-18,57.3,,0.16928446771378708,0.08027923211169286,0.682373472949389,0.0680628272251309,4.6000000000000005,39.09999999999999,3.9000000000000004,9.7,57.3,,79.98778359511343,232.36823734729495
Al Horford,2017-18,2865.8,0.8907922912205567,0.5505966920231697,0.10611347616721334,0.2769209295833624,0.06636890222625445,304.1,793.6,190.20000000000002,1577.8999999999999,2865.8,0.19700214132762311,81.13549445181101,233.94465768720775
Al Jefferson,2017-18,599.6,0.32548179871520344,0.6831220813875919,0.06971314209472985,0.17795196797865245,0.06921280853902603,41.80000000000001,106.69999999999999,41.5,409.6,599.5999999999999,0.021413276231263382,81.77768512341561,241.33472314876587
Al-Farouq Aminu,2017-18,2778.4,0.9164882226980728,0.4297797293406278,0.11197091851425282,0.39177224301756414,0.06647710912755543,311.1,1088.5,184.7,1194.1000000000001,2778.3999999999996,0.32548179871520344,80.56899654477398,231.54419809962573
Alan Williams,2017-18,88.0,,0.3738636363636364,0.05681818181818183,0.5056818181818183,0.06363636363636366,5.0,44.50000000000001,5.6000000000000005,32.9,87.99999999999999,,80.73068181818182,239.7306818181818
Alec Burks,2017-18,1387.1,0.17130620985010706,0.05644870593324202,0.4735779684233293,0.3046644077571913,0.16530891788623747,656.9,422.6,229.29999999999998,78.3,1387.1,0.4004282655246253,77.6265590080023,208.73577968423334
Alec Peters,2017-18,290.3,0.01284796573875803,0.301412332070272,0.17464691698243193,0.47468136410609696,0.049259386841198745,50.7,137.79999999999998,14.299999999999999,87.49999999999999,290.30000000000007,0.36616702355460384,79.90871512228726,227.28901136755076
Alex Abrines,2017-18,1461.5,0.17987152034261242,0.08142319534724597,0.46281217926787543,0.31296613068764967,0.14279849469722888,676.4,457.4,208.70000000000002,118.99999999999999,1461.5,0.5203426124197003,78.06034895655148,211.1960998973657
Alex Caruso,2017-18,770.7,0.3169164882226981,0.08836123005060334,0.2999870247826651,0.266510964058648,0.34514078110808355,231.2,205.4,266.0,68.1,770.7,0.9207708779443254,77.13169845594912,204.10795380822628
Alex Len,2017-18,1897.9,0.39400428265524623,0.6923441698719638,0.08435639390905739,0.1750882554402234,0.04821118077875547,160.1,332.3,91.5,1314.0,1897.8999999999999,0.01284796573875803,81.90673902734602,242.28146899204387
Alex Poythress,2017-18,130.1,0.09850107066381156,0.32205995388162945,0.20830130668716368,0.41737125288239807,0.05226748654880859,27.099999999999998,54.3,6.799999999999999,41.9,130.10000000000002,0.550321199143469,80.27440430438122,227.74711760184468
Alfonzo McKinnie,2017-18,73.6,,0.05434782608695652,0.4035326086956522,0.4089673913043479,0.1331521739130435,29.700000000000003,30.1,9.799999999999999,3.9999999999999996,73.6,,78.33559782608697,213.48913043478265
Allen Crabbe,2017-18,2886.5,0.8586723768736617,0.07247531612679717,0.4018014896934003,0.3600207864195393,0.1657024077602633,1159.8,1039.2,478.3,209.20000000000002,2886.5,0.5995717344753747,77.93712108089382,209.85380218257404
Amir Johnson,2017-18,1594.7,0.5653104925053534,0.675174013921114,0.08634852950398195,0.17921866181726978,0.059258794757634674,137.7,285.80000000000007,94.5,1076.7000000000003,1594.6999999999998,0.03854389721627409,81.57684831002697,239.32883928011537
Andre Drummond,2017-18,3553.4,0.576017130620985,0.6765632914954692,0.08619913322451736,0.18722913266167612,0.050008442618337354,306.3,665.3,177.69999999999996,2404.1000000000004,3553.4,0.023554603854389723,81.72553047785219,240.17155400461527
Andre Iguodala,2017-18,2255.8,0.6295503211991434,0.147575139640039,0.3471052398262257,0.34413511836155686,0.1611845021721784,783.0,776.3000000000001,363.6,332.9,2255.8,0.9678800856531049,78.38553949818245,213.32538345598013
Andre Ingram,2017-18,89.4,,0.04026845637583893,0.6208053691275168,0.325503355704698,0.01342281879194631,55.5,29.099999999999998,1.2,3.6,89.39999999999999,,77.94295302013423,218.48434004474274
Andre Roberson,2017-18,1317.8,0.9957173447537473,0.14137198360904538,0.3769160722416148,0.27803915616937314,0.20367278797996657,496.7,366.4,268.4,186.3,1317.8000000000002,0.9892933618843683,78.06685384732128,213.50387008650782
Andrew Bogut,2017-18,292.2,0.8372591006423983,0.6652977412731005,0.07255304585900069,0.1837782340862423,0.0783709787816564,21.200000000000003,53.70000000000001,22.900000000000002,194.4,292.20000000000005,0.04925053533190578,81.77002053388088,239.2108145106091
Andrew Harrison,2017-18,1683.5,0.892933618843683,0.09901989901989901,0.35562815562815564,0.19269379269379272,0.3526581526581527,598.7,324.40000000000003,593.7,166.7,1683.5,0.8758029978586723,76.9180873180873,204.9025839025839
Andrew White III,2017-18,285.6,0.055674518201284794,0.07528011204481797,0.39845938375350154,0.431372549019608,0.09488795518207288,113.8,123.2,27.100000000000005,21.500000000000004,285.5999999999999,0.3083511777301927,78.42471988795519,210.75770308123256
Andrew Wiggins,2017-18,3919.3,0.860813704496788,0.11989385859719849,0.35998775291506135,0.4021891664327813,0.11792922205495877,1410.9,1576.2999999999997,462.19999999999993,469.9000000000001,3919.3,0.683083511777302,78.59763223024518,214.88753093664684
Ante Zizic,2017-18,290.2,0.05353319057815846,0.5585802894555479,0.09786354238456238,0.26119917298414885,0.08235699517574087,28.400000000000002,75.8,23.9,162.1,290.2,0.20985010706638116,81.19434872501722,236.9948311509304
Anthony Brown,2017-18,5.7,,0.10526315789473685,0.8421052631578948,0.0,0.052631578947368425,4.8,0.0,0.3,0.6,5.699999999999999,,78.05263157894737,214.68421052631584
Anthony Davis,2017-18,3784.2,0.7323340471092077,0.5320807568310344,0.09764283071719254,0.3002484012472914,0.07002801120448181,369.5,1136.2,265.00000000000006,2013.5000000000002,3784.2,0.21199143468950749,81.13387241689131,234.43549495269806
Anthony Tolliver,2017-18,2363.9,0.41541755888650966,0.39392529294809425,0.14814501459452595,0.40564321671813525,0.052286475739244456,350.19999999999993,958.9,123.59999999999998,931.2,2363.9,0.37901498929336186,80.53132535217226,228.08532509835442
Antonio Blakeney,2017-18,413.3,0.14346895074946467,0.06871521896927171,0.533752721993709,0.30171788047423176,0.09581417856278727,220.6,124.70000000000002,39.59999999999999,28.400000000000002,413.30000000000007,0.2012847965738758,78.10646019840308,209.6859424147108
Antonius Cleveland,2017-18,171.3,0.20770877944325483,0.09573847051955633,0.3765323992994746,0.43841214244016347,0.08931698774080558,64.5,75.10000000000001,15.299999999999997,16.400000000000002,171.3,0.37259100642398285,78.62988908347926,214.2451838879159
Aron Baynes,2017-18,1883.6,0.6445396145610278,0.6423338288383945,0.09699511573582503,0.2087492036525802,0.05192185177320024,182.70000000000002,393.20000000000005,97.79999999999997,1209.8999999999999,1883.6,0.07922912205567452,81.58101507751115,240.33531535357827
Arron Afflalo,2017-18,912.0,0.1349036402569593,0.08651315789473683,0.5040570175438597,0.31875000000000003,0.09067982456140351,459.70000000000005,290.70000000000005,82.7,78.89999999999999,912.0,0.291220556745182,78.1845394736842,212.4081140350877
Austin Rivers,2017-18,2755.4,0.9700214132762313,0.09686433911591782,0.34575742178993973,0.23176308339986934,0.3256151556942731,952.7,638.6,897.2,266.9,2755.4,0.9336188436830836,77.25586121797197,207.73815054075635
Avery Bradley,2017-18,1939.4,0.9978586723768736,0.0828091162215118,0.41022996803134987,0.23058677941631436,0.27637413633082386,795.6,447.2000000000001,535.9999999999998,160.6,1939.4,0.8008565310492506,77.28302567804477,207.36382386305044
Bam Adebayo,2017-18,1760.2,0.683083511777302,0.6411203272355414,0.07732075900465853,0.21883876832178162,0.0627201454380184,136.09999999999997,385.20000000000005,110.4,1128.5,1760.2000000000003,0.07494646680942184,81.44830132939437,239.12316782183836
Ben McLemore,2017-18,1424.2,0.582441113490364,0.09064738098581661,0.42929363853391383,0.2759443898328887,0.20411459064738105,611.4,393.00000000000006,290.70000000000005,129.1,1424.1999999999998,0.7773019271948608,77.75017553714368,209.58320460609465
Ben Moore,2017-18,11.8,,0.11016949152542374,0.1610169491525424,0.5254237288135594,0.20338983050847462,1.9,6.2,2.4000000000000004,1.3,11.799999999999999,,77.68644067796612,206.4661016949153
Ben Simmons,2017-18,3668.4,0.841541755888651,0.15829789554029003,0.25915930650965,0.46101842765238266,0.12152437029767747,950.7,1691.2000000000003,445.8,580.6999999999999,3668.3999999999996,0.7494646680942184,78.96159088430923,218.05773634281977
Bismack Biyombo,2017-18,2013.2,0.2676659528907923,0.6300417246175244,0.09914563878402544,0.20817603814822178,0.06263659845022848,199.60000000000002,419.1000000000001,126.1,1268.4,2013.2,0.10278372591006424,81.35714285714286,237.8268925094377
Blake Griffin,2017-18,2654.5,0.7644539614561028,0.4000376718779431,0.12002260312676588,0.4037671877943114,0.07617253720097948,318.6,1071.7999999999997,202.20000000000002,1061.8999999999999,2654.5,0.430406852248394,80.59427387455266,231.39054435863625
Boban Marjanovic,2017-18,453.8,0.12419700214132762,0.6033494931687967,0.06743058616130453,0.265315116791538,0.0639048038783605,30.6,120.39999999999996,29.000000000000004,273.8,453.80000000000007,0.09421841541755889,81.50484795063903,241.4554869986778
Bobby Brown,2017-18,158.9,0.07494646680942184,0.11642542479546887,0.368156073001888,0.12523599748269354,0.3901825047199497,58.5,19.900000000000002,62.0,18.5,158.89999999999998,0.7130620985010707,76.97105097545628,204.26872246696038
Bobby Portis,2017-18,2192.1,0.26552462526766596,0.48642853884403076,0.10551525934035856,0.34669951188358195,0.06135668993202865,231.29999999999998,760.0,134.5,1066.2999999999997,2192.1,0.2505353319057816,80.92035034898043,232.8370512294147
Bogdan Bogdanovic,2017-18,2822.3,0.5674518201284796,0.07738369415016122,0.367289090458137,0.39917797541012645,0.1561492399815753,1036.6000000000001,1126.6,440.7,218.4,2822.3,0.6038543897216274,78.1715267689473,211.19087269248485
Bojan Bogdanovic,2017-18,3281.2,0.8029978586723768,0.12364378885773498,0.3036389125929538,0.5152688040960626,0.05744849445324882,996.3,1690.7000000000003,188.50000000000003,405.7,3281.2,0.24839400428265523,79.09947580153602,217.50408387175423
Bradley Beal,2017-18,3960.3,0.6937901498929336,0.08383203292679849,0.39726788374618094,0.317602201853395,0.20129788147362576,1573.3000000000002,1257.8000000000002,797.2,332.0,3960.2999999999997,0.7837259100642399,77.7905966719693,210.84205741989246
Brandan Wright,2017-18,497.0,0.39186295503211993,0.6219315895372234,0.1056338028169014,0.19175050301810864,0.08068410462776661,52.5,95.3,40.1,309.1,497.0,0.13276231263383298,81.18531187122737,234.67505030181087
Brandon Ingram,2017-18,2741.4,0.7387580299785867,0.11246078645947329,0.28777267089808123,0.4679360910483695,0.13183045159407603,788.9,1282.8000000000002,361.40000000000003,308.30000000000007,2741.4,0.6231263383297645,78.73491646603925,215.52334573575544
Brandon Jennings,2017-18,279.6,0.021413276231263382,0.06580829756795424,0.32618025751072965,0.10157367668097281,0.5064377682403434,91.20000000000002,28.4,141.60000000000002,18.400000000000006,279.6,0.23554603854389722,76.24034334763947,199.61301859799713
Brandon Paul,2017-18,777.1,0.49678800856531047,0.10178870158280787,0.3285291468279501,0.4404838502123279,0.12919830137691415,255.29999999999998,342.29999999999995,100.39999999999998,79.09999999999998,777.0999999999999,0.6145610278372591,78.44936301634283,213.2802728091623
Briante Weber,2017-18,312.2,0.2334047109207709,0.06662395900064061,0.3597053171044203,0.20211402946828957,0.37155669442664957,112.3,63.1,115.99999999999999,20.799999999999997,312.2,0.6766595289079229,76.58135810377962,203.33568225496478
Brice Johnson,2017-18,129.9,0.010706638115631691,0.4518860662047729,0.1916859122401848,0.27944572748267893,0.07698229407236337,24.900000000000006,36.3,10.000000000000002,58.7,129.9,0.6402569593147751,80.4565050038491,228.44495765973826
Brook Lopez,2017-18,2433.6,0.6680942184154176,0.6609549638395793,0.09677021696252466,0.17278928336620647,0.06948553583168968,235.5,420.50000000000006,169.1,1608.5,2433.6,0.07066381156316917,81.63658777120315,240.08271696252464
