player,season,POSS,adj_usg_rank,freq_gte82,freq_lte78,freq_lte81,freq_lte75,poss_lte78,poss_lte81,poss_lte75,poss_gte82,poss,versatility_score_rank,height,weight
Andre Drummond,2020-21,1653.8,0.42653061224489797,0.5450477687749425,0.1148869270770347,0.26194219373563915,0.07812311041238358,190.0,433.20000000000005,129.2,901.4000000000001,1653.8000000000002,0.05510204081632653,80.87265691135566,237.6390131817632
Andre Iguodala,2020-21,1809.8,0.6938775510204082,0.17874903304232512,0.28240689578959005,0.3561719527019561,0.18267211846612885,511.1,644.6000000000001,330.59999999999997,323.5,1809.8,0.9857142857142858,78.50458614211514,218.6675323240137
Andre Roberson,2020-21,65.2,,0.1625766871165644,0.4095092024539877,0.23159509202453984,0.19631901840490795,26.7,15.099999999999998,12.799999999999999,10.6,65.2,,77.8941717791411,216.0122699386503
Andrew Wiggins,2020-21,3323.7,0.9326530612244898,0.12227337003941391,0.3202755964738093,0.36922706622137974,0.18822396726539697,1064.5,1227.1999999999998,625.5999999999999,406.4,3323.7,0.8612244897959184,78.18371092457203,215.430875229413
Anfernee Simons,2020-21,1465.2,0.17755102040816326,0.05644280644280642,0.4078624078624078,0.15308490308490305,0.38260988260988255,597.6,224.3,560.6,82.69999999999999,1465.2000000000003,0.16938775510204082,76.41393666393665,204.9907862407862
Anthony Davis,2020-21,1569.0,0.6918367346938775,0.23683875079668582,0.21861057998725303,0.4549394518801786,0.08961121733588272,343.0,713.8000000000002,140.6,371.6,1569.0,0.5387755102040817,79.41943913320587,228.56526449968135
Anthony Edwards,2020-21,3146.2,0.5408163265306123,0.06658826520882334,0.43372957853919014,0.29219375754878907,0.20748839870319755,1364.6,919.3000000000001,652.8000000000001,209.5,3146.2,0.4061224489795918,77.54516559659272,211.3702879664357
Anthony Gill,2020-21,303.2,0.21428571428571427,0.20415567282321898,0.2994722955145118,0.36609498680738783,0.13027704485488123,90.8,111.0,39.49999999999999,61.9,303.20000000000005,0.9163265306122449,79.15699208443272,223.3931398416886
Anthony Lamb,2020-21,590.7,0.2693877551020408,0.1758930082952429,0.3294396478754021,0.2608769256813949,0.23379041814795998,194.60000000000002,154.1,138.09999999999997,103.89999999999999,590.7,1.0,77.85576434738445,215.72693414592854
Anthony Tolliver,2020-21,135.0,0.053061224489795916,0.4000000000000001,0.2355555555555556,0.2711111111111112,0.09333333333333335,31.8,36.6,12.6,54.0,134.99999999999997,0.763265306122449,79.92000000000003,225.63851851851857
Anzejs Pasecniks,2020-21,9.1,,0.0,0.10989010989010987,0.824175824175824,0.06593406593406592,1.0,7.5,0.6,0.0,9.100000000000001,,79.79120879120877,240.21978021978018
Armoni Brooks,2020-21,731.3,0.10204081632653061,0.06891836455626968,0.43169697798441126,0.18405579105702177,0.31532886640229735,315.69999999999993,134.60000000000002,230.60000000000002,50.40000000000001,731.3,0.363265306122449,76.62956379051005,208.00082045672093
Aron Baynes,2020-21,1308.7,0.7816326530612245,0.5432108198976083,0.11431191258500799,0.2651486207687018,0.0773286467486819,149.59999999999997,347.0000000000001,101.2,710.9,1308.7,0.053061224489795916,81.00221593948193,240.42568961564913
Ashton Hagans,2020-21,5.5,,0.14545454545454548,0.34545454545454546,0.0,0.509090909090909,1.9000000000000001,0.0,2.8,0.8,5.5,,76.60000000000001,200.1818181818182
Austin Rivers,2020-21,1111.9,0.8244897959183674,0.044698264232394994,0.43771921935425856,0.20460473064124474,0.3129777857721018,486.7000000000001,227.50000000000003,348.0,49.699999999999996,1111.9,0.1836734693877551,76.72092814101985,206.44806187606795
Avery Bradley,2020-21,840.0,0.8204081632653061,0.09154761904761904,0.37226190476190474,0.23559523809523808,0.3005952380952381,312.7,197.89999999999998,252.5,76.89999999999999,840.0,0.7979591836734694,77.19452380952382,209.2840476190476
Axel Toupane,2020-21,90.1,,0.09877913429522754,0.38734739178690347,0.13651498335183135,0.37735849056603776,34.9,12.300000000000002,34.0,8.9,90.1,,77.09655937846838,208.95671476137628
