OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Lauri Markkanen,3,21:46,83.4,38,119,1,1,0,14,24,58.3,8,11,72.7,2,2,2,Cedi Osman,2018-19
Kawhi Leonard,4,18:20,74.3,25,106,0,2,0,9,20,45.0,2,8,25.0,5,6,3,Cedi Osman,2018-19
Kevin Durant,2,14:25,60.4,24,121,5,1,0,10,15,66.7,3,4,75.0,1,2,0,Cedi Osman,2018-19
Nicolas Batum,3,11:59,47.7,11,87,2,1,0,5,11,45.5,1,2,50.0,0,0,0,Cedi Osman,2018-19
Bojan Bogdanovic,3,12:41,47.3,19,73,1,1,0,6,12,50.0,2,5,40.0,5,5,3,Cedi Osman,2018-19
Justise Winslow,4,13:02,46.9,21,73,7,1,0,8,15,53.3,2,6,33.3,3,5,4,Cedi Osman,2018-19
DeMar DeRozan,2,11:49,43.6,18,48,2,0,0,8,12,66.7,0,0,0.0,2,2,2,Cedi Osman,2018-19
Khris Middleton,3,9:41,43.0,24,78,3,2,0,9,16,56.3,3,7,42.9,3,4,2,Cedi Osman,2018-19
Kelly Oubre Jr.,3,10:50,41.9,0,47,3,1,0,0,6,0.0,0,4,0.0,0,0,1,Cedi Osman,2018-19
Jayson Tatum,3,10:09,41.6,14,44,0,1,0,5,10,50.0,2,2,100.0,2,2,1,Cedi Osman,2018-19
Jimmy Butler,3,11:05,41.4,14,64,4,1,0,4,6,66.7,3,3,100.0,3,4,2,Cedi Osman,2018-19
Kyle Kuzma,2,10:05,40.9,8,38,0,3,0,3,12,25.0,2,5,40.0,0,0,0,Cedi Osman,2018-19
James Johnson,3,9:20,38.2,11,58,1,0,0,3,6,50.0,3,3,100.0,2,2,1,Cedi Osman,2018-19
Kent Bazemore,3,8:42,36.3,1,47,2,0,0,0,3,0.0,0,1,0.0,1,2,1,Cedi Osman,2018-19
Ben Simmons,3,8:17,33.2,14,59,6,0,0,6,8,75.0,0,0,0.0,2,4,0,Cedi Osman,2018-19
Jonathan Isaac,2,8:22,32.4,4,52,1,0,0,2,7,28.6,0,2,0.0,0,0,0,Cedi Osman,2018-19
Evan Fournier,3,7:59,31.4,8,41,5,0,0,2,9,22.2,1,4,25.0,3,4,2,Cedi Osman,2018-19
Marcus Morris Sr.,3,6:51,28.9,5,44,2,0,0,1,9,11.1,0,3,0.0,3,3,1,Cedi Osman,2018-19
Caris LeVert,3,6:50,28.8,4,26,4,1,0,2,4,50.0,0,1,0.0,0,0,0,Cedi Osman,2018-19
Taurean Prince,2,5:56,27.7,2,34,0,2,0,1,10,10.0,0,5,0.0,0,0,0,Cedi Osman,2018-19
Patrick Beverley,2,6:51,27.7,4,32,1,1,0,1,3,33.3,1,2,50.0,1,2,0,Cedi Osman,2018-19
Joe Harris,3,6:55,27.6,10,53,1,1,0,4,5,80.0,2,3,66.7,0,0,0,Cedi Osman,2018-19
Rondae Hollis-Jefferson,3,6:53,27.0,3,36,0,0,1,1,4,25.0,0,1,0.0,1,3,3,Cedi Osman,2018-19
Justin Holiday,2,6:24,26.7,7,29,0,1,0,2,5,40.0,1,2,50.0,2,2,1,Cedi Osman,2018-19
Thaddeus Young,3,7:16,26.5,7,39,2,1,0,3,4,75.0,0,0,0.0,1,1,1,Cedi Osman,2018-19
Darius Miller,2,6:16,25.7,3,28,1,2,0,1,5,20.0,1,4,25.0,0,0,0,Cedi Osman,2018-19
Maurice Harkless,1,6:14,24.5,4,39,1,1,0,2,4,50.0,0,1,0.0,0,0,0,Cedi Osman,2018-19
Ersan Ilyasova,3,5:47,24.4,4,38,0,0,0,1,3,33.3,0,1,0.0,2,2,1,Cedi Osman,2018-19
Noah Vonleh,2,6:37,24.2,7,45,1,1,0,3,5,60.0,1,1,100.0,0,1,1,Cedi Osman,2018-19
Wayne Ellington,2,6:39,23.8,12,36,0,1,0,4,7,57.1,4,6,66.7,0,0,0,Cedi Osman,2018-19
Jeff Green,3,5:49,23.7,13,33,0,0,0,4,6,66.7,3,4,75.0,2,2,1,Cedi Osman,2018-19
Andrew Wiggins,2,5:26,22.7,13,30,1,0,0,4,6,66.7,1,2,50.0,4,4,2,Cedi Osman,2018-19
Tobias Harris,1,4:56,22.6,3,27,1,2,0,1,1,100.0,1,1,100.0,0,0,0,Cedi Osman,2018-19
Bruce Brown,2,5:44,22.1,0,34,1,0,0,0,2,0.0,0,0,0.0,0,0,0,Cedi Osman,2018-19
