OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Jonas Jerebko,1,2:41,8.6,2,9,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Darius Miller,1,2:04,8.1,2,12,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Dragan Bender,3,2:17,7.3,2,2,0,0,0,1,3,33.3,0,2,0.0,0,0,0,Chimezie Metu,2018-19
Derrick Favors,2,1:46,6.8,0,6,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Kenrich Williams,2,1:06,6.8,0,10,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Thabo Sefolosha,3,1:23,6.6,0,20,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
Isaiah Hartenstein,2,1:41,6.6,2,8,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Marquese Chriss,1,1:15,5.4,0,3,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
T.J. Leaf,2,1:04,5.2,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
T.J. Warren,2,1:04,5.0,2,8,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
Josh Okogie,1,1:20,4.9,4,8,0,0,0,1,1,100.0,1,1,100.0,1,2,1,Chimezie Metu,2018-19
Julius Randle,1,1:14,4.4,0,7,2,0,0,0,1,0.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
DeMarre Carroll,1,1:23,4.3,2,2,0,1,0,0,1,0.0,0,1,0.0,2,2,0,Chimezie Metu,2018-19
Mike Scott,1,0:47,3.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
James Harden,1,1:01,3.8,9,9,0,0,0,4,7,57.1,1,3,33.3,0,0,0,Chimezie Metu,2018-19
DeAndre Jordan,1,1:16,3.8,0,3,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Anthony Davis,1,0:44,3.6,0,4,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Gorgui Dieng,1,0:42,3.5,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Aaron Gordon,1,0:42,3.4,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
Deandre Ayton,2,0:43,3.4,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Jae Crowder,1,0:46,2.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Patrick Beverley,1,0:47,2.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Jake Layman,2,0:38,2.6,2,2,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
Dario Saric,1,0:35,2.6,3,3,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Chimezie Metu,2018-19
Frank Jackson,3,0:23,2.5,2,6,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Dante Exum,2,0:30,2.5,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Otto Porter Jr.,1,0:31,2.4,3,3,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Chimezie Metu,2018-19
Cheick Diallo,4,0:23,2.4,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Caleb Swanigan,1,0:43,2.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Georges Niang,2,0:34,2.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Mikal Bridges,3,0:32,2.1,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
Clint Capela,1,0:25,2.1,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Luol Deng,1,0:31,2.1,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Elie Okobo,1,0:26,2.1,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Richaun Holmes,2,0:37,2.1,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Jordan McRae,1,0:20,2.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Marcus Derrickson,1,0:24,1.8,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Mitchell Robinson,1,0:27,1.8,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Ricky Rubio,2,0:21,1.8,2,2,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Gary Clark,2,0:25,1.7,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Ian Clark,2,0:20,1.6,2,8,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
Jordan Bell,1,0:23,1.6,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Luke Kornet,1,0:18,1.6,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
Chris Paul,1,0:21,1.5,2,2,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Nikola Mirotic,1,0:18,1.5,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Gerald Green,2,0:13,1.5,2,4,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
James Nunnally,1,0:20,1.4,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Domantas Sabonis,1,0:28,1.4,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Ekpe Udoh,2,0:19,1.4,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Donovan Mitchell,2,0:19,1.3,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Justin Jackson,1,0:25,1.2,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
Anthony Tolliver,1,0:18,1.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Tyus Jones,1,0:16,1.2,0,3,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
Alfonzo McKinnie,1,0:18,1.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
De'Anthony Melton,3,0:19,1.2,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Quinn Cook,1,0:16,1.1,0,2,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Chimezie Metu,2018-19
Tim Frazier,2,0:09,1.1,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Al-Farouq Aminu,2,0:13,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Kyle Korver,2,0:09,0.9,3,3,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Chimezie Metu,2018-19
DeMarcus Cousins,1,0:11,0.9,1,0,0,0,0,0,0,0.0,0,0,0.0,1,2,0,Chimezie Metu,2018-19
Victor Oladipo,1,0:21,0.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Raul Neto,2,0:08,0.9,0,1,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
Sindarius Thornwell,1,0:12,0.9,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Chimezie Metu,2018-19
