OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Jusuf Nurkic,4,20:44,74.9,20,103,6,6,1,7,20,35.0,0,0,0.0,6,9,5,Kevon Looney,2018-19
Willie Cauley-Stein,4,12:01,49.6,16,53,7,0,0,4,6,66.7,0,0,0.0,8,11,6,Kevon Looney,2018-19
Montrezl Harrell,4,12:18,49.5,10,35,1,0,2,5,10,50.0,0,1,0.0,0,0,0,Kevon Looney,2018-19
DeAndre Jordan,3,12:08,45.9,8,55,4,1,0,4,4,100.0,0,0,0.0,0,1,0,Kevon Looney,2018-19
Anthony Davis,2,10:25,43.0,11,54,3,1,0,5,12,41.7,1,1,100.0,0,0,0,Kevon Looney,2018-19
Karl-Anthony Towns,4,11:02,41.6,20,26,1,5,0,8,8,100.0,0,0,0.0,4,6,5,Kevon Looney,2018-19
Ivica Zubac,4,9:28,37.5,14,43,0,0,1,6,10,60.0,0,0,0.0,2,3,2,Kevon Looney,2018-19
Marc Gasol,2,9:31,33.4,15,25,5,1,0,5,5,100.0,1,1,100.0,4,4,3,Kevon Looney,2018-19
Nikola Jokic,4,9:14,32.8,14,30,4,4,0,5,8,62.5,0,0,0.0,4,4,2,Kevon Looney,2018-19
Steven Adams,3,7:14,28.9,9,24,1,1,1,4,6,66.7,0,0,0.0,1,4,3,Kevon Looney,2018-19
Andre Drummond,2,8:17,28.2,5,26,0,2,1,1,3,33.3,0,0,0.0,3,8,4,Kevon Looney,2018-19
LaMarcus Aldridge,2,8:25,27.1,16,30,1,1,0,7,10,70.0,0,1,0.0,2,2,0,Kevon Looney,2018-19
Deandre Ayton,4,7:10,26.6,6,30,2,1,0,2,7,28.6,0,0,0.0,2,2,0,Kevon Looney,2018-19
JaVale McGee,3,5:50,24.9,4,26,0,1,0,2,6,33.3,0,1,0.0,0,0,0,Kevon Looney,2018-19
Rudy Gobert,3,6:21,24.9,7,24,1,2,0,1,2,50.0,0,0,0.0,5,6,3,Kevon Looney,2018-19
Jonas Valanciunas,3,6:37,24.2,14,26,0,0,0,7,8,87.5,0,0,0.0,0,0,2,Kevon Looney,2018-19
Clint Capela,4,7:04,24.1,0,21,1,0,0,0,2,0.0,0,0,0.0,0,0,1,Kevon Looney,2018-19
Serge Ibaka,2,6:25,23.2,10,28,0,0,0,5,8,62.5,0,1,0.0,0,0,0,Kevon Looney,2018-19
Mason Plumlee,4,5:56,22.3,6,12,1,0,0,2,3,66.7,0,0,0.0,2,3,1,Kevon Looney,2018-19
Enes Kanter,2,6:35,22.3,4,10,0,1,0,2,4,50.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Giannis Antetokounmpo,2,5:05,21.7,14,21,0,1,1,5,11,45.5,0,4,0.0,4,4,1,Kevon Looney,2018-19
Bam Adebayo,2,5:38,21.0,1,18,1,1,0,0,1,0.0,0,0,0.0,1,2,1,Kevon Looney,2018-19
Nerlens Noel,3,5:34,20.8,4,17,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Kevon Looney,2018-19
Brook Lopez,2,4:19,19.5,4,16,0,0,0,2,4,50.0,0,1,0.0,0,1,0,Kevon Looney,2018-19
Richaun Holmes,3,5:02,18.8,7,16,0,0,0,3,3,100.0,0,0,0.0,1,2,1,Kevon Looney,2018-19
Nikola Vucevic,2,5:25,18.7,11,27,2,1,0,5,12,41.7,1,2,50.0,0,0,1,Kevon Looney,2018-19
Tristan Thompson,2,5:20,18.1,1,13,2,0,0,0,2,0.0,0,0,0.0,1,2,2,Kevon Looney,2018-19
Marvin Bagley III,2,3:35,17.5,13,17,0,0,0,4,10,40.0,0,0,0.0,5,7,3,Kevon Looney,2018-19
Wendell Carter Jr.,2,4:12,16.8,4,10,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Kevon Looney,2018-19
Tobias Harris,3,4:39,16.5,18,24,0,1,0,7,13,53.8,1,2,50.0,3,3,1,Kevon Looney,2018-19
Jakob Poeltl,3,3:59,15.6,2,16,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
John Collins,1,4:11,15.5,4,17,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Myles Turner,2,3:50,14.3,4,12,0,0,1,2,7,28.6,0,1,0.0,0,0,0,Kevon Looney,2018-19
Derrick Favors,3,3:15,13.5,1,7,1,0,0,0,2,0.0,0,1,0.0,1,2,1,Kevon Looney,2018-19
Joel Embiid,1,4:04,13.1,4,8,0,1,1,2,6,33.3,0,1,0.0,0,0,0,Kevon Looney,2018-19
James Harden,3,4:13,13.0,17,34,5,1,0,6,12,50.0,3,9,33.3,2,2,1,Kevon Looney,2018-19
Jahlil Okafor,2,3:16,12.8,6,14,1,1,0,3,5,60.0,0,0,0.0,0,1,1,Kevon Looney,2018-19
Damian Lillard,4,3:17,12.7,7,27,8,2,1,2,10,20.0,2,4,50.0,1,1,0,Kevon Looney,2018-19
Tyson Chandler,2,3:05,12.7,0,8,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Ed Davis,2,3:14,12.5,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Luka Doncic,4,3:21,12.3,10,18,3,1,0,4,6,66.7,1,1,100.0,1,1,1,Kevon Looney,2018-19
Lou Williams,3,3:29,12.3,10,33,4,1,0,3,12,25.0,0,1,0.0,4,4,2,Kevon Looney,2018-19
Julius Randle,2,2:42,12.0,8,12,2,0,0,3,5,60.0,0,0,0.0,2,2,1,Kevon Looney,2018-19
Luke Kornet,1,3:18,12.0,6,11,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Kevon Looney,2018-19
De'Aaron Fox,4,2:20,11.6,9,21,6,2,2,3,9,33.3,1,4,25.0,2,2,1,Kevon Looney,2018-19
CJ McCollum,4,3:07,11.4,10,15,1,1,1,3,12,25.0,1,4,25.0,3,5,1,Kevon Looney,2018-19
Tyler Zeller,1,2:55,11.0,4,13,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Danilo Gallinari,3,3:20,10.8,7,15,1,0,0,1,1,100.0,1,1,100.0,4,5,1,Kevon Looney,2018-19
Blake Griffin,2,2:48,10.5,6,15,1,0,0,2,6,33.3,1,5,20.0,1,1,0,Kevon Looney,2018-19
Zach Collins,3,2:52,10.3,0,8,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Kevon Looney,2018-19
Rajon Rondo,3,2:41,10.3,9,23,4,0,1,4,7,57.1,1,3,33.3,0,0,0,Kevon Looney,2018-19
Gorgui Dieng,2,2:41,10.1,4,13,0,1,0,2,3,66.7,0,1,0.0,0,0,0,Kevon Looney,2018-19
Cristiano Felicio,1,2:21,10.1,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Andrew Wiggins,4,2:42,9.9,12,22,1,2,1,4,12,33.3,0,2,0.0,4,6,2,Kevon Looney,2018-19
Willy Hernangomez,1,2:25,9.8,5,8,0,1,0,1,1,100.0,0,0,0.0,3,3,2,Kevon Looney,2018-19
P.J. Tucker,4,2:45,9.7,0,14,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Kevon Looney,2018-19
Jeff Green,2,2:02,9.6,0,5,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Domantas Sabonis,2,2:27,9.5,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,1,Kevon Looney,2018-19
Dewayne Dedmon,1,2:03,9.4,0,8,0,0,1,0,3,0.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Kelly Oubre Jr.,4,2:04,9.4,11,20,0,2,1,4,7,57.1,3,5,60.0,0,0,0,Kevon Looney,2018-19
John Henson,1,2:10,9.3,0,14,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Kevon Looney,2018-19
Jonah Bolden,1,2:53,9.1,5,18,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Kevon Looney,2018-19
Brandon Ingram,3,2:10,9.1,6,11,1,1,1,3,10,30.0,0,1,0.0,0,0,0,Kevon Looney,2018-19
Al Horford,1,2:14,9.1,2,8,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Jrue Holiday,2,2:16,8.6,12,22,2,1,0,4,6,66.7,2,3,66.7,2,4,1,Kevon Looney,2018-19
Sam Dekker,1,2:17,8.6,0,10,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Ante Zizic,1,2:35,8.5,4,10,0,0,0,1,4,25.0,0,0,0.0,2,2,1,Kevon Looney,2018-19
Dennis Schroder,3,2:11,8.4,15,16,1,1,2,6,14,42.9,1,4,25.0,2,2,0,Kevon Looney,2018-19
Harrison Barnes,4,2:00,8.1,13,21,0,0,0,4,7,57.1,3,5,60.0,2,2,1,Kevon Looney,2018-19
Paul Millsap,4,2:10,8.0,2,12,1,1,1,1,3,33.3,0,0,0.0,0,2,1,Kevon Looney,2018-19
Dirk Nowitzki,3,2:10,8.0,3,5,1,0,0,1,3,33.3,1,3,33.3,0,0,0,Kevon Looney,2018-19
Shai Gilgeous-Alexander,4,1:43,7.7,6,5,3,2,0,1,2,50.0,0,0,0.0,4,4,1,Kevon Looney,2018-19
Buddy Hield,4,2:06,7.3,10,14,0,0,0,4,11,36.4,2,8,25.0,0,0,0,Kevon Looney,2018-19
Dwight Powell,3,2:10,7.3,4,9,2,0,0,1,2,50.0,0,1,0.0,2,3,2,Kevon Looney,2018-19
Hassan Whiteside,1,2:15,7.2,0,6,0,0,0,0,1,0.0,0,0,0.0,0,1,0,Kevon Looney,2018-19
Devin Booker,3,1:54,7.2,6,16,1,2,0,2,5,40.0,0,1,0.0,2,2,0,Kevon Looney,2018-19
Nemanja Bjelica,3,1:42,7.1,5,16,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Kevon Looney,2018-19
Anthony Tolliver,3,1:41,7.1,2,10,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Kevon Looney,2018-19
Noah Vonleh,2,2:02,7.0,3,11,1,1,0,1,3,33.3,0,0,0.0,1,1,1,Kevon Looney,2018-19
Drew Eubanks,1,2:02,7.0,3,3,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Kevon Looney,2018-19
Bogdan Bogdanovic,4,1:31,7.0,8,15,1,1,0,3,6,50.0,2,3,66.7,0,0,0,Kevon Looney,2018-19
Jamal Murray,4,1:56,6.9,9,20,1,0,0,4,9,44.4,1,3,33.3,0,0,0,Kevon Looney,2018-19
Isaiah Hartenstein,1,2:05,6.9,0,6,0,0,1,0,2,0.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Paul George,3,1:44,6.8,3,6,1,1,0,1,5,20.0,0,3,0.0,1,1,0,Kevon Looney,2018-19
Kyle Lowry,2,1:47,6.8,7,12,2,1,0,3,6,50.0,1,3,33.3,0,0,0,Kevon Looney,2018-19
Markieff Morris,2,1:20,6.7,3,9,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Kevon Looney,2018-19
Al-Farouq Aminu,4,1:41,6.5,4,19,1,1,0,1,3,33.3,0,0,0.0,2,2,1,Kevon Looney,2018-19
Austin Rivers,4,1:27,6.5,5,18,1,0,0,2,5,40.0,1,2,50.0,0,0,1,Kevon Looney,2018-19
Taurean Prince,2,2:07,6.4,9,15,0,1,0,4,5,80.0,1,1,100.0,0,0,0,Kevon Looney,2018-19
Larry Nance Jr.,2,1:40,6.3,2,18,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Miles Plumlee,1,1:38,6.3,0,9,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Bismack Biyombo,1,1:50,6.3,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
Maxi Kleber,4,1:37,6.3,2,6,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Kevon Looney,2018-19
