OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Iman Shumpert,3,8:04,34.6,1,44,0,0,0,0,1,0.0,0,0,0.0,1,2,1,Jamal Crawford,2018-19
Justin Jackson,3,7:22,29.0,7,39,0,0,0,3,5,60.0,1,2,50.0,0,0,0,Jamal Crawford,2018-19
Jerryd Bayless,2,7:19,28.3,3,34,1,1,0,1,4,25.0,1,2,50.0,0,0,0,Jamal Crawford,2018-19
Jake Layman,3,7:06,27.2,4,47,0,1,0,1,2,50.0,1,2,50.0,1,2,1,Jamal Crawford,2018-19
Andre Iguodala,3,6:01,25.9,0,33,4,0,0,0,0,0.0,0,0,0.0,0,0,0,Jamal Crawford,2018-19
Tony Snell,2,5:36,24.7,2,26,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Jamal Crawford,2018-19
Evan Turner,2,5:20,19.8,0,35,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Jamal Crawford,2018-19
Marco Belinelli,3,4:23,18.6,5,31,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Jamal Crawford,2018-19
Justin Holiday,2,4:32,18.4,4,31,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Jamal Crawford,2018-19
Dorian Finney-Smith,2,5:19,18.3,2,10,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Jamal Crawford,2018-19
Lance Thomas,2,5:02,18.0,3,22,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Jamal Crawford,2018-19
Austin Rivers,3,4:44,17.9,0,28,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Jamal Crawford,2018-19
Dwyane Wade,2,4:33,17.4,5,34,0,1,0,2,6,33.3,0,2,0.0,1,1,1,Jamal Crawford,2018-19
Tyrone Wallace,2,4:26,17.2,4,22,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Jamal Crawford,2018-19
Trevor Ariza,1,5:01,16.8,1,30,0,1,0,0,1,0.0,0,0,0.0,1,2,1,Jamal Crawford,2018-19
Dennis Schroder,4,3:46,16.4,4,25,3,1,0,1,3,33.3,0,1,0.0,2,2,1,Jamal Crawford,2018-19
Timothe Luwawu-Cabarrot,2,4:08,16.4,4,17,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Jamal Crawford,2018-19
Jerian Grant,1,4:07,16.2,3,21,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Jamal Crawford,2018-19
James Ennis III,1,4:18,16.0,5,30,0,0,0,2,4,50.0,1,3,33.3,0,0,0,Jamal Crawford,2018-19
Rajon Rondo,1,4:02,15.7,0,19,3,1,0,0,0,0.0,0,0,0.0,0,0,0,Jamal Crawford,2018-19
David Nwaba,2,4:00,15.5,0,11,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Jamal Crawford,2018-19
Alex Abrines,2,3:56,15.4,0,16,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Jamal Crawford,2018-19
Solomon Hill,1,4:41,15.2,0,28,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Jamal Crawford,2018-19
Torrey Craig,2,3:46,15.0,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jamal Crawford,2018-19
