OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Zach LaVine,3,11:47,47.6,11,47,3,1,1,3,11,27.3,1,5,20.0,4,6,4,Robert Covington,2018-19
E'Twaun Moore,2,7:32,36.2,13,55,3,1,0,6,11,54.5,1,3,33.3,0,0,0,Robert Covington,2018-19
Jrue Holiday,2,9:11,33.8,6,38,4,1,0,1,4,25.0,0,1,0.0,4,4,2,Robert Covington,2018-19
Kemba Walker,3,9:16,33.3,12,35,2,1,4,3,14,21.4,1,6,16.7,5,5,1,Robert Covington,2018-19
Justin Holiday,3,7:40,33.0,8,44,2,0,1,3,8,37.5,2,5,40.0,0,0,0,Robert Covington,2018-19
Buddy Hield,2,7:51,30.9,11,43,2,0,0,3,5,60.0,3,4,75.0,2,2,0,Robert Covington,2018-19
Reggie Jackson,3,7:29,30.0,7,55,0,0,0,2,5,40.0,0,2,0.0,3,4,2,Robert Covington,2018-19
Kyrie Irving,2,7:35,29.8,2,41,4,2,0,1,8,12.5,0,6,0.0,0,0,1,Robert Covington,2018-19
Reggie Bullock,2,8:31,28.2,9,31,0,0,0,3,5,60.0,1,3,33.3,2,2,1,Robert Covington,2018-19
Kyle Lowry,1,6:08,25.7,7,38,9,0,0,2,4,50.0,1,2,50.0,2,2,0,Robert Covington,2018-19
Stanley Johnson,3,6:12,24.2,3,47,2,2,1,1,4,25.0,1,3,33.3,0,0,0,Robert Covington,2018-19
Russell Westbrook,1,5:08,22.6,6,23,0,2,0,2,5,40.0,0,0,0.0,2,2,1,Robert Covington,2018-19
Kevin Huerter,2,5:41,22.4,5,26,1,2,0,1,5,20.0,1,4,25.0,2,2,0,Robert Covington,2018-19
DeMar DeRozan,2,5:43,21.8,0,20,2,2,0,0,2,0.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Jeremy Lamb,3,5:05,21.4,3,23,2,0,1,1,9,11.1,0,3,0.0,1,1,0,Robert Covington,2018-19
Victor Oladipo,1,5:38,21.0,9,22,5,1,1,4,8,50.0,1,2,50.0,0,0,0,Robert Covington,2018-19
Jayson Tatum,2,4:54,20.5,6,27,1,0,0,1,4,25.0,0,1,0.0,4,4,2,Robert Covington,2018-19
James Harden,1,5:50,20.4,3,19,3,0,1,1,3,33.3,1,1,100.0,0,0,1,Robert Covington,2018-19
Kent Bazemore,2,5:05,20.1,5,34,0,2,1,2,4,50.0,1,1,100.0,0,2,1,Robert Covington,2018-19
Joe Harris,2,4:51,19.2,2,22,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Gordon Hayward,2,4:15,18.4,8,31,2,1,0,2,3,66.7,2,2,100.0,2,2,1,Robert Covington,2018-19
Khris Middleton,1,4:32,18.3,3,19,0,0,1,1,3,33.3,1,1,100.0,0,0,0,Robert Covington,2018-19
Allen Crabbe,2,5:48,18.1,0,22,0,0,0,0,3,0.0,0,3,0.0,0,0,0,Robert Covington,2018-19
Kyle Korver,1,4:53,17.8,8,14,0,0,0,3,5,60.0,2,3,66.7,0,0,0,Robert Covington,2018-19
Garrett Temple,1,4:50,17.8,0,19,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Nicolas Batum,3,4:38,17.8,15,24,2,0,0,6,9,66.7,2,3,66.7,1,1,1,Robert Covington,2018-19
Gary Harris,1,4:45,17.7,2,22,0,0,0,1,3,33.3,0,2,0.0,0,0,0,Robert Covington,2018-19
Devin Booker,1,4:14,16.0,12,21,3,0,0,3,3,100.0,3,3,100.0,3,4,2,Robert Covington,2018-19
Blake Griffin,3,4:04,15.9,6,10,1,2,0,2,3,66.7,0,0,0.0,2,4,3,Robert Covington,2018-19
D'Angelo Russell,2,4:14,15.4,6,21,0,0,0,3,5,60.0,0,2,0.0,0,0,0,Robert Covington,2018-19
Josh Richardson,1,3:44,14.7,6,17,1,0,1,1,4,25.0,0,3,0.0,4,4,1,Robert Covington,2018-19
Trae Young,2,3:15,14.3,2,14,1,0,0,1,3,33.3,0,2,0.0,0,0,0,Robert Covington,2018-19
Darius Miller,2,3:28,14.1,3,12,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Robert Covington,2018-19
Rodney Hood,1,3:58,13.9,2,13,0,1,0,0,3,0.0,0,2,0.0,2,3,1,Robert Covington,2018-19
Kris Dunn,1,4:04,13.9,2,11,1,1,0,1,3,33.3,0,0,0.0,0,0,0,Robert Covington,2018-19
Bogdan Bogdanovic,2,3:24,13.3,3,25,1,0,1,1,3,33.3,1,1,100.0,0,0,0,Robert Covington,2018-19
Derrick White,2,3:07,13.1,0,18,2,0,0,0,1,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Bryn Forbes,2,3:41,12.5,8,26,2,0,0,2,2,100.0,1,1,100.0,3,3,2,Robert Covington,2018-19
Aaron Gordon,1,3:23,12.3,4,24,0,2,0,2,3,66.7,0,0,0.0,0,0,0,Robert Covington,2018-19
Klay Thompson,1,2:55,12.3,2,9,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Marco Belinelli,2,3:19,11.8,9,15,0,0,0,3,5,60.0,3,5,60.0,0,0,0,Robert Covington,2018-19
Patrick Beverley,1,3:00,11.8,0,10,1,1,1,0,3,0.0,0,2,0.0,0,0,0,Robert Covington,2018-19
DeAndre' Bembry,2,3:16,11.7,0,16,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Malik Monk,3,2:57,11.6,4,13,0,2,3,1,7,14.3,0,2,0.0,2,2,1,Robert Covington,2018-19
Bruce Brown,2,3:23,11.5,2,13,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Spencer Dinwiddie,2,3:01,11.1,9,19,3,1,0,3,3,100.0,1,1,100.0,2,2,0,Robert Covington,2018-19
Luke Kennard,2,2:58,10.6,3,13,1,0,1,1,2,50.0,1,2,50.0,0,0,0,Robert Covington,2018-19
Kawhi Leonard,1,2:01,10.2,6,26,2,0,0,1,2,50.0,0,0,0.0,4,5,2,Robert Covington,2018-19
Miles Bridges,3,1:56,10.2,5,17,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Robert Covington,2018-19
Ryan Arcidiacono,3,2:20,10.1,0,15,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Rudy Gay,2,3:00,10.0,0,3,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Cody Zeller,3,2:42,9.8,2,33,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Evan Fournier,1,2:55,9.7,11,20,1,0,0,4,5,80.0,2,3,66.7,1,1,1,Robert Covington,2018-19
Lou Williams,1,2:12,9.5,7,14,0,1,1,3,6,50.0,1,2,50.0,0,0,1,Robert Covington,2018-19
Langston Galloway,3,2:49,9.4,0,20,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Robert Covington,2018-19
Terrence Ross,1,2:28,9.2,3,10,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Robert Covington,2018-19
Dwyane Wade,1,2:21,9.2,7,10,1,0,0,3,5,60.0,0,0,0.0,1,2,1,Robert Covington,2018-19
Danilo Gallinari,1,2:01,9.1,5,12,0,0,1,1,4,25.0,1,2,50.0,2,2,1,Robert Covington,2018-19
Jamal Murray,1,2:29,8.7,0,11,2,0,0,0,1,0.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Caris LeVert,1,2:08,8.7,5,13,0,0,0,1,1,100.0,1,1,100.0,2,2,1,Robert Covington,2018-19
Mike Conley,1,2:34,8.6,2,11,1,0,0,1,3,33.3,0,1,0.0,0,0,0,Robert Covington,2018-19
Jake Layman,1,1:46,8.4,1,7,0,0,0,0,1,0.0,0,1,0.0,1,2,1,Robert Covington,2018-19
Antonio Blakeney,3,2:15,8.4,2,12,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Paul George,1,1:46,8.3,5,13,0,2,0,2,4,50.0,1,2,50.0,0,0,0,Robert Covington,2018-19
Justise Winslow,1,1:36,8.2,3,16,0,1,0,1,2,50.0,1,1,100.0,0,0,1,Robert Covington,2018-19
Tyreke Evans,1,1:57,8.1,0,6,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Eric Gordon,1,2:15,8.0,2,15,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Robert Covington,2018-19
CJ McCollum,1,2:07,8.0,2,10,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Michael Kidd-Gilchrist,3,2:11,7.9,0,14,1,0,1,0,3,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Taurean Prince,1,1:48,7.9,0,9,0,0,1,0,3,0.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Troy Williams,1,1:43,7.5,2,15,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Ish Smith,2,1:53,7.5,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Terry Rozier,2,1:41,7.5,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Justin Anderson,1,2:19,7.4,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Chris Paul,1,1:44,7.1,0,6,3,1,0,0,0,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Al Horford,2,2:00,6.8,0,7,1,1,0,0,2,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Jabari Parker,2,1:17,6.8,4,9,0,0,0,1,1,100.0,0,0,0.0,2,4,2,Robert Covington,2018-19
Ben McLemore,1,1:40,6.8,5,8,0,0,0,1,1,100.0,1,1,100.0,2,2,1,Robert Covington,2018-19
Malcolm Brogdon,1,1:26,6.8,2,1,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Robert Covington,2018-19
Jaylen Brown,1,1:25,6.5,2,13,0,0,1,1,3,33.3,0,0,0.0,0,0,0,Robert Covington,2018-19
Juancho Hernangomez,1,1:35,6.3,0,16,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Jared Dudley,2,1:42,6.1,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Jamal Crawford,1,1:43,6.1,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Marvin Williams,2,1:56,6.1,3,16,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Robert Covington,2018-19
Solomon Hill,1,1:26,6.0,2,11,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Andre Drummond,3,1:36,6.0,6,11,1,0,0,2,3,66.7,0,0,0.0,2,2,0,Robert Covington,2018-19
Justin Jackson,1,1:13,6.0,3,9,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Robert Covington,2018-19
Kevin Durant,1,1:27,6.0,6,11,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Robert Covington,2018-19
Nik Stauskas,1,1:26,6.0,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
MarShon Brooks,1,1:54,5.8,0,3,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Wendell Carter Jr.,3,1:16,5.7,8,14,0,0,0,3,3,100.0,0,0,0.0,2,2,1,Robert Covington,2018-19
Shaun Livingston,1,1:16,5.5,0,10,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Marcus Smart,2,1:46,5.5,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Giannis Antetokounmpo,1,1:17,5.5,2,6,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Robert Covington,2018-19
D.J. Augustin,1,1:12,5.4,0,9,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Shaquille Harrison,2,1:26,5.3,0,8,0,0,1,0,3,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Yogi Ferrell,2,1:22,5.1,0,5,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Nikola Vucevic,1,1:23,5.1,3,5,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Robert Covington,2018-19
Willie Cauley-Stein,2,1:19,5.0,4,11,1,1,0,1,1,100.0,0,0,0.0,2,2,0,Robert Covington,2018-19
Bojan Bogdanovic,1,1:13,5.0,3,5,0,0,0,1,3,33.3,1,1,100.0,0,0,0,Robert Covington,2018-19
Clint Capela,1,1:31,5.0,4,7,0,0,1,2,3,66.7,0,0,0.0,0,0,0,Robert Covington,2018-19
Jonathan Isaac,1,1:27,4.9,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Danny Green,1,1:12,4.8,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Robert Covington,2018-19
Kyle Anderson,1,1:30,4.8,0,7,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Lauri Markkanen,1,1:29,4.7,4,6,0,0,0,1,3,33.3,0,0,0.0,2,2,1,Robert Covington,2018-19
Dwayne Bacon,2,0:56,4.7,7,5,0,0,0,2,3,66.7,1,1,100.0,2,2,1,Robert Covington,2018-19
Domantas Sabonis,1,1:03,4.7,2,4,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Robert Covington,2018-19
De'Aaron Fox,2,1:00,4.6,1,5,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Robert Covington,2018-19
Malik Beasley,1,1:13,4.6,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Iman Shumpert,1,1:05,4.6,3,9,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Robert Covington,2018-19
Collin Sexton,1,1:04,4.5,0,6,0,1,1,0,3,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
Cedi Osman,1,1:12,4.5,0,7,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Robert Covington,2018-19
