OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Tim Hardaway Jr.,5,20:37,81.0,7,98,1,1,0,3,18,16.7,0,6,0.0,1,2,1,Joe Harris,2018-19
Danny Green,4,18:54,76.3,12,116,3,0,0,4,8,50.0,2,6,33.3,2,2,1,Joe Harris,2018-19
Evan Fournier,3,15:49,62.7,13,87,1,1,0,6,16,37.5,1,5,20.0,0,0,2,Joe Harris,2018-19
Bojan Bogdanovic,3,15:36,57.8,9,87,2,0,1,4,7,57.1,1,2,50.0,0,0,0,Joe Harris,2018-19
Kevin Huerter,3,12:52,51.9,4,58,1,2,0,1,4,25.0,0,2,0.0,2,2,1,Joe Harris,2018-19
Jeremy Lamb,4,12:48,51.7,26,96,2,0,0,9,12,75.0,1,1,100.0,7,7,3,Joe Harris,2018-19
Otto Porter Jr.,2,10:16,43.8,11,64,1,0,0,4,9,44.4,3,5,60.0,0,0,0,Joe Harris,2018-19
Cedi Osman,3,12:07,43.5,8,46,1,2,0,3,6,50.0,2,2,100.0,0,0,0,Joe Harris,2018-19
Bradley Beal,3,8:45,41.1,11,48,3,2,0,5,11,45.5,1,2,50.0,0,0,0,Joe Harris,2018-19
Nicolas Batum,4,10:06,40.5,9,56,2,2,0,3,7,42.9,1,4,25.0,2,2,1,Joe Harris,2018-19
Bruce Brown,3,10:38,37.4,2,39,1,1,0,1,4,25.0,0,3,0.0,0,0,0,Joe Harris,2018-19
Pascal Siakam,4,9:11,35.2,11,41,0,2,0,5,13,38.5,1,3,33.3,0,1,1,Joe Harris,2018-19
Andrew Wiggins,2,9:53,35.1,5,47,0,0,0,2,5,40.0,1,3,33.3,0,0,0,Joe Harris,2018-19
Joe Ingles,2,9:19,34.0,3,48,1,2,0,1,5,20.0,1,4,25.0,0,0,0,Joe Harris,2018-19
Tobias Harris,2,8:35,31.7,6,36,1,1,0,3,6,50.0,0,1,0.0,0,0,0,Joe Harris,2018-19
Terrance Ferguson,2,7:19,31.6,3,39,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Joe Harris,2018-19
Pat Connaughton,2,6:43,31.6,13,48,0,0,0,6,6,100.0,1,1,100.0,0,1,1,Joe Harris,2018-19
Trevor Ariza,2,7:55,31.5,7,39,0,0,0,2,2,100.0,0,0,0.0,3,4,1,Joe Harris,2018-19
Kentavious Caldwell-Pope,2,7:21,31.2,2,30,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Joe Harris,2018-19
Klay Thompson,2,8:32,31.0,12,40,0,1,0,5,16,31.3,1,5,20.0,1,2,1,Joe Harris,2018-19
Al-Farouq Aminu,2,7:17,30.6,3,53,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Joe Harris,2018-19
Jaylen Brown,3,7:49,30.3,10,51,0,1,0,4,10,40.0,2,4,50.0,0,0,0,Joe Harris,2018-19
Justin Holiday,1,8:00,30.1,3,40,1,0,0,1,3,33.3,1,3,33.3,0,0,0,Joe Harris,2018-19
Luka Doncic,2,8:30,29.6,15,42,0,1,0,5,7,71.4,2,4,50.0,3,4,1,Joe Harris,2018-19
Marvin Williams,4,7:37,29.4,9,60,1,0,0,4,9,44.4,1,4,25.0,0,0,0,Joe Harris,2018-19
Landry Shamet,4,6:36,28.6,6,35,1,0,0,1,5,20.0,1,5,20.0,3,5,1,Joe Harris,2018-19
Wayne Selden,2,6:48,28.3,9,38,3,1,0,4,7,57.1,1,2,50.0,0,0,0,Joe Harris,2018-19
Sterling Brown,3,7:00,28.0,6,45,2,0,0,3,4,75.0,0,0,0.0,0,0,0,Joe Harris,2018-19
Wayne Ellington,3,7:39,27.6,11,33,1,0,0,4,7,57.1,3,6,50.0,0,0,0,Joe Harris,2018-19
Wilson Chandler,2,6:34,26.6,3,35,2,1,1,1,3,33.3,1,2,50.0,0,0,0,Joe Harris,2018-19
Jimmy Butler,2,6:26,26.3,8,25,0,0,1,1,5,20.0,1,1,100.0,5,5,2,Joe Harris,2018-19
Bryn Forbes,2,6:05,25.7,5,41,1,0,1,2,5,40.0,1,1,100.0,0,0,0,Joe Harris,2018-19
Marcus Smart,2,6:34,25.6,10,30,2,0,0,3,6,50.0,2,3,66.7,2,2,1,Joe Harris,2018-19
Reggie Bullock,2,6:37,25.4,3,29,0,0,0,1,5,20.0,1,4,25.0,0,0,0,Joe Harris,2018-19
P.J. Tucker,2,7:05,25.3,5,39,1,0,0,1,2,50.0,1,2,50.0,2,2,0,Joe Harris,2018-19
JJ Redick,4,5:35,25.1,4,35,2,0,0,2,5,40.0,0,3,0.0,0,0,0,Joe Harris,2018-19
Rodney McGruder,3,6:08,25.1,6,27,0,1,0,3,8,37.5,0,4,0.0,0,0,0,Joe Harris,2018-19
Rodney Hood,3,6:04,24.1,4,33,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Joe Harris,2018-19
Ben Simmons,4,5:32,23.4,7,51,3,2,1,3,7,42.9,0,0,0.0,1,4,2,Joe Harris,2018-19
Jordan Clarkson,3,6:47,22.1,11,26,3,1,0,3,7,42.9,3,5,60.0,2,2,1,Joe Harris,2018-19
Harrison Barnes,2,5:25,22.1,10,26,0,2,0,4,4,100.0,2,2,100.0,0,0,0,Joe Harris,2018-19
Zach LaVine,3,5:55,22.0,4,19,1,0,0,2,4,50.0,0,0,0.0,0,0,0,Joe Harris,2018-19
E'Twaun Moore,2,5:05,21.5,5,29,1,0,0,2,3,66.7,1,1,100.0,0,0,1,Joe Harris,2018-19
Langston Galloway,3,6:14,21.2,3,24,0,0,0,1,2,50.0,0,1,0.0,1,1,1,Joe Harris,2018-19
