OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
James Harden,3,15:30,60.3,29,84,5,4,0,9,25,36.0,2,6,33.3,9,11,5,Reggie Bullock,2018-19
Khris Middleton,4,14:04,59.9,21,94,2,1,0,7,15,46.7,1,4,25.0,6,8,4,Reggie Bullock,2018-19
Jayson Tatum,4,9:43,40.3,8,56,2,0,0,1,3,33.3,1,3,33.3,5,6,3,Reggie Bullock,2018-19
Zach LaVine,2,9:48,40.2,7,35,3,4,1,2,9,22.2,1,3,33.3,2,2,0,Reggie Bullock,2018-19
Harrison Barnes,2,10:53,37.6,12,46,2,2,0,4,8,50.0,1,4,25.0,3,4,1,Reggie Bullock,2018-19
Rodney Hood,2,10:29,37.0,4,40,0,0,1,2,8,25.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Tobias Harris,3,8:21,36.6,9,55,2,1,0,3,5,60.0,2,3,66.7,1,2,1,Reggie Bullock,2018-19
Landry Shamet,2,9:21,36.1,3,43,1,0,0,1,3,33.3,1,3,33.3,0,0,0,Reggie Bullock,2018-19
Joe Ingles,2,9:06,35.7,8,42,2,1,0,3,6,50.0,1,3,33.3,1,2,0,Reggie Bullock,2018-19
Jaylen Brown,4,7:44,34.0,4,52,0,1,0,1,5,20.0,1,4,25.0,1,2,1,Reggie Bullock,2018-19
Jrue Holiday,3,8:01,32.5,5,46,2,0,0,2,6,33.3,1,3,33.3,0,0,0,Reggie Bullock,2018-19
JJ Redick,2,7:28,31.4,12,44,2,0,0,4,8,50.0,3,6,50.0,1,1,1,Reggie Bullock,2018-19
Andrew Wiggins,1,7:01,29.9,5,35,0,1,0,2,5,40.0,1,1,100.0,0,0,0,Reggie Bullock,2018-19
Robert Covington,2,6:38,29.0,4,36,1,1,0,1,2,50.0,1,2,50.0,1,2,1,Reggie Bullock,2018-19
Bradley Beal,2,6:42,28.9,15,38,0,2,1,5,6,83.3,0,0,0.0,5,5,3,Reggie Bullock,2018-19
Kent Bazemore,3,6:46,28.7,6,37,0,0,0,2,7,28.6,0,2,0.0,2,2,1,Reggie Bullock,2018-19
Kawhi Leonard,2,6:23,27.4,14,46,3,2,0,5,7,71.4,1,1,100.0,3,4,2,Reggie Bullock,2018-19
Buddy Hield,2,6:49,26.6,14,39,1,0,0,6,7,85.7,2,2,100.0,0,0,0,Reggie Bullock,2018-19
Nicolas Batum,2,6:41,26.5,0,41,1,2,0,0,0,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Kevin Knox II,2,6:43,26.3,4,27,0,2,0,1,3,33.3,1,2,50.0,1,1,0,Reggie Bullock,2018-19
Joe Harris,2,5:20,26.0,9,31,0,0,1,3,5,60.0,3,3,100.0,0,0,1,Reggie Bullock,2018-19
Gordon Hayward,4,6:10,25.4,0,39,1,1,0,0,2,0.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Justin Holiday,3,6:03,24.8,6,35,2,0,0,2,4,50.0,0,0,0.0,2,2,1,Reggie Bullock,2018-19
Damyean Dotson,3,6:11,24.3,7,30,0,0,0,3,4,75.0,1,2,50.0,0,0,0,Reggie Bullock,2018-19
Kevin Huerter,3,5:50,24.0,4,41,1,0,0,2,5,40.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Devin Booker,2,5:47,23.7,14,47,1,1,0,7,12,58.3,0,4,0.0,0,0,1,Reggie Bullock,2018-19
Evan Fournier,3,6:46,23.2,12,33,1,0,0,5,7,71.4,2,3,66.7,0,0,0,Reggie Bullock,2018-19
Mike Conley,2,6:05,23.0,7,35,2,0,0,3,6,50.0,0,2,0.0,1,1,1,Reggie Bullock,2018-19
Trae Young,3,5:35,23.0,4,19,0,0,1,2,6,33.3,0,2,0.0,0,0,0,Reggie Bullock,2018-19
Avery Bradley,3,4:56,23.0,0,22,1,1,0,0,1,0.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Will Barton,2,5:39,23.0,2,30,1,2,0,1,3,33.3,0,2,0.0,0,0,0,Reggie Bullock,2018-19
DeMar DeRozan,1,6:23,22.3,10,30,1,1,0,5,10,50.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Wes Iwundu,3,5:52,22.1,2,39,1,0,0,1,3,33.3,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Kevin Durant,1,5:20,21.4,8,24,2,1,0,2,6,33.3,0,3,0.0,4,4,0,Reggie Bullock,2018-19
Tony Snell,4,4:43,21.0,4,26,0,0,0,2,4,50.0,0,2,0.0,0,0,0,Reggie Bullock,2018-19
Kyle Anderson,1,5:43,20.9,8,21,0,1,0,4,4,100.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Shai Gilgeous-Alexander,3,4:56,20.8,4,37,2,0,0,1,3,33.3,0,0,0.0,2,2,1,Reggie Bullock,2018-19
Eric Bledsoe,4,5:04,20.1,9,29,1,1,0,4,7,57.1,0,2,0.0,1,5,2,Reggie Bullock,2018-19
Danny Green,2,4:30,20.1,0,15,0,2,0,0,0,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Ryan Arcidiacono,3,5:11,19.6,2,24,3,0,0,1,3,33.3,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Kyle Korver,4,4:35,19.6,15,27,0,0,0,5,5,100.0,4,4,100.0,1,1,1,Reggie Bullock,2018-19
Eric Gordon,3,5:02,18.8,0,23,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Kenrich Williams,3,4:40,18.7,3,34,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Reggie Bullock,2018-19
Pat Connaughton,2,4:14,18.1,0,22,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Reggie Bullock,2018-19
Kyrie Irving,4,3:40,18.0,5,32,0,0,0,2,5,40.0,1,2,50.0,0,0,0,Reggie Bullock,2018-19
Patrick Beverley,3,4:35,17.8,3,26,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Reggie Bullock,2018-19
James Ennis III,3,5:14,17.4,3,36,0,0,1,1,2,50.0,1,1,100.0,0,0,0,Reggie Bullock,2018-19
Justise Winslow,1,4:38,17.4,11,21,1,1,0,4,9,44.4,3,6,50.0,0,0,0,Reggie Bullock,2018-19
Bojan Bogdanovic,1,3:58,17.3,4,21,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
E'Twaun Moore,2,4:26,17.2,0,22,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Jonathan Isaac,2,3:58,17.1,0,32,1,1,0,0,1,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Terrence Ross,3,4:35,16.5,3,18,0,1,0,1,2,50.0,1,1,100.0,0,0,0,Reggie Bullock,2018-19
DeAndre' Bembry,3,4:04,16.0,0,13,0,0,0,0,0,0.0,0,0,0.0,0,2,2,Reggie Bullock,2018-19
Elfrid Payton,3,3:32,15.9,0,29,1,0,2,0,3,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Wesley Matthews,2,4:04,15.5,0,21,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Nemanja Bjelica,2,3:35,15.2,3,22,2,1,0,1,1,100.0,1,1,100.0,0,0,0,Reggie Bullock,2018-19
John Wall,1,3:19,14.8,13,20,0,0,0,5,5,100.0,2,2,100.0,1,1,1,Reggie Bullock,2018-19
Chris Paul,3,3:08,14.5,6,21,2,1,0,2,3,66.7,0,0,0.0,2,2,1,Reggie Bullock,2018-19
Wayne Ellington,2,4:09,13.9,0,6,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Mario Hezonja,2,3:56,13.7,4,16,1,1,0,0,0,0.0,0,0,0.0,4,4,1,Reggie Bullock,2018-19
Trevor Ariza,3,3:26,13.6,5,19,2,0,0,1,4,25.0,1,3,33.3,2,2,1,Reggie Bullock,2018-19
Taurean Prince,2,3:02,13.2,3,16,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Reggie Bullock,2018-19
Miles Bridges,2,3:15,13.1,1,14,0,0,0,0,0,0.0,0,0,0.0,1,2,0,Reggie Bullock,2018-19
Darius Miller,2,3:28,13.1,6,20,1,0,0,2,4,50.0,2,4,50.0,0,0,0,Reggie Bullock,2018-19
Iman Shumpert,2,2:31,13.1,3,14,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Reggie Bullock,2018-19
Tomas Satoransky,2,3:04,12.9,0,2,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Otto Porter Jr.,2,3:13,12.4,0,13,0,0,0,0,3,0.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Ian Clark,3,3:38,12.4,0,14,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Royce O'Neale,2,2:53,12.2,0,17,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Tim Hardaway Jr.,1,3:08,12.2,5,17,0,0,0,0,1,0.0,0,1,0.0,5,5,2,Reggie Bullock,2018-19
Gary Harris,1,3:00,12.2,4,20,3,0,0,2,4,50.0,0,2,0.0,0,0,0,Reggie Bullock,2018-19
Marcus Smart,4,2:07,12.1,2,18,2,1,0,0,0,0.0,0,0,0.0,2,2,1,Reggie Bullock,2018-19
Frank Jackson,3,3:05,12.1,2,18,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Malcolm Brogdon,2,2:44,11.6,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Dorian Finney-Smith,2,2:54,11.6,0,7,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Lou Williams,3,3:20,11.5,2,13,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Allonzo Trier,3,2:48,11.4,2,9,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Kemba Walker,2,3:22,11.4,3,15,1,1,0,1,3,33.3,1,3,33.3,0,0,0,Reggie Bullock,2018-19
Jeremy Lamb,2,2:44,10.6,3,17,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Reggie Bullock,2018-19
Josh Hart,1,2:34,10.5,0,16,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Marco Belinelli,1,2:40,10.4,2,13,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
Julius Randle,4,2:27,10.2,0,15,1,2,0,0,0,0.0,0,0,0.0,0,0,0,Reggie Bullock,2018-19
Marvin Williams,2,2:36,10.0,0,20,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Reggie Bullock,2018-19
