OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Andrew Wiggins,1,6:56,27.7,7,36,2,1,0,2,4,50.0,2,4,50.0,1,2,1,Wesley Johnson,2018-19
Rudy Gay,2,8:17,27.7,6,36,0,1,0,3,9,33.3,0,3,0.0,0,0,0,Wesley Johnson,2018-19
Tim Hardaway Jr.,2,6:56,26.6,8,38,3,0,1,2,10,20.0,2,5,40.0,2,2,1,Wesley Johnson,2018-19
Jayson Tatum,3,5:36,22.1,2,28,0,0,0,1,5,20.0,0,2,0.0,0,0,0,Wesley Johnson,2018-19
Gary Harris,1,5:08,21.1,5,32,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Wesley Johnson,2018-19
Trevor Ariza,1,4:23,16.8,4,26,0,0,0,1,2,50.0,0,1,0.0,2,3,1,Wesley Johnson,2018-19
Wayne Ellington,2,4:25,15.6,0,23,2,1,0,0,2,0.0,0,2,0.0,0,0,0,Wesley Johnson,2018-19
Paul George,1,3:30,14.8,3,25,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Wesley Johnson,2018-19
Justin Holiday,1,3:50,14.8,2,21,0,0,0,0,2,0.0,0,2,0.0,2,2,1,Wesley Johnson,2018-19
Bradley Beal,2,3:06,14.2,2,21,3,0,0,1,3,33.3,0,2,0.0,0,0,0,Wesley Johnson,2018-19
Kawhi Leonard,1,4:13,13.8,3,12,1,0,0,1,4,25.0,0,1,0.0,1,1,1,Wesley Johnson,2018-19
Jordan Clarkson,1,3:03,11.6,4,14,1,0,1,1,3,33.3,0,1,0.0,2,2,1,Wesley Johnson,2018-19
Timothe Luwawu-Cabarrot,2,2:38,11.1,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Zach LaVine,2,2:59,11.1,5,13,0,1,1,2,7,28.6,1,2,50.0,0,0,0,Wesley Johnson,2018-19
Doug McDermott,1,2:58,11.0,9,11,0,0,0,3,5,60.0,3,4,75.0,0,0,0,Wesley Johnson,2018-19
Nicolas Batum,2,2:55,10.4,0,12,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Wesley Johnson,2018-19
Norman Powell,1,2:38,10.3,2,11,1,0,0,0,1,0.0,0,0,0.0,2,2,1,Wesley Johnson,2018-19
JJ Redick,1,2:35,10.3,5,11,0,0,0,1,2,50.0,0,0,0.0,3,3,2,Wesley Johnson,2018-19
Allen Crabbe,2,2:42,9.7,0,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Joe Ingles,1,2:19,9.6,3,9,1,0,0,1,3,33.3,0,1,0.0,1,2,0,Wesley Johnson,2018-19
Marco Belinelli,3,2:39,9.4,2,7,0,0,0,0,1,0.0,0,1,0.0,2,2,1,Wesley Johnson,2018-19
Wayne Selden,2,2:17,8.3,10,15,0,0,1,3,5,60.0,1,1,100.0,3,3,2,Wesley Johnson,2018-19
Luke Kennard,1,1:45,8.1,0,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
DeMar DeRozan,2,1:59,7.9,4,15,1,2,0,1,2,50.0,0,0,0.0,2,2,1,Wesley Johnson,2018-19
Otto Porter Jr.,3,1:50,7.9,4,11,0,1,0,1,2,50.0,1,1,100.0,1,2,1,Wesley Johnson,2018-19
Jimmy Butler,1,1:35,7.8,0,10,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Wesley Johnson,2018-19
Jeff Teague,1,2:02,7.8,0,9,3,0,0,0,1,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Kyle Lowry,2,1:59,7.6,0,10,1,2,0,0,2,0.0,0,2,0.0,0,0,0,Wesley Johnson,2018-19
Emmanuel Mudiay,2,1:48,7.3,0,5,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Wesley Johnson,2018-19
T.J. Warren,1,1:59,7.0,2,5,0,0,0,0,1,0.0,0,1,0.0,2,2,1,Wesley Johnson,2018-19
Lou Williams,1,1:50,6.5,2,8,0,0,1,0,1,0.0,0,0,0.0,2,2,0,Wesley Johnson,2018-19
Jeremy Lamb,2,1:50,6.4,0,2,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Devin Booker,1,1:37,6.3,0,6,2,1,0,0,1,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Kelly Oubre Jr.,2,1:31,6.2,2,10,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Shaquille Harrison,2,1:26,6.1,0,7,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Keita Bates-Diop,1,1:33,6.1,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Noah Vonleh,2,1:05,6.0,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Paul Millsap,3,1:41,5.9,7,11,0,1,1,2,3,66.7,0,0,0.0,3,3,1,Wesley Johnson,2018-19
Malik Monk,2,1:01,5.2,2,16,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Jamal Murray,3,1:08,4.6,2,2,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Wesley Johnson,2018-19
Marcus Smart,2,1:08,4.4,2,14,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Mike Muscala,1,1:18,4.4,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Miles Bridges,2,1:16,4.3,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Deng Adel,1,1:17,4.3,0,1,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Juancho Hernangomez,1,1:02,4.3,6,13,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Wesley Johnson,2018-19
Malik Beasley,2,1:28,4.1,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Giannis Antetokounmpo,1,1:01,4.1,0,12,3,1,0,0,0,0.0,0,0,0.0,0,2,1,Wesley Johnson,2018-19
Rondae Hollis-Jefferson,2,1:05,4.1,1,5,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Wesley Johnson,2018-19
Danny Green,2,0:50,3.9,3,7,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Wesley Johnson,2018-19
Maxi Kleber,1,0:58,3.9,2,5,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Wesley Johnson,2018-19
Taj Gibson,2,0:59,3.7,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Montrezl Harrell,1,0:46,3.7,5,13,0,0,0,2,2,100.0,0,0,0.0,1,2,1,Wesley Johnson,2018-19
Torrey Craig,2,0:56,3.6,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Ryan Arcidiacono,3,0:50,3.6,0,7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
OG Anunoby,2,0:56,3.5,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Tyreke Evans,1,0:48,3.5,0,6,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Thomas Bryant,1,0:47,3.5,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Dante Exum,1,0:46,3.4,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Jared Dudley,2,1:06,3.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Tyrone Wallace,1,0:56,3.4,2,10,1,0,0,1,1,100.0,0,0,0.0,0,2,1,Wesley Johnson,2018-19
Marvin Williams,2,0:55,3.4,3,6,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Wesley Johnson,2018-19
John Wall,2,0:40,3.3,0,5,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Tony Parker,1,0:43,3.3,0,0,0,0,1,0,2,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Serge Ibaka,2,0:58,3.3,0,4,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Wesley Johnson,2018-19
Patrick Beverley,1,0:48,3.3,3,8,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Wesley Johnson,2018-19
Pascal Siakam,2,0:44,3.2,3,10,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Wesley Johnson,2018-19
Ish Smith,1,0:47,3.2,2,0,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Wesley Johnson,2018-19
Marcus Morris Sr.,2,0:53,3.2,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Patty Mills,3,0:53,3.2,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Kemba Walker,2,0:44,3.1,3,2,1,0,0,1,3,33.3,0,1,0.0,1,1,1,Wesley Johnson,2018-19
Cory Joseph,1,0:50,3.0,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Wesley Johnson,2018-19
Blake Griffin,1,0:59,3.0,0,4,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Wesley Johnson,2018-19
Jabari Parker,1,0:45,3.0,0,2,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Kyrie Irving,1,0:41,3.0,0,3,0,2,0,0,2,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Bryn Forbes,2,0:49,2.9,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Wesley Johnson,2018-19
Jeremy Lin,1,0:50,2.8,0,2,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Jamal Crawford,1,0:53,2.8,0,2,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Wesley Johnson,2018-19
Damyean Dotson,1,0:38,2.8,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Jaylen Brown,1,0:41,2.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Isaiah Canaan,1,0:41,2.7,3,3,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Wesley Johnson,2018-19
D.J. Wilson,1,0:43,2.6,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Landry Shamet,1,0:44,2.6,6,10,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Wesley Johnson,2018-19
Dante Cunningham,2,0:53,2.6,3,9,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Wesley Johnson,2018-19
Mitchell Robinson,2,0:32,2.6,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Terrance Ferguson,1,0:31,2.5,3,5,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Wesley Johnson,2018-19
Danilo Gallinari,1,0:51,2.5,0,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Wilson Chandler,1,0:37,2.5,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Rodions Kurucs,1,0:14,2.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Tahjere McCall,1,0:28,2.3,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Wesley Johnson,2018-19
Russell Westbrook,1,0:23,2.3,1,5,1,0,0,0,0,0.0,0,0,0.0,1,2,1,Wesley Johnson,2018-19
Steven Adams,1,0:29,2.3,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Mike Scott,1,0:28,2.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Karl-Anthony Towns,1,0:38,2.3,5,4,0,0,0,2,2,100.0,0,0,0.0,1,1,1,Wesley Johnson,2018-19
Marc Gasol,1,0:26,2.2,2,2,0,0,0,0,0,0.0,0,0,0.0,2,2,0,Wesley Johnson,2018-19
Bruce Brown,1,0:38,2.2,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Allonzo Trier,2,0:35,2.2,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Josh Richardson,1,0:38,2.1,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Wesley Johnson,2018-19
Justise Winslow,1,0:34,2.1,2,0,0,0,1,0,1,0.0,0,0,0.0,2,2,1,Wesley Johnson,2018-19
Sterling Brown,1,0:37,2.1,3,5,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Wesley Johnson,2018-19
