OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Kyle Korver,4,6:44,28.9,0,44,1,1,0,0,4,0.0,0,2,0.0,0,0,0,Gerald Green,2018-19
Andre Iguodala,2,7:16,27.4,3,24,3,0,0,1,5,20.0,1,3,33.3,0,0,0,Gerald Green,2018-19
Kentavious Caldwell-Pope,4,7:01,27.1,5,26,0,1,0,1,5,20.0,1,4,25.0,2,2,1,Gerald Green,2018-19
Garrett Temple,3,7:14,27.1,7,36,0,0,0,3,4,75.0,1,2,50.0,0,0,0,Gerald Green,2018-19
Davis Bertans,4,6:31,24.4,2,30,0,0,0,1,5,20.0,0,4,0.0,0,0,0,Gerald Green,2018-19
Justin Holiday,4,5:43,21.8,2,19,1,0,1,0,3,0.0,0,2,0.0,2,2,1,Gerald Green,2018-19
Jae Crowder,4,5:32,21.7,3,22,0,0,0,1,3,33.3,0,2,0.0,1,2,0,Gerald Green,2018-19
Josh Hart,4,5:37,21.7,6,30,1,0,0,2,5,40.0,1,3,33.3,1,2,0,Gerald Green,2018-19
Justin Jackson,3,4:59,19.8,5,24,1,0,0,1,3,33.3,1,2,50.0,2,2,1,Gerald Green,2018-19
Royce O'Neale,4,4:55,19.4,0,14,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Gerald Green,2018-19
Derrick Jones Jr.,2,5:35,19.2,0,18,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gerald Green,2018-19
Mikal Bridges,3,4:35,19.1,2,24,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Gerald Green,2018-19
Marco Belinelli,4,4:52,18.4,3,14,0,1,0,1,4,25.0,0,1,0.0,1,1,1,Gerald Green,2018-19
Torrey Craig,2,5:56,17.5,3,22,0,0,1,1,2,50.0,0,0,0.0,1,2,0,Gerald Green,2018-19
DeMarre Carroll,1,4:01,16.9,9,29,0,0,1,3,5,60.0,2,2,100.0,1,1,1,Gerald Green,2018-19
Terrance Ferguson,4,3:53,16.3,9,11,0,0,0,3,4,75.0,2,3,66.7,1,1,1,Gerald Green,2018-19
Devin Harris,3,3:58,16.0,0,12,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Gerald Green,2018-19
Josh Okogie,2,3:40,15.9,10,25,0,0,0,4,5,80.0,2,3,66.7,0,0,0,Gerald Green,2018-19
Damyean Dotson,2,4:12,15.0,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gerald Green,2018-19
Evan Turner,3,4:01,14.6,2,25,0,1,1,1,2,50.0,0,0,0.0,0,0,0,Gerald Green,2018-19
Derrick White,2,3:16,14.5,0,15,1,0,1,0,1,0.0,0,0,0.0,0,0,0,Gerald Green,2018-19
Sterling Brown,1,3:53,13.9,2,9,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Gerald Green,2018-19
