OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Dario Saric,3,10:22,41.5,10,58,4,0,0,3,7,42.9,2,5,40.0,2,2,1,Zach Collins,2018-19
Julius Randle,3,9:14,37.1,28,35,1,4,2,10,20,50.0,2,5,40.0,6,7,4,Zach Collins,2018-19
Mike Scott,4,8:22,33.4,5,32,1,0,0,1,3,33.3,1,3,33.3,2,2,1,Zach Collins,2018-19
Mason Plumlee,4,8:11,32.5,11,55,2,0,0,5,7,71.4,0,0,0.0,1,3,1,Zach Collins,2018-19
Maxi Kleber,3,7:51,31.0,9,33,0,0,1,4,7,57.1,1,3,33.3,0,0,0,Zach Collins,2018-19
Dragan Bender,3,7:38,30.2,7,43,1,0,0,3,6,50.0,1,3,33.3,0,1,1,Zach Collins,2018-19
Derrick Favors,4,7:07,29.9,11,49,0,1,0,5,9,55.6,0,0,0.0,1,2,1,Zach Collins,2018-19
Kyle Kuzma,3,6:25,28.6,9,34,0,0,1,2,6,33.3,1,3,33.3,4,5,2,Zach Collins,2018-19
Dwight Powell,4,7:32,28.5,14,35,1,2,1,4,10,40.0,2,3,66.7,4,5,3,Zach Collins,2018-19
Nerlens Noel,3,6:31,28.0,4,42,2,1,0,2,3,66.7,0,0,0.0,0,0,0,Zach Collins,2018-19
Marvin Bagley III,2,6:42,26.4,10,39,0,1,1,5,9,55.6,0,1,0.0,0,1,1,Zach Collins,2018-19
JaMychal Green,3,7:14,25.2,5,16,0,1,0,2,5,40.0,1,2,50.0,0,0,0,Zach Collins,2018-19
Montrezl Harrell,4,6:35,24.9,10,34,1,1,1,4,10,40.0,0,0,0.0,2,6,3,Zach Collins,2018-19
Cristiano Felicio,2,6:56,23.4,5,32,1,0,0,2,4,50.0,0,2,0.0,1,2,1,Zach Collins,2018-19
Jonah Bolden,2,4:59,21.9,10,24,0,0,0,4,5,80.0,2,3,66.7,0,0,0,Zach Collins,2018-19
Frank Kaminsky,2,5:05,20.6,2,30,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Zach Collins,2018-19
Jeff Green,2,4:44,20.5,8,28,0,1,0,4,8,50.0,0,3,0.0,0,0,0,Zach Collins,2018-19
Thon Maker,3,5:16,19.7,8,38,0,0,0,3,3,100.0,2,2,100.0,0,0,0,Zach Collins,2018-19
