OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Nikola Vucevic,2,13:40,51.1,19,73,1,4,1,9,16,56.3,1,4,25.0,0,0,0,Dwight Howard,2018-19
Hassan Whiteside,1,9:39,35.9,6,41,2,0,0,3,4,75.0,0,0,0.0,0,0,0,Dwight Howard,2018-19
DeAndre Jordan,1,8:53,33.3,2,35,1,1,0,0,0,0.0,0,0,0.0,2,2,1,Dwight Howard,2018-19
Steven Adams,1,5:49,24.7,10,44,1,1,0,4,4,100.0,0,0,0.0,2,2,1,Dwight Howard,2018-19
Jarrett Allen,1,6:26,24.6,6,22,0,0,0,2,4,50.0,0,0,0.0,2,2,1,Dwight Howard,2018-19
Mitchell Robinson,1,5:39,21.5,4,24,0,0,0,1,3,33.3,0,0,0.0,2,2,1,Dwight Howard,2018-19
Tristan Thompson,1,3:41,14.4,4,11,1,1,0,1,3,33.3,0,0,0.0,2,2,0,Dwight Howard,2018-19
Enes Kanter,1,3:43,13.6,2,7,0,1,1,0,3,0.0,0,1,0.0,2,2,0,Dwight Howard,2018-19
Jusuf Nurkic,1,1:32,6.6,0,13,3,1,0,0,1,0.0,0,0,0.0,0,0,0,Dwight Howard,2018-19
Larry Nance Jr.,1,1:31,6.3,2,16,2,1,0,0,0,0.0,0,0,0.0,2,2,1,Dwight Howard,2018-19
Mo Bamba,2,1:33,6.2,4,12,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Dwight Howard,2018-19
Ed Davis,1,1:45,6.0,0,7,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Dwight Howard,2018-19
Evan Fournier,2,1:02,5.3,2,9,0,0,0,0,2,0.0,0,1,0.0,2,2,1,Dwight Howard,2018-19
Aaron Gordon,2,0:53,3.5,2,11,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Dwight Howard,2018-19
Dennis Smith Jr.,1,0:47,3.2,0,7,2,2,0,0,2,0.0,0,0,0.0,0,0,0,Dwight Howard,2018-19
D.J. Augustin,2,0:43,3.0,2,5,0,2,0,0,1,0.0,0,1,0.0,2,2,0,Dwight Howard,2018-19
Luka Doncic,1,0:43,2.9,4,8,1,0,1,2,3,66.7,0,0,0.0,0,0,0,Dwight Howard,2018-19
Jerami Grant,1,0:31,2.7,4,9,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Dwight Howard,2018-19
Collin Sexton,1,0:25,2.6,0,5,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Dwight Howard,2018-19
Bam Adebayo,1,0:28,2.5,2,5,0,0,0,1,2,50.0,0,0,0.0,0,0,1,Dwight Howard,2018-19
Spencer Dinwiddie,1,0:34,2.3,5,7,4,0,0,1,1,100.0,1,1,100.0,2,2,1,Dwight Howard,2018-19
D'Angelo Russell,1,0:28,2.2,4,5,1,0,0,1,2,50.0,0,0,0.0,2,2,1,Dwight Howard,2018-19
