OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Mike Scott,4,8:17,31.8,5,55,0,1,0,2,5,40.0,1,3,33.3,0,0,0,Wayne Selden,2018-19
Bobby Portis,3,7:43,31.8,15,56,1,1,0,6,10,60.0,1,4,25.0,2,2,2,Wayne Selden,2018-19
Joe Ingles,5,7:26,31.0,5,28,3,3,0,1,3,33.3,0,2,0.0,3,4,0,Wayne Selden,2018-19
Joe Harris,2,6:43,28.9,4,32,1,0,0,0,2,0.0,0,2,0.0,4,4,0,Wayne Selden,2018-19
Rodney Hood,3,7:55,27.1,6,35,0,0,0,2,6,33.3,0,1,0.0,2,2,1,Wayne Selden,2018-19
Vince Carter,3,6:14,24.6,5,34,1,1,0,2,3,66.7,1,2,50.0,0,0,0,Wayne Selden,2018-19
Jordan Clarkson,3,7:38,24.5,6,29,2,1,0,3,8,37.5,0,4,0.0,0,0,0,Wayne Selden,2018-19
Josh Jackson,3,6:10,24.2,11,17,1,0,0,3,5,60.0,1,3,33.3,4,7,3,Wayne Selden,2018-19
Jae Crowder,5,5:20,23.6,3,47,2,1,0,1,4,25.0,1,4,25.0,0,0,0,Wayne Selden,2018-19
Justin Jackson,2,5:08,23.1,4,20,0,0,0,1,2,50.0,1,2,50.0,1,2,1,Wayne Selden,2018-19
Kevin Knox II,3,7:00,22.9,5,30,0,1,0,2,5,40.0,1,1,100.0,0,0,0,Wayne Selden,2018-19
Lou Williams,3,5:28,22.3,14,23,1,0,1,4,7,57.1,1,1,100.0,5,7,2,Wayne Selden,2018-19
Bogdan Bogdanovic,3,4:54,21.8,3,26,1,0,1,1,6,16.7,1,3,33.3,0,0,0,Wayne Selden,2018-19
Justise Winslow,3,5:59,21.7,6,35,4,0,0,3,6,50.0,0,2,0.0,0,0,0,Wayne Selden,2018-19
Kawhi Leonard,2,4:57,21.2,10,33,2,0,0,4,5,80.0,0,1,0.0,2,2,1,Wayne Selden,2018-19
Delon Wright,3,4:53,20.7,0,29,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Wayne Selden,2018-19
Luke Kornet,2,5:43,20.6,2,28,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Wayne Selden,2018-19
Royce O'Neale,5,4:58,18.7,3,20,0,0,0,1,4,25.0,1,3,33.3,0,0,0,Wayne Selden,2018-19
Josh Hart,4,5:01,18.3,3,18,1,1,1,1,2,50.0,1,1,100.0,0,0,0,Wayne Selden,2018-19
Jabari Parker,3,3:59,17.6,9,26,2,1,0,4,4,100.0,1,1,100.0,0,0,0,Wayne Selden,2018-19
Ersan Ilyasova,3,4:47,17.1,4,24,0,0,0,2,5,40.0,0,3,0.0,0,0,0,Wayne Selden,2018-19
Evan Turner,3,4:32,16.4,2,19,2,1,0,1,2,50.0,0,0,0.0,0,0,0,Wayne Selden,2018-19
Trevor Ariza,4,4:14,16.2,5,18,0,1,0,2,4,50.0,1,3,33.3,0,0,0,Wayne Selden,2018-19
Marvin Bagley III,3,3:52,15.8,12,32,1,0,0,5,9,55.6,0,1,0.0,2,2,1,Wayne Selden,2018-19
Serge Ibaka,3,3:36,14.9,6,28,0,1,0,3,4,75.0,0,1,0.0,0,0,0,Wayne Selden,2018-19
DeMarre Carroll,3,3:44,14.3,2,29,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Wayne Selden,2018-19
